|morphs|origin
0|['해자', 'ㅇ', '에', '치즈버거', '갑', '임']|해장에 치즈버거 갑임
1|['프리', '더', '언니', '이', 'ㄴ가']|프리더 언니인가
2|['나', '한테', '도', '그렇', '었', '어', '.', '.']|나한테도 그랬어..
3|['그렇', 'ㄹ', '때', '마시', '어야지']|그럴때 마셔야지
4|['ㄲ', 'ㅗ', 'ㅇ', '패', 'ㅅㄱ']|꽁패 ㅅㄱ
5|['깨', '엇', '다']|깻다
6|['나', '돌', '아대', 'ㄴ', '김']|나 돌아댄김
7|['누나', '가', '볼', '때', '마다', '나', '때리', '어서', '피', '해대', 'ㅇ', '김']|누나가 볼때마다 나때려서 피해댕김
8|['갸', 'ㅇ', '배', '마가', '못하', '는', '배', '마']|걍 배마가 못하는배마
9|['피', 'ㅇ', 'ㅠ', '님', '또', '나쁘', 'ㄴ', '소', 'ㄴ', '발도', 'ㅇ']|피유님 또 나쁜손 발동
10|['해명', '하', '아']|해명해
11|['ㅇ', 'ㅗ', '이기', '엇', '네']|오 이겻네
12|['ㅇ', 'ㅗ']|오
13|['아르카', '나', '스키', 'ㄹ', '은', '왤케', '다', '신기', '하', '지']|아르카나 스킬은 왤케 다 신기하지
14|['끠유님', '오늘', '화장', '바꾸', '시', '었', '나요', '?']|끠유님 오늘 화장 바꾸셨나요?
15|['선전', '하', '아', '따', '아']|선전해따
16|['피', 'ㅇ', 'ㅠ', '님', '이', '마무리', '합', '시당']|피유님이 마무리합시당
17|['섬', '열', '파', '개', '빠', 'ㄱ', '침']|섬열파 개빡침
18|['14', '급', '이', 'ㄴ', '파면', '저러', 'ㄹ', '수', '있', '지', '.', '.']|14급 인파면 저럴수있지..
19|['맞', '으러', 'ㅇ', 'ㅗ', '네', '바드']|맞으러 오네 바드
20|['오', '아']|와
21|['재', 'ㅁ', '드']|잼드
22|['피', 'ㅇ', 'ㅠ', '님', '왜', '하', '게', '잘', '하', '시', '어요']|피유님 왜케 잘하세요
23|['이거', 'ㄹ', '?']|이걸 ?
24|['빛', '유다', '빛', 'ㅇ', 'ㅠ']|빛유다 빛유
25|['구', 'ㅇ', '캐', 'ㄴ', 'ㄷㄷ']|궁캔ㄷㄷ
26|['구', 'ㅇ', '쓰', '다가', '지', '겠', '다']|궁쓰다가 지겠다
27|['하프', 'ㅋㅋ', 'ㅋㅋ']|하픜ㅋㅋㅋ
28|['바드', '야', '바보', '가', '~', '(', '사마', 'ㅇ', ')']|바드야 바보가~ (사망)
29|['구', 'ㅇ', '이', 'ㄴ', '성질', '하다', '가', 'ㅋㅋ']|궁 인성질하다가 ㅋㅋ
30|['그래도', '잘', '하', '시', 'ㅁ']|그래도 잘하심
31|['3', '단', '켜', '었', '어야', '하', '았', '는데', '금강', '끊기', '어서', '그러', '어']|3단켰어야했는데 금강끊겨서 그래
32|['구', 'ㅇ', '날리', '엇', '구', '열', 'ㄴ', 'ㅋ']|궁날렷구연 ㅋ
33|['이기', '었', '다']|이겼다
34|['ㄴ', 'ㅗ', '캐리']|노캐리
35|['그래도', '잘', '하', '아', '쓰', '어']|그래도 잘해써
36|['피', 'ㅇ', 'ㅠ', '야']|피유야
37|['ㅇ', 'ㅗ', '이', '것', '로', '장비', '맞추', '자']|오 이걸로 장비맞추자
38|['1', '부', '언제', '끝나', '아요', '?']|1부 언제 끝나요?
39|['별', '밤', '도', '연속', '연마', '가', '잘', '안', '되', 'ㅁ']|별밤도 연속 연마가 잘 안됨
40|['끼', 'ㄴ', '게', '더', '좋', '은', '거', '같', '아', '이', '어']|낀게 더 좋은거같아여
41|['그리고', '지금', '꺼', '특화', '를', '엄청', '잘', '붙이', '시', 'ㅁ']|그리고 지금꺼 특화를 엄청 잘 붙이심
42|['피', 'ㅇ', 'ㅠ', '님', '더', '이상', '버티', '기', '힘들', 'ㄹ', '거', '같', '네요', '먼저', '자', '러', '갑', '니다', '괴바~~']|피유님 더이상 버티기 힘들 거같네요 먼저 자러 갑니다 괴바~~
43|['ㄹㅇ', '피', 'ㅇ', 'ㅠ', '너무', '잘', '하', '아', 'rpg', ';']|ㄹㅇ 피유 너무잘해 rpg ;
44|['피비', '피', '제대로', '하', '려면', '특성', '용', '템을', '따로', '준비', '하', '아야', '되', 'ㅁ']|피비피 제대로 하려면 특성용 템을 따로 준비해야됨
45|['그냥', '계시', '시', '어요', '~']|그냥 계시세요~
46|['최소', '화', '하', '아', '놓', '고', '롤', '할', '때', '와야', '지', 'ㅇ']|최소화 해놓고 롤할때 와야징
47|['계시', '시', '어요']|계시세요
48|['챙기', 'ㄹ', '껀', '다', '챙기', '는', '게', '미치', '었', '음', '그냥']|챙길껀다챙기는게 미쳤음그냥
49|['ㅇ', 'ㅗ', '평균', '디', 'ㄹ', '량', '봇', 'ㅗ']|오 평균딜량보소
50|['개', 'ㄱ', 'ㅗ', '수']|개고수
51|['특', '변', '안', '하', '시', '어서', '그런', '거', '같', '은데', '지금', '은', '신경', '안', '쓰', '시', '어도']|특변 안하셔서 그런거같은데 지금은 신경 안쓰셔도
52|['연세', '이', '라고', '하', '아야지']|연세라고해야지
53|['확인', '사살', '들어가', 'ㅂ니다', ';', ';']|확인사살 들어갑니다;;
54|['실례', '이', 'ㅁ']|실례임
55|['정화', 'ㄱ']|정확
56|['아', '잘', '알', 'ㄹ', 'ㄷㄷㄷ']|아잘알 ㄷㄷㄷ
57|['피비', '피', '에서', '는', '제압스탯', '올리', '면', '디', 'ㄹ', '잘', '나오', 'ㅁ', '원콤도', '나오', '고', '딜러', '들', '한테', 'ㄴ']|피비피에서는 제압스탯 올리면 딜 잘나옴 원콤도 나오고 딜러들한텐
58|['맞', '디', 'ㄹ', 'ㄷㄷ']|맞딜 ㄷㄷ
59|['아재', '이', '라니', '...']|아재라니...
60|['짬', '에서', '나오', '는', '바이브', '를', '보이', '어', '주', '어', '!']|짬에서 나오는 바이브를 보여줘!
