|morphs|origin
0|['버프', '때문', '에', '그렇', 'ㄴ가']|버프때문에 그런가
1|['서우', 'ㄴ', '하니', '까', 'ㄴ']|서운하니깐
2|['바', '잘', '알', 'ㄹ', '끠유']|바잘알 끠유
3|['맞', '으면', '디', 'ㄹ', '못', '하', '자', '나', '요']|맞으면 딜못하자나요
4|['님', '들', '저', '13', '쯤', '하', '는데', '만렙', '찍', '으려면', '얼마나', '하', '아야', '대', 'ㅁ', '?']|님들 저 13쯤하는데 만렙찍으려면 얼마나해야댐?
5|['실드', '안', '주', '어도', '되', '면', 'ㄱ', 'ㅗ', 'ㅇ', '버프', '주', '죠', '?']|실드안줘도되면 공버프주죠?
6|['그렇', '어도', '들어가', '았', '다']|그래도들어갔다
7|['보험', '들', '어', '놓', '으면', '이건', '보험', '이', '든', '의미', '가어', 'ㅄ', '어학', 'ㅗ', '사고', '치실', '듯', 'ㄷㄷ']|보험들어놓으면 이건 보험든 의미가없어하고 사고치실듯 ㄷㄷ
8|['오', '아', '.', '.']|와..
9|['ㅇ', 'ㅗ']|오
10|['ㄴ', 'ㅗ', '크리', '에', '백어', '태', 'ㄱㄷ', 'ㅗ', '아닌데', '3', '만', '4', '천', 'ㄷㄷ', 'ㄷㄷ']|노크리에 백어택도아닌데 3만4천 ㄷㄷㄷㄷ
11|['단일', '기주', 'ㅇ', '제일', '쌔나?']|단일기중 제일 쌔나?
12|['스키', 'ㄹ', '쓰', '는', '거', 'ㄴ', '완벽', '트리']|스킬 쓰는건 완벽트리
13|['레이드', '이', '었', '네', 'ㅋㅋ', 'ㅋㅋ', '곰', '귀엽', '다']|레이드였네 ㅋㅋㅋㅋ 곰 귀엽다
14|['힐', '안', '쓰', 'ㄴ다던데']|힐안쓴다던데
15|['힐', '은', '아니', '고', '쉴드', '애', 'ㄴ', '공격']|힐은 아니고 쉴드 앤 공격
16|['곰', '태', 'ㅇ', '이', '넘', '귀엽', '다']|곰탱이 넘 귀엽다
17|['그렇', 'ㄴ가', '?']|그런가?
18|['힐', '안', '쓰', '고', 'ㄱ', 'ㅗ', 'ㅇㅂ', 'ㅗ', '플', 'ㅗ', 'ㄱ', 'ㅗ', '의', '쓰', 'ㅁ']|힐 안쓰고 공보프로 고의 씀
19|['힐', '공증', '버프', '는', '아이덴티티', 'ㄱ', 'ㅗ', '각', '성', '이', '쉴드']|힐 공증버프는 아이덴티티고 각성이 쉴드
20|['눕', '었', '을', '때', '스페이스', '바', '누르', '면', '기상', '이', '기', '쓰', '어', '지', '는', '거', '모르', '나', '보', '네']|누웠을때 스페이스바 누르면 기상기 써지는거 모르나보네
21|['이부', 'ㄴ', '보스', '랑', '맞', '다', '이', '하', '시', '네', '2', '티어', '가면', '끔살', '이', 'ㄴ데']|이분 보스랑 맞다이 하시네 2티어가면 끔살인데
22|['기상', '이', '기', '모르', '시', '나']|기상기 모르시나
23|['백', '어택', '하면', '디', 'ㄹ', '더', '들어가', '아요', '?']|백어택하면 딜 더들어가요?
24|['빽', '어택', '이', '좋', '은', '거', '아니', 'ㅁ', '?']|빽어택이 좋은거아님?
25|['피', 'ㅇ', 'ㅠ', '님', '치명', '이하나', '도안', '터지', '네', 'ㅋㅋ']|피유님 치명이하나도안터지네 ㅋㅋ
26|['똥', 'ㄲ', 'ㅗ', '찌르', '면', '아픔']|똥꼬 찌르면 아픔
27|['빼', 'ㄹ', '것', '태', 'ㄱ', '~', '~', '~', '~', '~']|빼거택~~~~~
28|['기절됬을때', '스페이스', '바', '누르', '면', '기상', '이', '기', '쓰', '어', '지', 'ㅁ']|기절됬을때 스페이스바누르면 기상기써짐
29|['원딜', '기공', '은', '별로', 'ㄴ', '가요', '?']|원딜 기공은 별론가요?
30|['기상', '이', '기', '쓰', '세', 'ㅁ']|기상기쓰셈
31|['헛', '걸', '보', '았', '네']|헛걸봤네
32|['P', '한', '번', '만', '누르', '어', '주', '어요']|P한번만 눌러줘요
33|['배', '파', '있', '었', '던', '거', '아니', 'ㅁ', '?', '?']|배파 있었던거 아님??
34|['치명', '스텟', '낮', '아', '지', '시', '었', '나', '?']|치명 스텟 낮아지셨나?
