|morphs|origin
0|['에', '이', 'ㅁ', '이', 'ㅋㅋㅋ']|에임이 ㅋㅋㅋ
1|['무', 'ㄱ', 'ㅗ']|무고
2|['형', '쫒는게', '아니', '라', '대', '기탁', 'ㅗ', '있', '다가', '먹', '는', '거', '아니', 'ㄹ', '까']|형 쫒는게 아니라 대기타고 있다가 먹는거 아닐까
3|['배고프', '아', '죽', '겠', '어요', 'ㅋㅋ']|배고파 죽겠어요 ㅋㅋ
4|['c', '로', '타겟', '티', 'ㅇ', '못하', '아요', '?']|c로 타겟팅 못해요?
5|['안', '머', '거', 'ㅇ']|안머겅
6|['김', '첨', '지아', '내', '이', '라서', '못', '먹', '나', '보', '아']|김첨지아내라서 못먹나봐
7|['저기', '있', '는', '모사', '는', '잘', '만', '먹', '는', '거', '가트', 'ㅇㄴ', '데']|저기있는 모사는 잘만먹는거가틍ㄴ데
8|['멀', 'ㄴ', '놈', '의', '공룡', '이', 'ㅋㅋㅋ']|먼놈의 공룡이 ㅋㅋㅋ
9|['익히', '어야', '먹', '는', '대', 'ㅂ니다']|익혀야 먹는댑니다
10|['먹', '지', '를', '못', '하', '아', 'ㅠ']|먹지를못해 ㅠ
11|['ㅇ', 'ㅗ', '?']|오?
12|['타겟', '티', 'ㅇ', '으로', '공격', '하', '는', '거', '아니', 'ㅁ', '?']|타겟팅으로 공격하는거아님?
13|['뺏기', 'ㅁ']|뺏김
14|['ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', '쟤', 'ㄴ', '잘', '먹', '는데']|ㅋㅋㅋㅋㅋㅋㅋㅋ 쟨 잘먹는데
15|['형', '이', '버', '그', 'ㄴ', '가', '보', '아']|형이 버근가봐
16|['혹시', '스키', 'ㄹ', '직', '어야', '하', 'ㅁ', '?']|혹시 스킬 직어야 함?
17|['물고기', '말', 'ㄱ', 'ㅗ', '고기', '주', '어', '고기', '!']|물고기말고 고기줘 고기!
18|['개', 'ㄱ', 'ㅗ', '수']|개고수
19|['형', '에', '이', 'ㅁ', '문제', '네']|형 에임 문제네
20|['에', '이', 'ㅁ', '문제', '맞', '네', '...']|에임 문제 맞네...
21|['오', '아', '씨', '이것', '아까', '인턴', '생활', '보다', '더', '어렵', 'ㄴ듯']|와씨 이거 아까 인턴생활보다 더 어려운듯
22|['저것', '먹', '는데', '쓰', '는', '칼로리', '가', '더', '크겟당']|저거 먹는데 쓰는 칼로리가 더 크겟당
23|['형', '리', '스포', 'ㄴ', '하', '지', '어']|형 리스폰 하져
24|['스키', 'ㄹ', '안', '찍', '어서', '?']|스킬 안찍어서?
25|['조준', '이', '있', '는', '게', '아니', 'ㄹ', '까']|조준이 있는게 아닐까
26|['ㅇ', 'ㅗ', '터트리', '어서', '먹', '네']|오 터트려서 먹네
27|['먹', '는', '것', 'ㄴ가', '?']|먹는건가?
28|['그렇', '게']|그러게
29|['피', 'ㅇ', '때문', '에', '그런', '거', '아니', 'ㄴ가']|핑때문에 그런거 아닌가
30|['공격', '이', '아니', 'ㄹ', '까']|공격이 아닐까
31|['마우스 클릭', '이', 'ㄴ', '듯']|마우스 클릭인듯
32|['에', '이', 'ㅁ', '이', '또', '?']|에임이 또?
33|['E', '말', 'ㄱ', 'ㅗ', '공격', '으로', '하', '아', '보', '아', '형']|E말고 공격으로 해봐 형
34|['포커', '싱하', 'ㄱ', 'ㅗ', '먹', '어', '보', '아요']|포커싱하고 먹어봐요
35|['이것', '언제', '까지', '하', 'ㅁ', 'ㅜ.ㅜ']|이거 언제까지함 ㅜ.ㅜ
36|['캐리', 'ㄱ', '다시마', 'ㄴ', '드', '세', '이', '어']|캐릭 다시만드세여
37|['피', 'ㅇ', '때문', '이', 'ㄴ가']|핑때문인가
38|['타겟', '티', 'ㅇ', '하고', '공격', '하', 'ㄴ', '다음', '먹', '는', '거', '아니', 'ㄹ까요', '?']|타겟팅하고 공격한다음 먹는거 아닐까요?
39|['형', '공격', '으로', '먹', '어', '보', '아', '이', '어']|형 공격으로 먹어봐여
40|['스키', 'ㄹ', '이', '있', '는', '거', 'ㄴ', '아니', '구요', '혹시', '?']|스킬이 있는건 아니구요 혹시?
41|['아사', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|아샄ㅋㅋㅋㅋㅋ
