|morphs|origin
0|['못', '깨', 'ㅁ', '피어', 'ㅄ', '다', '성태']|못깸 피없다 성태
1|['ㅋㅋ', '랄', '부', '피', '보', '아']|ㅋㅋ 랄부 피봐
2|['광폭', '과', 'ㅇ', '폭', '~']|광폭광폭~
3|['캐', 'ㅁ', '이', '왜', '이', '래요']|캠이 왜이래요
4|['아야', '합', '날', '두', '헤트트릭', '목전', '에', '압둬']|얍날두 헤트트릭 목전에 압둬
5|['이것', '퍼펙트', '자꾸', '구슬', '에']|이거 퍼펙트 자꾸 구슬에
6|['2', '경기', '7', 'ㄱ', 'ㅗ', 'ㄹ', '눈앞', '이', '다']|2경기7골 눈앞이다
7|['빼', '어야', '하', '는데']|빼야하는데
8|['아야', '합', '날', '두', '헤트트릭', '가나', '이', '어']|얍날두 헤트트릭 가나여
9|['아야', '합', '날', '두', '탈', '압박', 'ㄷㄷㄷ', '한', '골', '더']|얍날두 탈압박 ㄷㄷㄷ 한골더
10|['헤트트릭', '기대', '하', '아', '보', 'ㅂ니다']|헤트트릭 기대해봅니다
11|['솔직히', '오늘', '도', '못', '깨', 'ㅁ']|솔직히 오늘도 못깸
12|['2', '경기', '7', 'ㄱ', 'ㅗ', 'ㄹ', '직전']|2경기7골 직전
13|['아야', '합', '드', '트리', 'ㄱ', '제발']|얍드트릭제발
14|['아르카', '나', '님', '들어오', '아', '주', '시', '어요', '~', '~']|아르카나님 들어와주세요~~
15|['울', 'ㄴ', '좋', '다']|운 좋다
16|['오', '아', '회피']|와 회피
17|['키', 'ㅇ', '피']|킹피
18|['회피', '가', '2', '번', '살리', '었', '네', ';', ';']|회피가 2번살렸네;;
19|['키', 'ㅇ', '드', '다', 'ㄹㅇ']|킹드다 ㄹㅇ
20|['ㅇ', 'ㅗ']|오
21|['아니', '좀', '적당히', '죽', '아야', '할거', '같', '은데']|아니좀 적당히 죽여야 할거 같은데
22|['키', 'ㅇ', '드']|킹 드
23|['키', 'ㅇ', '피', 'ㄷㄷ']|킹피 ㄷㄷ
24|['키', 'ㅇ', '드']|킹드
25|['이거', 'ㄹ', '살', '네']|이걸사네
26|['2', '경기', '연속', 'ㅎㅌㅌㄹ이면', '경기', '감각', '미치', '었', '네', '/', ';', ';']|2경기연속 ㅎㅌㅌㄹ이면 경기감각 미쳤네/;;
27|['키', 'ㅇ', '드', '님', 'ㅠ', 'ㅠ']|킹드님 ㅠㅠ
28|['바드', '봇', 'ㅗ']|바드보소
29|['ㅋㅋ', 'ㅋㅋ', '힐', '들어가', '는', '거', 'ㄱ', 'ㅗ', '대로', '상납', '하', '쥬']|ㅋㅋㅋㅋ 힐들어가는거 고대로 상납하쥬
30|['진짜', '바드', '없', '었', '으면', '1', '경기', '4', 'ㄱ', 'ㅗ', 'ㄹ', '다했겟다']|진짜 바드없었으면 1경기 4골 다했겟다
31|['제', '발', '헤', '트', '트', '리', 'ㄱ']|제 발 헤 트 트 릭
32|['그', 'ㄱ', 'ㅡ', '차', 'ㄴ']|극 ㅡ 찬
33|['바드', '완전', '고생', '하', 'ㄴ다']|바드 완전 고생한다
34|['회피', '뭐', '이', 'ㅁ']|회피뭐임
35|['제', '발', '헤', '트', '트', '리', 'ㄱ', '!!', '!!']|제 발 헤 트 트 릭!!!!
36|['오', '아']|와
37|['페이', 'ㄹ', '도', '르', 'ㅋㅋㅋ']|페일도르 ㅋㅋㅋ
38|['돌진', '진짜', '간', '지나', 'ㄴ', '다']|돌진 진짜 간지난다
39|['페이', 'ㄹ', '장인']|페일장인
40|['광폭', '화학', 'ㅗ', '구슬', '무시', '하', '아야', '하', 'ㅁ']|광폭화하고 구슬 무시해야함
41|['이새', '시조', 'ㄴ', '나', '못', '하네', 'ㅋㅋㅋㅋㅋ']|이새시존나못하네 ㅋㅋㅋㅋㅋ
42|['오', '아', '개', '빠', '르네']|와 개빠르네
43|['ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', '멕이', '어', '주', '네']|ㅋㅋㅋㅋㅋㅋ 멕여주네
44|['페이', 'ㄹ', '.', '.']|페일..
45|['구슬', '무시', '하', '아야', '하', 'ㅁ']|구슬 무시해야함
46|['디', 'ㄹ', '을', '너무', '못', '넣', '는데']|딜을 너무 못넣는데
47|['디', 'ㄹ', '을', '하', '던가']|딜을 하던가
48|['오', '아', '개', '뻘', '러']|와 개뻘러
49|['페이', 'ㄹ', '왤캬', '많이', '하', '아', '오늘']|페일 왤캬 많이해 오늘
50|['광폭', '화', '이', '면', '구슬', '무시', '하', '아']|광폭화면 구슬무시해
51|['디', 'ㄹ', '왜', '캐', '비어']|딜 왜캐비어
52|['넘', '못하', 'ㄴ다', '얘']|넘못한다 얘
53|['개', '못', '하', '아']|개못해
54|['아', 'ㅇ', '까', '르', '아야', '합', '아야', '합', '아', 'ㅇ', '까', '르', '아야', '합', '아야', '합', '아', 'ㅇ', '까', '르', '아야', '합', '아야', '합', '꼬올~~~ㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹ']|앙까르얍얍 앙까르얍얍 앙까르얍얍 꼬올~~~ㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹ
55|['3', 'ㄱ', 'ㅗ', 'ㄹ']|3골
56|['헤', '트', '트', '리', 'ㄱ']|헤 트 트 릭
57|['ㄱ', 'ㅗ', 'ㄹ']|골
58|['3', 'ㄱ', 'ㅗ', 'ㄹ', ';']|3골;
59|['헤', '트', '트', '리', 'ㄱ', '!!!']|헤 트 트 릭!!!
60|['헤드', '트리', 'ㄱ', '이또']|헤드 트릭이또
61|['가호', '좀', '들', '고', '하', '아라']|가호좀 들고 해라
62|['뒤', '에서', '뭐', '하', '아']|뒤에서 뭐해
63|['오', '아', '진짜', '개', '못', '하네', 'ㅋㅋㅋ']|와 진짜 개못하네 ㅋㅋㅋ
64|['디', 'ㄹ', '0']|딜 0
65|['기대', '를', '지', '어', '버리', '지', '않', '는', '아야', '합', '날', '두', '!']|기대를 져버리지않는 얍날두!
66|['아', 'ㅇ', '까', '르', '아야', '합', '아야', '합', '아', 'ㅇ', '까', '르', '아야', '합', '아야', '합', '아', 'ㅇ', '까', '르', '아야', '합', '아야', '합', '꼬올~~~ㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹ']|앙까르얍얍 앙까르얍얍 앙까르얍얍 꼬올~~~ㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹㄹ
67|['반', '까', 'ㄱ', '네', '그래도']|반깍네 그래도
68|['아이', 'ㄱ', 'ㅗ', '...']|아이고...
69|['도망치', '기', '에', '너무', '바쁘', 'ㅁ']|도망치기에너무바쁨
70|['55', '푸', '어', ';']|55퍼;
71|['아야', '합', '트', '트', '리', 'ㄱ']|얍 트 트 릭
72|['아야', '합', '날', '두']|얍 날 두
73|['ㄱ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㄹ', '~', '~', '~', '~']|고오오오오오오오올~~~~
74|['아야', '합', '트', '트', '리']|얍 트 트 리
