|morphs|origin
0|['아야', '합', '아야', '합', '이', '왜', '방송', '안', '하', '아요', '?']|얍얍이 왜방송안해요?
1|['뭐', '야', '벌써', '방종', '하', '았', '네']|뭐야 벌써 방종했네
2|['아', '아프', '시', '었', '구나', 'ㅠ', 'ㅠ', 'ㅈㅅ', 'ㅈㅅ']|아 아프셨구나 ㅠㅠ ㅈㅅㅈㅅ
3|['방송', '안', '하', '아', '?']|방송안해?
4|['사라지', '었', '네']|사라졌네
5|['방송', '키라', 'ㄱ', 'ㅗ']|방송키라고
6|['차', 'ㄱ-', '-', '-----', '서', 'ㄱ']|착-------석
7|['4', '시', '의', '아야', '합', '아야', '합', '이', '기', 'ㄹ', '비', 'ㅂ니다']|4시의 얍얍이길 빕니다
8|['돌아오', 'ㄴ다고', '하', '았', '자', '나', '요']|돌아온다고 했자나요
9|['오늘', '일찍', '오', 'ㄹ', '가능', '성', '농후', '하', '다고', '하', '았', '는데', 'ㅠ', 'ㅠ', 'ㅠ']|오늘 일찍올 가능성 농후하다고했는데 ㅠㅠㅠ
10|['아야', '합', '아야', '합', '아', '...', '괜찮', '냐', '...', '많이', '걱정', '되', 'ㄴ', '다', '...', '그립', '다']|얍얍아...괜찮냐...많이걱정된다...그립다
11|['성태', '님', '.', '.', '그', '곳', '은', '편안', '하', 'ㄴ가요', '.', '.']|성태님.. 그 곳은 편안한가요..
12|['빨리', '오', '아서', '로', '아해', '주', '어', '.', '.']|빨리 와서 로아해줘..
13|['아야', '합', '아야', '합', '아', '...', '그동안', '고맙', '었', '다', '.', '...', '잊', '지', '않', '을게', '.', '...', '욕', '하', 'ㄴ', '거', 'ㄴ', '진짜', '미안', '하', '아', '.', '...', '.']|얍얍아... 그동안 고마웠다.... 잊지 않을게.... 욕한건 진짜 미안해.....
14|['아야', '합', '아야', '합', '안', '죽', '었', '는데', '이', '어']|얍얍 안죽었는데여
15|['로', '아를', '하도', '해서', '그렇', 'ㄴ가']|로아를하도해서그런가
