|morphs|origin
64|['찰흙', '으로', 'ㄴ', 'ㅗ', 'ㄴ', '거', 'ㅠ', 'ㅠ']|찰흙으로 논거 ㅠㅠ
65|['빅마마', '이', '었', '나', '?']|빅마마였나?
66|['초', 'ㄴㄷ', 'ㅗ', '금', '수저', '는', '다르', '지', 'ㅋㅋ', 'ㅋㅋ']|촌도 금수저는 다르지 ㅋㅋㅋㅋ
67|['성태', '님', '좀', 'ㄴ', 'ㅗ', '시', '었', '네요']|성태님 좀 노셨네요
68|['이', '노래', 'ㄴ', 'ㅇㅈ', '이', '지']|이노랜 ㅇㅈ이지
69|['띠', 'ㅇ', 'ㄱ', 'ㅗ', 'ㄱ']|띵곡
70|['날', '아끼', '어', '주', '던', '~']|날 아껴주던~
71|['탈수', 'ㄴ', '이', '는', '좀', '별로', '네']|탈순이는좀별로네
72|['키', 'ㅇ', '수', 'ㄴ', '이']|킹순이
73|['퀸', '수', 'ㄴ', '이']|퀸 순 이
74|['지금', '우', '시', '어야', '합니다']|지금 우셔야 합니다
75|['탈수', 'ㄴ', '좌', 'ㅋㅋ']|탈순좌 ㅋㅋ
76|['탑블레이드', '알', 'ㄴ', '가지', 'ㄱ', 'ㅗ', '놈', '?', '?', '?', '?']|탑블레이드 안가지고놈????
77|['승', '태', '님', '말투', '는', '언제', '부터', '그렇', '시', '었', '나요', '?']|승태님 말투는 언제부터 그러셨나요?
78|['금천', 'ㄱ', 'ㅗ', '특', ')', '학교', '운동장', '너머', '혜원학교', '관찰', '가능', '하', 'ㅁ']|금천고 특 ) 학교 운동장 너머 혜원학교 관찰가능함
79|['지금', '마리', '뭐', '뭐', '나오', '앗', '이', '길래']|지금 마리 뭐뭐 나왓길래
80|['연마', '하', '아서', '420', '찍', '고', '비', '더', '서', '422', '찌', 'ㄱㄱ', 'ㅗ', '나', 'ㄴ', '뒤', '에', '상자', '열자']|연마해서 420 찍고 비더서 422찍고난뒤에 상자 열자
81|['네', 'ㅇ']|넹
82|['경기도', '도', '시골', '이', 'ㅁ', '?']|경기도도 시골임?
83|['신청', 'ㄱ', 'ㅗ', 'ㄱ', '까먹', '음', '?']|신청곡 까먹음?
84|['네', 'ㅇ', 'ㅠ']|넹ㅠ
85|['메', '수', 'ㄴ', '이', 'ㄷㄷㄷ']|메순이 ㄷㄷㄷ
86|['경기도', '도', '초', 'ㄴ', '동네', '지']|경기도도 촌동네지
87|['생활', '하', 'ㅁ', '?']|생활함?
88|['잠', '섬', '가', '면', '하모니', '아슬아슬', '하', 'ㄹ', '테', 'ㄴ', '대']|잠섬 가면 하모니 아슬아슬 할텐대
89|['싸이', '아버지', '틀', '어', '주', '어']|싸이 아버지 틀어줘
90|['혀', 'ㄱ', '주', 'ㄴ', '마을']|혁준마을
91|['혀', 'ㄱ', '주', 'ㄴ', '농장', 'ㄷㄷ']|혁준농장 ㄷㄷ
92|['채집', '은', '하', 'ㅁ']|채집은 함
93|['혀', 'ㄱ', '주', 'ㄴ', '마을', 'ㅋㅋ']|혁준마을 ㅋㅋ
94|['냄새', '오', '지', '하', '겠', '다']|냄새 오지겠다
95|['혀', 'ㄱ', '주', 'ㄴ', '리']|혁준리
96|['돼지', '가', '진짜', '개심', '하', 'ㅁ']|돼지가 진짜 개심함
