|morphs|origin
59|['아니', '부', '먹', '멀', 'ㄴ데', 'ㅡㅡ']|아니 부먹 먼데 ㅡㅡ
60|['원', '트', '에', '가능', '하', '시', 'ㄴ가요', '?']|원트에 가능하신가요?
61|['베', '티', 'ㄴ', '막', '날', '이', '라', '옷', '흑', '흑', 'ㅜㅠ']|베틴 막날이라 옷 흑흑 ㅜㅠ
62|['간장', '뿌리', '어', '먹', '는', '거', 'ㄴ', '첨', '보', 'ㄴ다']|간장 뿌려 먹는건 첨본다
63|['간장', '부', '먹', '은', '진짜', '아니', 'ㄴ', '거', '같', '은데']|간장부먹은 진짜 아닌거같은데
64|['만두', '부', '먹', '에바', 'ㄴ', '데']|만두 부먹 에반데
65|['뭐', '이렇', '게', '많이', '살', '시', '었', '어요']|뭐이렇게 많이 사셨어요
66|['그', '만두', '두', '박스', '해서', '얼마', '이', '었', '나요', '?']|그 만두 두박스해서 얼마였나요?
67|['트리', 'ㄱ', '아트', '외투']|트릭 아트 외투
68|['오', '아', '부', '먹', '실망']|와 부먹 실망
69|['집', '이', '춥', '어서', '입', '으시', 'ㄴ', '거', '아니', 'ㅁ', '?']|집이 추워서 입으신거아님?
70|['청청', '패', '쇼', 'ㄴ']|청청패숀
71|['오', '아', '히오스', '하', '죠', '?']|와 히오스 하죠?
72|['귀찮', '으면', '갸', 'ㅇ', '붓', '는', '게', '편하', 'ㅁ']|귀찮으면 걍 붓는게 편함
73|['아', '부', '먹이', '랑', '겸상', '알', 'ㄴ', '합니다']|아 부먹이랑 겸상 안합니다
74|['윙크', 'tv', '병거', 'ㄴ', '아', '조', '씨']|윙크tv병건아조씨
75|['오', '아']|와
76|['바지', '도', '벗', '어', '주', '시', '어요']|바지도 벗어주세요
77|['달아오르', 'ㄴ', '남방', 'ㅗㅜㅑ']|달아오른 남방 ㅗㅜㅑ
78|['그것', '벗기', '네']|그걸 벗기네
79|['달아오르', '아', 'ㄷㄷ']|달아올라 ㄷㄷ
80|['침', '청매', 'ㄴ', 'ㄷㄷㄷㄷㅌ']|침청맨 ㄷㄷㄷㄷㅌ
81|['1000', '원', '에', '벗', '어', '드리', 'ㅂ니다']|1000원에 벗어드립니다
82|['춥', '어', 'ㅗㅜㅑ', 'ㅗㅜㅑ']|추워 ㅗㅜㅑ ㅗㅜㅑ
83|['한창', '시리', 'ㄹ', '나이']|한창 시릴나이
84|['저', '는', '이미', '달아오르', '았', '는걸', '요']|저는 이미 달아올랐는걸요
85|['해', '님', '과', '구름', '이여', '?']|햇님과 구름이여?
86|['바지', '도', '벗', '어', '주', '세', '이', '어']|바지도 벗어주세여
