|morphs|origin
0|['요', 'ㅇ', '분', '각', '안', '보', '냐', 'ㅋㅋ']|용분각 안보냐 ㅋㅋ
1|['캐', 'ㅁ', '하', '기', '세', 'ㅇ', 'ㆍ']|캠키셍ㆍ
2|['악', '살', 'ㅗ', '이', 'ㄴ데']|악 사로인데
3|['12', '시', '하', '게', 'ㄹ', '그', '하', '게', 'ㄹ', '그', '하', '게', 'ㄹ', '씹', '가능']|12시 켈그켈그켈 씹가능
4|['34', '살', 'ㅗ', '는', '결과', '론', '적', '이', '잖아']|34사로는 결과론적이잖아
5|['하', '게', 'ㄹ', '그', '하', '게', 'ㄹ', '그', '하', '게', 'ㄹ', '벤', '크', 'ㄹ']|켈그켈그켈 벤클
6|['나', '켈켈그켈켈그켈켈', '해보', '았', '음', '싸', '아', '버리', 'ㄴ다', 'ㄹㅇ루']|나 켈켈그켈켈그켈켈 해봤음 싸버린다 ㄹㅇ루
7|['응', '호', 'ㄴ', '살', '아']|응 혼 살아
8|['당황', '하', 'ㄴ', '거', '같', '은데']|당황한거같은데
9|['약하', 'ㄴ데']|약한데
10|['안', '잡히', 'ㅁ']|안잡힘
11|['안', '잡히', 'ㅁ', 'ㅋㅋ', ';']|안잡힘 ㅋㅋ;
12|['호', 'ㄴ', '에', '냉혈', '바르', '자', '~']|혼에 냉혈바르자~
13|['안', '잡히', '네', '손패', '로', 'ㄴ']|안잡히네 손패론
14|['곰팡이', '나', 'ㅇ', 'ㅗ', '이', '면', '잡', '는다']|곰팡이나오면 잡는다
15|['8', '코', '에', '있', '는', '거', '머', '에요', '?', '광고', '때', '매', '가리', '어서', '안보', '이', 'ㅁ']|8코에있는거머에요? 광고때매 가려서 안보임
16|['요원', '뜨', '어도', '못', '잡음']|요원떠도 못잡음
17|['담', '터', 'ㄴ', '곰팡이', '나', 'ㅇ', 'ㅗ', '길', '기', '도하', '셈']|담턴 곰팡이나오길 기도하셈
18|['리치', '와', 'ㅇ', '이용']|리치왕이용
19|['다음', '터', 'ㄴ', '곰팡이', 'ㅅㄱ']|다음턴 곰팡이 ㅅㄱ
20|['리치', '와', 'ㅇ']|리치왕
21|['하', 'ㄹ']|할
22|['오', '아']|와
23|['그래도', '안', '잡히', 'ㅁ']|그래도 안잡힘
24|['그래도', '안', '잡히', 'ㅁ']|그래도안잡힘
25|['그래도', '안', '잡히', 'ㄴ', '은', '데']|그래도안잡힌은데
26|['버', '서', '세', '기울', '니', '소사', '나', 'ㄴ', '다', '~']|버서세 기우니 소사난다~
27|['1', '모', '자르', '아']|1모잘라
28|['그렇', '어도', '안', '되', 'ㅋㅋㅋ']|그래도안되 ㅋㅋㅋ
29|['나오', '아도', '안', '되', '어', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|나와도 안돼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
30|['가운', '대', '에다가', '놓', '아']|가운대에다가 놔
31|['그래도', '정령', '한테', '바르', '아야지']|그래도 정령한테 발라야지
32|['요원', '안', '잡히', '었', '으며', 'ㄴ', 'ㅜㅜ']|요원 안잡혔으면ㅜㅜ
33|['한대', '치', '어', '두', '지']|한대 쳐두지
34|['이거', 'ㄹ', '혼', '을', '안치', '어', '놓', '네', ';', ';', ';', ';']|이걸 혼을 안쳐놓네;;;;
35|['칼', '부', '칼', '부', '수', 'ㄱ', 'ㅗ', '염']|칼부 칼부 수고염
36|['구', '힐', '위니', '동', '하', '게', 'ㄹ', '한', '필드']|구 힐위니 동켈 한 필드
37|['그것', '보다', '좋', '지']|그거보다 좋지
38|['소사', '나', 'ㄴ', '다', '~', '~', '~', '~', '~']|소사난다~~~~~
39|['띠', 'ㅇ', '치', 'ㄱ']|띵치 ㄱ
40|['저것', '극혐', '이기', 'ㄴ', '하다']|저거 극혐이긴 하다
41|['이기', '었', '네', '벌써']|이겼네 벌써
42|['질', '어', 'ㅄ', '이', 'ㄴ데']|질없인데
43|['질', '어', 'ㅄ']|질없
44|['어', '우', '얄밉', '어']|어우 얄미워
45|['하', '게', 'ㄹ', '레', '왜', '안', '들어가', '아', '있', '냐']|켈레왜안들어가있냐
46|['따', '효', '이', '니', '노래', '피하', '아서', '오', '았', '습니다']|따효니 노래 피해서 왔습니다
47|['루', 'ㄱ', '하', '~', '~']|룩하~~
48|['ㅇ', 'ㅠ', '하']|유 하
49|['하', '게', 'ㄹ', '레', '효과', '왜', '안', '들어가', '아', '있', '음', '?']|켈레 효과 왜 안들어가있음?
50|['아', '티어', '데', 'ㄱ', '노잼']|아 티어덱 노잼
51|['멋있', '다', '루', 'ㄱ', '삼']|멋있다 룩삼
52|['라', '스타', '칸', '의', '대', '난투', '이', 'ㅂ니다']|라스타칸의 대난투입니다
