|morphs|origin
0|['승률', '100', '플', 'ㅗ', 'ㄷㄷㄷ', 'ㄷㄷ', 'ㄷㄷ']|승률 100프로 ㄷㄷㄷㄷㄷㄷㄷ
1|['승률', '백', '푸', '어', 'ㄷㄷ']|승률 백퍼 ㄷㄷ
2|['지', 'ㄹ', '때', '빼', '고', '다이', '김', 'ㄷㄷ']|질 때 빼고 다이김ㄷㄷ
3|['질', '때', '빼', '고', '다이', '김', '=', '그냥', '평범', '하', 'ㅁ']|질때빼고 다이김 = 그냥 평범함
4|['짝', '들', '는', '뭐', '야']|짝드는 뭐야
5|['호', 'ㅇ', '머', '병']|홍머병
6|['갓', '데', 'ㄱ', '이', '네']|갓덱이네
7|['딱', '보', '아도', '하', '게', 'ㄹ', '레', '치', '어', '넣', '겠', '네']|딱봐도 켈레 쳐넣겠네
8|['지', '는', '거', '빼', '면', '승률', '100', '플', 'ㅗ']|지는거 빼면 승률 100프로
9|['승률', '100', '푸', '어', 'ㄷㄷ']|승률100퍼 ㄷㄷ
10|['승률', '100', '푸', '어', '이', 'ㅁ']|승률 100퍼임
11|['승률', '100', '푸', '어', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|승률 100퍼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
12|['이', '데', 'ㄱ', '심상', '하', '지', '않', '다', ';']|이덱 심상치않다;
13|['오', '아', '질', '때', '빼', '고', '다이', '김', 'ㄷㄷㄷ']|와 질때빼고 다이김 ㄷㄷㄷ
14|['육성', '도', '짝수', '되', '었', '네']|육성도 짝수됐네
15|['질떄빼고', '다', '이기', 'ㄴ다', '나돌', 'ㄴ데']|질떄빼고 다이긴다 나돈데
16|['없', '는', '거', '빼', '고', '다', '있', '는', '데', 'ㄱ', '일', '듯']|없는거 빼고 다있는 덱일듯
17|['킹', '론', '상', '100', '푸', '어', 'ㅋㅋ']|킹론상 100퍼 ㅋㅋ
18|['지', 'ㄹ', '때', '빼', '고', '승률', '100', 'ㄷㄷ']|질 때 빼고 승률 100ㄷㄷ
19|['사실', '상', '승률', '100', '푸', '어']|사실상 승률 100퍼
20|['통계', '상', '승률', '100', '푸', '어', 'ㅋㅋㅋㅋㅋ']|통계상 승률 100퍼 ㅋㅋㅋㅋㅋ
21|['뭐', 'ㄴ가', '홀리', '는', '말', '이', '다', '질떄빼고', '다이', '김']|뭔가 홀리는 말이다 질떄빼고 다이김
22|['가르침', '을', '주', '시', 'ㅂ쇼']|가르침을 주십쇼
23|['드루', '에', '하', '게', 'ㄹ', '레', '넣', '어', '보', '셈']|드루에 켈레넣어보셈
24|['그', 'ㅂㅅ', 'ㅗ', 'ㄱ', '없', '으면', '짝수', '안', '되', '지', '않', '냐']|급속없으면 짝수 안되지않냐
25|['이론', '상', '승률', '100', '푸', '어', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|이론상 승률 100퍼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
26|['지금', '멀', '지', '랑', '세', '이', '아야', '하', 'ㄴ', '이', '짝수', '드루', '로', '랭크', '박제', '하', '더라']|지금 머지랑 세이얀이 짝수드루로 랭크박제하더라
27|['오', '아', '나', '는', '이', '길', '때', '말', 'ㄱ', 'ㅗ', '다지', '던데']|와 나는 이길때 말고 다지던데
28|['진거', '만', '빼', '면', '승률', '100', '플', 'ㅗ', 'ㄷㄷ']|진거만 빼면 승률 100프로 ㄷㄷ
29|['질', '때', '빼', '고', '다', '이기', '면', '파', 'ㄴㄷ', 'ㅗ', '데', 'ㄱ', '아니', '냐', '?']|질때빼고 다이기면 판도덱아니냐?
30|['오', '아', '육성', '쓰', 'ㄹ', '수', '있', '네']|와 육성 쓸 수 있네
31|['설마', '하', '게', 'ㄹ', '레', '짝수', '드루', '?']|설마 켈레짝수드루?
32|['켈레세스', '넣', '으면', '되', 'ㅁ']|켈레세스 넣으면 됨
33|['오', '아', '!', '6', '성', '!']|와!6성!
34|['하', '게', 'ㄹ', '레', 'ㄱ', '다', 'ㄱ']|켈레 ㄱ다 ㄱ
35|['노루', '크', 'ㄴ', '그림', 'ㄷㄷ']|노루 큰그림 ㄷㄷ
36|['오', '아', '6', '성', 'ㄷㄷ']|와 6성 ㄷㄷ
37|['6', '성', '4', '수', 'ㄹ', '3', '글', 'ㅠ', 'ㅠ']|6성 4술 3글 ㅠㅠ
38|['대신', '그', 'ㅂㅅ', 'ㅗ', 'ㄱ', '이', '없', '음']|대신 급속이없음
39|['아', '마니', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|아마닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
40|['똥', '데', 'ㄱ', '냄새', 'ㅋㅋㅋ']|똥덱냄새 ㅋㅋㅋ
41|['키', 'ㅇ', '라', '스타', '칸']|킹라스타칸
42|['스포', ')', '이것', '짐']|스포) 이거 짐
43|['키', 'ㅇ', '말', '아', '니']|킹 마 니
44|['암', '아니', '과', 'ㅇ', '전사', 'ㄷㄷ']|암아니광전사 ㄷㄷ
45|['키', 'ㅇ', '마니']|킹마니
46|['짝', '들', '냐', '설마']|짝드냐 설마
47|['메이비', 'ㅇ', 'ㅠ', '얼', '과', 'ㅇ', '전사', '~']|메이비 유얼 광전사 ~
48|['노루', '에', '하', '게', 'ㄹ', '레', '넣', '어도', '재밌', '을', '듯']|노루에 켈레넣어도 재밌을듯
49|['똥', '데', 'ㄱ', ';']|똥덱;
50|['샤로', '롤', '백해', '이', '라']|샤로 롤백해라
51|['짝', '드', '에바', 'ㄴ', '데']|짝드 에반데
52|['과', 'ㅇ', '전사', '?']|광전사?
53|['갸', 'ㅇ', '짝', '수리', '아니', '냐']|걍 짝수리아니냐
54|['오', '아', '!']|와!
