|morphs|origin
0|['존스', '로', '드', '로우', '보', '아야', '하', '는', '듯', 'ㅋㅋㅋ']|존스로 드로우봐야하는듯 ㅋㅋㅋ
1|['발', '찌', 'ㄴ', '!']|발찐!
2|['냥', '꾼', '보다', '더', '안', '되', 'ㅁ']|냥꾼보다 더 안됨
3|['치', '어']|쳐
4|['치', '어', '두', '자']|쳐두자
5|['치', '어', 'ㄴ', 'ㅗ', 'ㅎㅎ', '자']|쳐놓ㅎ자
6|['진짜', '너무', '예능', '데', 'ㄱ', '이', '네']|진짜 너무예능덱이네
7|['내부', 'ㄴ', '은', '왜', '쓰', 'ㅁ', '?']|내분은 왜씀?
8|['여관', '주인', '데', 'ㄱ', '이', '차라리', '더', '좋', '을', '듯']|여관주인덱이 차라리 더 좋을듯
9|['근데', '말리', '는', '왜', '들어가', '아', '있', '는', '거', '이', 'ㅁ']|근데 말리는 왜들어가있는거임
10|['이것', '나', '받', '아라']|이거나받아라
11|['큐브', '죽', '은', '척', '수', 'ㄱ', 'ㅗ', '염']|큐브 죽은척 수고염
12|['아아', 'ㅇ']|아앙
13|['큐브', '주', 'ㄱ', '척', '왜', '눈앞', '에', '아른거리', '지']|큐브 죽척 왜 눈앞에 아른거리지
14|['증말', '구데기', '데', 'ㄱ', '이', '네', '열', 'ㄴ', 'ㅎㅎ']|증말구데기덱이네연 ㅎㅎ
15|['큐브', '주', 'ㄱ', '메', 'x', '2']|큐브 죽메 x2
16|['이', 'ㄴㅈ', 'ㅗ', 'ㅇ', '차별', '배', 'ㄴ', 'ㅂ']|인종차별 밴 ㅂ
17|['버티', '는', '데', 'ㄱ', '이', 'ㄴ데', '마', '격하', '나가', '없', '네']|버티는덱인데 마격하나가 없네
18|['너무', '구리', 'ㄴ', '데']|너무 구린데
19|['이', '데', 'ㄱ', '에', '침묵', '하나', '넣', '자']|이덱에침묵하나넣자
20|['바뀌', 'ㄴ다']|바뀐다
21|['갸', 'ㅇ', '하', '지', '말', '아요']|걍 하지마요
22|['모든', '데', 'ㄱ']|모든 덱
23|['노루', '는', '이기', 'ㄹ', '거', '같', '은데']|노루는 이길거같은데
24|['다', '불리', '하', 'ㅁ']|다 불리함
25|['오', '아']|와
