|morphs|origin
59|['ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', '그럼', '데리', '어다', '주', '러', '또', '나가', '아야', '대', '이', '어', '?']|ㅋㅋㅋㅋㅋㅋ 그럼 데려다주러 또나가야대여?
60|['입구', '컷', '당하', '시', '었', '네', 'ㅠ', 'ㅠ', 'ㅠ']|입구컷 당하셨네 ㅠㅠㅠ
61|['치', 'ㄱ']|칙
62|['양치', '를', '하', '시', '어요']|양치를 하세요
63|['배우', 'ㅇ', '못하', '아', '주', '시', '겠', '네']|배웅 못해주시겠네
64|['가발', '떡', '지', '었', '네']|가발 떡졌네
65|['뭐', 'ㄴ가', '납작', '하', 'ㄴ데']|뭔가 납작한데
66|['지', 'ㄴ', '짤', 'ㅗ', '쥐', '가', '먹', '었', '을', '수도', '?']|진짜로 쥐가먹었을수도?
67|['넘기', '어', '버리', '죠']|넘겨버리죠
68|['먼지', '야', '바른대로', '말', '하', '아']|먼지야 바른대로 말해
69|['대', 'ㄴ', '지', '가', '파먹', '었', '네']|댄지가 파먹었네
70|['근데', '오늘', '은', '웬일', '로', '마테', '차', '입대', 'ㄱ', 'ㅗ', '알', 'ㄴ', '드', '시네']|근데 오늘은 웬일로 마테차 입대고 안드시네
71|['오', '아', '머릿결']|와 머릿결
72|['그', '자구', 'ㄱ', '진짜', '쥐이', 'ㅁ']|그 자국 진짜 쥐임
73|['여심', '에', '대하', '아서', '잘', '알', '면', '트', 'ㄹ', '수', '가', '아니', '지']|여심에 대해서 잘알면 트수가 아니지
74|['간만', '에', '저', '채', '엇', '보', 'ㄴ다']|간만에 저챗 본다
75|['가발', '엄청', '많', '으시', 'ㄴ듯']|가발 엄청 많으신듯
76|['언제', '세우', '어', '주', '시', '나요', '?']|언제 세워주시나요?
77|['네', 'ㅇ', '네', 'ㅇ']|넹넹
78|['쉽', 'ㄴ', '사랑']|쉬운사랑
79|['아니', '어제', '레이드', '하', '시', '었', '으면서', '풍', '형', '방송', '도', '보', '시', '었', '음', '?', '멀티', '장난', '아니', '시네']|아니 어제 레이드하셨으면서 풍형방송도 보셨음? 멀티장난아니시네
80|['색감', '이랑', '브금', '이', '이쁘', 'ㅁ']|색감이랑 브금이 이쁨
81|['나크', '잡', '을', '때', '혼자', '수레', '안', '타', '시', '는', '거', '보고', '감격', '하', '았', '습니다']|나크 잡을때 혼자 수레 안 타시는거보고 감격했습니다
82|['새로', '나오', 'ㄴ', '게임', '이', 'ㄴ가요', '?', '?', '?']|새로 나온 게임인가요???
83|['혼자', '수레', '알', 'ㄴ', '잡지', 'ㄴ', '않', '았', '음', '1', '수레', '씨', 'ㄱ', '자주', '하', '았', '는데', 'ㅋㅋㅋ']|혼자 수레 안잡진않았음 1수레씩 자주했는데 ㅋㅋㅋ
84|['또', '영', '이', '배우', 'ㅇ', '해주', 'ㄱ', 'ㅗ', '옴', '?', '?']|또영이 배웅해주고옴??
85|['강', 'ㅗ', '나시', '?']|가오나시?
86|['ㅋㅋㅋ', '그것', '보', '다가', '자', '았', '는데']|ㅋㅋㅋ 그거 보다가 잤는데
87|['강', 'ㅗ', '나시', 'ㅋㅋ']|가오나시 ㅋㅋ
88|['강', 'ㅗ', '나시', 'ㅋㅋ', 'ㅋㅋ']|가오나시 ㅋㅋㅋㅋ
89|['그리드', '?', '덜', 'ㄴ', '그리드', '?']|그리드? 던그리드?
90|['대회', '20', '등', '안', '에', '만', '어', '들', 'ㅂ시다']|대회 20등안에만 듭시다
91|['차분', '하', 'ㄴ', '겜이니까']|차분한 겜이니까
92|['쓰', '어', '멀', '구', '리스']|써멀구리스
93|['스펠링', '이', '다르', 'ㄴ데']|스펠링이 다른데
94|['철자', '가', '다르', 'ㄴ데']|철자가 다른데
95|['그', '그리스', '가', '아니', 'ㄴ디', '요']|그 그리스가 아닌디요
96|['그리스', '가', '나라', '아니', 'ㄴ가']|그리스가 나라아닌가
97|['발', '음마', 'ㄴ', '같', '은', '거', '야', '.', '.']|발음만 같은거야..
98|['다른', '단어', '이', '니까', 'ㅋㅋ']|다른 단어니까 ㅋㅋ
99|['gris', '이', 'ㄴ데']|gris인데
100|['쓰', '어', '머', 'ㄹ', '구', '리스']|써멀 구리스
101|['구', '리스', '바르', '아라']|구리스 발라라
102|['연습', '쪼', 'ㅁ', '하', '시', '었', '나요']|연습 쫌 하셨나요
103|['대회', '이', 'ㄴ데', '연습', '안', '하', '는', '나']|대회인데 연습 안하는 나
104|['연습', '하', 'ㄹ지', '알', '았', '는데']|연습할지 알았는데
105|['광탈', '코', '이', 'ㄴ', '탑', '니다']|광탈코인 탑니다
106|['조', 'ㄴ', '버', 'ㄱ']|존버 ㄱ
107|['피', 'ㅇ', 'ㅠ', '님', '캐릭터', '탐내', '시', '던데']|피유님 캐릭터 탐내시던데
108|['조', 'ㄴ', '버', '타임']|존버 타임
109|['참가', '에', '의의', '를', '두', 'ㅂ시다']|참가에 의의를 둡시다
110|['매', '라도', '나가', '는', '그', '대회', '이', 'ㄴ가']|매라도 나가는 그 대회인가
111|['자가', 'ㅇ', '두천']|자강두천
112|['그냥', '조', 'ㄴ', '버', '메탈', 'ㅗ', '하', '아야', '되', 'ㄹ', '듯']|그냥 존버 메타로해야될듯
113|['라이', 'ㄱ', 'ㅗ', 'ㄴ']|라이곤
114|['라이', 'ㄱ', 'ㅗ', 'ㄴ', '인가']|라이곤인가
115|['조', 'ㄴ', '버', '메타']|존버메타
116|['2', '등', '메탈', 'ㅗ']|2등메타로
117|['잘', '하', '아야', '하', 'ㅁ']|잘해야 함
118|['전', '버', '가시', '지', '어']|전버 가시져
119|['갸', 'ㅇ', '하', '던', '거', '하', '는', '게', '좋', '지', '않', '을', '까', '이', '어', 'ㅋㅋ']|걍 하던거하는게 좋지 않을까여 ㅋㅋ
120|['잘', '하', 'ㄹ', '듯']|잘할듯
121|['조', 'ㄴ', '버', '메탈', 'ㅗ', '가', '나요']|존버메타로 가나요
122|['조', 'ㄴ', '버마', 'ㄴ', '하', '아야', '하', 'ㄹ', '듯', 'ㅠ', 'ㅠ', 'ㅠ']|존버만 해야할듯 ㅠㅠㅠ
123|['조', 'ㄴ', '버', '메타', '3', '등', '가즈아']|존버메타 3등가즈아
124|['저것', '롤', '이랑', '비슷', '하', 'ㄴ', '거', '같', '은데']|저거 롤이랑 비슷한거 같은데
125|['쪼', 'ㄴ', '버', '메타']|쫀버메타
126|['조', 'ㄴ', '벌', 'ㅗ', '2', '등', '하', '아', '보', 'ㅂ시다']|존버로 2등해봅시다
127|['조', 'ㄴ', '버', '해서', '3', '등', 'ㄱㄱ']|존버해서 3등 ㄱㄱ
128|['메라', '님', '은', '기본', '피지컬', '이', '크', 'ㅁ', 'ㅋㅋㅋ']|메라님은 기본 피지컬이 큼 ㅋㅋㅋ
129|['매', '라', '님', '공포', '게임', '개', '못', '하', 'ㅁ']|매라님 공포게임 개못함
130|['쥐', '죽', '은', '듯이', '조', 'ㄴ', '버', '타', '시', '죠']|쥐죽은듯이 존버 타시죠
131|['이제', '바꾸', '기', '에', 'ㄴ', '늦', '은', '것', '같', '은데']|이제 바꾸기엔 늦은것같은데
132|['메라', '도', '잘', '하', '겠', '지', '투사', '체', '잘', '쓰', '는', '사람', '이', 'ㄴ데']|메라도 잘하겠지 투사체 잘쓰는사람인데
133|['누구', '가', '대신', '잡', '아', '주', '기', 'ㄹ', '기다리', '어야', '하', 'ㄹ', '듯']|누가 대신 잡아주길 기다려야할듯
134|['롤', '이랑', '비슷', '하', 'ㄴ', '거', '이', '면', '기본', '적', '으로', '판단', '되', 'ㄹ', '거', '같', '은데']|롤이랑 비슷한거면 기본적으로 판단 될거같은데
135|['매', '메', 'ㄴ']|매멘
136|['적군', '만나', '이', '면', '빠', 'ㄴ', '쓰', '러', 'ㄴ', '메타']|적군만나면 빤쓰런메타
