|morphs|origin
64|['뜨겁', 'ㄴ', '물', '안', '나오', '냐', '집', '에']|뜨거운 물 안 나오냐 집에
65|['아', '혀', 'ㄱ', '주', 'ㄴ', '이랑', '거품', '목욕', '하', '고', '싶', '다']|아 혁준이랑 거품목욕하고싶다
66|['좀', '치', '어', '씻', '고', '방송', '켜', '어']|좀 쳐씻고 방송켜
67|['혀', 'ㄱ', '주', 'ㄴ', '이', '꺼', '빨', '이', '고', '싶', '다']|혁준이꺼 빨고싶다
68|['혀', 'ㄱ', '주', 'ㄴ', '상', '크리스마스', '에디션', '이', '야', '?']|혁준상 크리스마스 에디션이야?
69|['오늘', '아침', '부대', '에서', '김치찌개', '나오', '았', '어']|오늘 아침 부대에서 김치찌개 나왔어
70|['넘', '섹시', '하', '아']|넘 섹시해
71|['시청자', '가', '만만', '하', '냐', '깨끗', '하', '게', '좀', '보', '자', '개', '새', 'ㄱ', '갸']|시청자가만만하냐 깨끗하게 좀 보자 개색갸
72|['아침', '뭐', '어', '들', '시', '었', '어요']|아침 뭐드셨어요
73|['혀', 'ㄱ', '주', 'ㄴ', '아', '안녕']|혁준아 안녕
74|['혀', 'ㄱ', '주', 'ㄴ', '상', '나루', '보이', '어', '주', '어', '!']|혁준상 나루 보여줘!
75|['이제', '바', 'ㄴ', '지나', '았', '는데', '아직', '전설', '못', '가면', '힘즐지않너요']|이제 반 지났는데 아직 전설못가면 힘즐지않너요
76|['혀', 'ㄱ', '주', 'ㄴ', '상', '저', '아침', '으로', '삼겹살', '먹', '어요', '잘했죵?']|혁준상 저 아침으로 삼겹살 먹어요 잘했죵?
77|['혀', 'ㄱ', '주', 'ㄴ', '아', '냉면', '에', '만두', '두', '판', '묵자', '사리', '추가', '도', '하', '고', '!', '캬']|혁준아 냉면에 만두 두판 묵자 사리 추가도 하고! 캬
78|['혀', 'ㄱ', '주', 'ㄴ', '이', '먹', '고', '싶', '다']|혁준이 먹고싶다
79|['조선', '혀', 'ㄱ', '주', 'ㄴ']|조선혁준
