|morphs|origin
66|['타이밍', '못', '맞추', 'ㄴ', '거', '이', 'ㅁ', '^^']|타이밍 못맞춘거임 ^^
67|['배경', '이', 'ㅁ']|배경임
68|['각', '을', '보', '시', 'ㅂ쇼']|각을보십쇼
69|['되', '는', '거', '이', 'ㅁ']|되는거임
70|['마지막', '에', 'ㄴ', '뛰', '는', '거', '계속', '연속', '으로', '나오', '아요']|마지막엔 뛰는거 계속 연속으로 나와요
71|['게임', '방법', '을', '보', '아', '이', '어']|게임방법을 봐여
72|['건물', '에', '걷', '어야', '하', 'ㅁ']|건물에 걸어야함
73|['오늘', '달리', '어', '보', '시', 'ㄹ', '?']|오늘 달려보실?
74|['지붕', '위', '에다', '붙이', '어야', '죠']|지붕위에다 붙여야죠
75|['느리', '어']|느려
76|['개', '못', '하', '아', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|개못해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
77|['두', '번', '누', 'ㄹ', '러', '요', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|두번눌러욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
78|['봄', '꽃피', '는', '날', '-', '>', '특수', '문자', '도배', '에', '주의', '하', '아', '주', '시', '어요', '.', '[', '경고', ']']|봄꽃피는날 -> 특수문자 도배에 주의해주세요. [경고]
79|['빨리', '누르', '어야', '되', '요']|빨리 눌러야되요
80|['빨리', '하', '시', '어야', '하', '아요']|빨리하셔야해요
81|['형', '이', '못하', '는', '걸', '끄', '어야']|형이 못하는걸꺼야
82|['초등학생', '때', '부터', '지금', '까지', '10년', '간', '하', '아', '오', '았', '지만', '못', '깨', '었', '음']|초등학생때부터 지금까지 10년간 해왔지만 못깼음
83|['건물', '에', '걸', '고', '가', '아야', '하', 'ㅁ']|건물에 걸고 가야함
84|['타', '-', '이', '-', '미', 'ㅇ']|타 - 이 - 밍
85|['켠', '왕해', '도', '못하', 'ㄹ', '것', '같', '아', '.', '.']|켠왕해도 못할 것같아..
86|['클릭', '을', '2', '번', '하', '아', '보', '새', '요']|클릭을2번해보새요
87|['오', '아']|와
88|['절', '대', '게', '임', '방', '법', '보', '아']|절 대 게 임 방 법 봐
89|['뒤', '에', '부처', '냥', '비웃', '는', '거', '보', '아', '...']|뒤에 부처냥 비웃는거봐...
90|['형', '이', '못하', '아서', '그', '랩']|형이 못해서 그랩
91|['반', '응소', 'ㄱㄷ', 'ㅗ', '가', 'ㅠ', 'ㅠ']|반응속도가 ㅠㅠ
92|['점프', '해서', '그것', '왜', '쏘겟어요']|점프해서 그걸 왜 쏘겟어요
93|['빨', '리가', '아니', '라 주', 'ㄹ', '날리', '어서']|빨리가아니라 줄날려서
94|['초', '딩', '서', 'ㄴ', '에서', '정리']|초딩선에서 정리
95|['뚫어뻥', '쓰', '시', '어요']|뚫어뻥쓰세요
96|['건물', 'ㄲ', 'ㅗ', 'ㄱ', '대기', ';']|건물꼭대기;
97|['게임', '방법', '을', '보', '아요']|게임방법을 봐요
98|['망하', 'ㄹ', '만', '하', '었', '네', '.', '.']|망할만했네..
99|['노라', 'ㄴ', '줄', '만', '되', '지', '않', '나', 'ㅋㅋ']|노란줄만 되지않나 ㅋㅋ
100|['바닥', '이', '노란색', '이', '아야']|바닥이 노란색이여야
101|['켠', '와', 'ㅇ', '성공', '하', 'ㄹ려면', '3', '일', '은', '걸리', 'ㄹ', '듯', 'ㅋㅋ', 'ㅋㅋ']|켠왕 성공 할려면 3일은 걸릴듯ㅋㅋㅋㅋ
102|['네', 'ㅇ']|넹
103|['게임', '방법', '을', '보', '고', '하', '는', '게', '어떻', 'ㄹ까요']|게임방법을 보고 하는게 어떨까요
104|['붉', '으락']|불그락
105|['잘', '하', 'ㄴ다', '!']|잘한다!
106|['쉽', '다고', '말씀', '하', '시', 'ㄴ', '분이', '어디', '에', '있', '는', '누구', '시', 'ㄴ가요', '?', 'ㅋㅋ']|쉽다고 말씀하신 분이 어디에 있는 누구신가요?ㅋㅋ
107|['네', '죄송', '하', 'ㅂ니다', '.', '.']|네 죄송합니다..
108|['형', '화면', '못', '키우', '어', '주', '시', '나요']|형 화면 못키워주시나요
109|['키', 'ㅇ', 'ㅡㅡㅡ', '억']|킹 ㅡㅡㅡ 억
110|['발', '----', '끌', 'ㄴ']|발 ---- 끈
111|['너무', '자', 'ㄹ', '하네', '이', '어']|너무 잘하네여
112|['울', '그', '라', 'ㄱ', '붉', '으락']|울그락 불그락
113|['뚜', '루', '뻥', '으로', '주', 'ㄹ', '달', '아서', '매달리', '는', '거', '이', 'ㅁ']|뚜루뻥으로 줄 달아서 매달리는거임
114|['바닥', '이', '노란색', '이', '아야', '차', 'ㄱ', '지', '가능', '하', 'ㄴ', '듯']|바닥이 노란색이여야 착지 가능한듯
115|['너', '몇', '점', '이', 'ㄴ데', 'ㅋㅋ']|너몇점인데 ㅋㅋ
116|['바르', 'ㅡㅡ', '끈']|발ㅡㅡㅡ끈
117|['추억', '으로', '손', '크', '어', 'ㄴ']|추억으로 손컨
118|['그때', '도', '이렇', '었', '자', '나', '이것', '도', '추억', '이야']|그때도 이랬자나 이것도 추억이야
119|['형', '너무', '못하', '아', '.', '.']|형 너무 못해..
120|['몇', '점', '이', 'ㄴ데', 'ㅋㅋ']|몇점인데 ㅋㅋ
121|['저', '기어', 'ㄱㄷ', 'ㅗ', '안나', '요', 'ㅋㅋ']|저 기억도 안나요 ㅋㅋ
122|['디', 'ㄹ', '넣', '다가', '오늘', '방송', '이', '추억', '되', 'ㄹ', '수도', '.', '.']|딜 넣다가 오늘방송이 추억될수도..
123|['빨리', '누르', '어']|빨리 눌러
124|['개', '못', '하', '아']|개못해
125|['미리', '날리', '어야', '주', '어']|미리 날려야줘
126|['바로', '누르', '세', '이', '어']|바로 누르세여
127|['되', '게', '못하', 'ㄴ다']|되게못한다
128|['형', '이', '느리', '어']|형이 느려
129|['저기', '건물', '에', '하', '아야', '하', '아요']|저기 건물에 해야해요
130|['더', '일', '찌', 'ㄱ', '!!']|더 일찍!!
131|['빨리', '누르', '어요']|빨리눌러요
132|['바닥', '이', '노란색', '이', '아야', '차', 'ㄱ', '지', '가능한듯ㅋㅋㅋ']|바닥이 노란색이여야 착지 가능한듯ㅋㅋㅋ
133|['방법', '을', '한', '번', '보세', '이', '어']|방법을 한번 보세여
134|['풍', '형', '빈정', '하', '았었', '어', 'ㅠ', 'ㅠ']|풍형 빈정했었어 ㅠㅠ
135|['노란색', '이', '아니', '아서']|노란색이 아니여서
136|['뚫어뻥', '각', '도', '고정', '이', '라', '그러', 'ㅁ']|뚫어뻥 각도 고정이라그럼
137|['건물', '에', '뚜', 'ㄹ', '어', '뻥', '을', '것', '러', 'ㅇ', '야', '하', 'ㅁ']|건물에 뚤어뻥을 거렁야함
138|['빨리', '누르', '어']|빨리눌러
139|['더', '빨리', 'ㄹ', '요']|더 빨릴요
140|['네네', '안', '밟', '아', '지', 'ㅁ']|네네 안밟아짐
141|['얼굴', '붉히', '는', '게', '아니', '라', '되', '는', '거', '맞', '다고', '말', '하', '아', '주', '는', '거', 'ㄴ', '데']|얼굴 붉히는게 아니라 되는거 맞다고 말해주는건데
142|['주니어', '부르', '어라']|주니어불러라
143|['내', '가', '한때', '말', '이', '어', '~']|내가 한때말여~
144|['네', '안', '밟', '아', '지', '어요']|네 안 밟아져요
145|['주', 'ㄹ', '걷', '어야', '하', '아요']|줄 걸어야해요
146|['그것', '꾸', '러', '뻥', '으로']|그거 꾸러뻥으로
147|['꾹', '누르', '어야', '되', 'ㅁ']|꾹 눌러야됨
148|['꾹', '누르', '고', '있', '어야', '하', '아']|꾹누르고있어야해
149|['형', '이', '늦', '게', '하', '아서']|형이 늦게해서
150|['안', '밟', '아', '지', '어']|안밟아져
151|['뚜러뻥을', '붙이', '어야', '죠']|뚜러뻥을 붙여야죠
152|['리', '어', '들', 'ㅁ', '.']|리 듬.
153|['너무', '늦', '게', '누르', '어서', '그러', '어']|너무 늦게 눌러서 그래
154|['뚫어뻥', '쓰', '어야', '되', 'ㄹ껄', '요', '?']|뚫어뻥 써야될껄요?
155|['당연', '하', '자', 'ㄴ', '아요']|당연하잔아요
156|['그것', '걸', '는', '거', '아니', 'ㄴ가']|그거 거는거아닌가
157|['네', '안', '밟히', '어요']|네 안밟혀요
158|['더블', '점프', '아니', 'ㅁ', '?', '?', '?', '?', '?']|더블점프 아님?????
159|['뚜러ㅃㅇ으로', '가', '아야', '되', '요']|뚜러ㅃㅇ으로 가야되요
160|['뚜러뽕이', '대각선', '이', '라', '더', '빨리', '하', '아야', '하', '아요']|뚜러뽕이 대각선이라 더 빨리 해야해요
161|['형', '겜방법을', '보', '아', '보', '자']|형 겜방법을 봐보자
162|['게임', '방법', '한', '번', '보세', '이', '어']|게임방법 한번 보세여
163|['빨리', '하', '시', '어요']|빨리하세요
164|['안', '밟', '하', '지', 'ㅁ']|안밟하짐
165|['더블첨프', '아니', 'ㅁ', '?']|더블첨프 아님?
166|['따', '다', 'ㄱ']|따닥
167|['형님', '그', '지붕', '에', 'ㄴ', '노라', 'ㄴ', '부부', 'ㄴ', '이', '없', '는', '거', '같', '습니다', '.']|형님 그지붕엔 노란부분이 없는거 같습니다.
168|['안', '밟', '아', '지', 'ㅂ니다', '.', '.']|안밟아집니다..
169|['더', '블', '크', 'ㄹ', '리', 'ㄱ']|더 블 클 릭
170|['노라', 'ㄴ', '줄', '이', '아니', '지', '않', '시', '엉']|노란줄이 아니잖엉
171|['노라', 'ㄴ', '발판']|노란 발판
172|['그래픽', '맞', '아', '여', 'ㅋㅋ']|그래픽 맞아옄ㅋ
173|['뚫어뻥', '으로', '가', '아야', '하', 'ㅁ']|뚫어뻥으로 가야함
174|['형', '공략', '보고', '오', '시', '어요']|형 공략보고 오세요
175|['네', '거', '기안', '밟', '아', '지', 'ㅂ니다']|네 거기안밟아집니다
176|['뚜러뻥으로', '붙이', '시', '어요']|뚜러뻥으로 붙이세요
177|['뚫어뻥', '쓰', '어야', '되', '요']|뚫어뻥 써야되요
178|['뚫어뻥', '만', '걷', '어야', '되', 'ㅁ']|뚫어뻥만 걸어야됨
179|['느리', '어요']|느려요
180|['일찌감치', '뚫어뻥', '을', '쏘', '아야', '하', 'ㄹ', '듯']|일찌감치 뚫어뻥을 쏴야할듯
181|['노라', 'ㄴ', '지붕', '이어', 'ㅄ', '이', '어서', '?']|노란지붕이없어서?
182|['집', '밟', '는', '거', '아니', 'ㅁ']|집 밟는거 아님
183|['더블클릭', '하', '아야', '되', '는', '거', '이', 'ㅁ']|더블클릭해야되는거임
184|['재미', '쓰', '어', '꾸', '용', 'ㅎ']|재미써꾸용 ㅎ
185|['빨리', '눌리', '어야', '하', 'ㅁ']|빨리눌려야함
186|['꾹', '누르', '어요']|꾹눌러요
187|['이것', '줄', '타', '는', '게임', '이', '잖아', '웜즈', '처럼']|이거 줄타는 게임이잖아 웜즈처럼
188|['뚜', 'ㄹ', '어', '뻥', '으로', '잡', '아서']|뚤어뻥으로 잡아서
189|['거기', '뚜러뻥으로', '아까', '넘', '어', '가시', '엇', '자', '나', '요', 'ㅋㅋ', 'ㅋㅋ']|거기 뚜러뻥으로 아까 넘어가셧자나요 ㅋㅋㅋㅋ
190|['않', '이', '그것', '외', ';', ';', ';', ';']|않이 그걸 외 ;;;;
191|['네', 'ㅇ', 'ㅋㅋ']|넹ㅋㅋ
192|['못', '밟', '아', '이', '어', '뚜러뻥해야대여']|못밟아여 뚜러뻥해야대여
193|['저기', '안', '되', 'ㄴ다구요', '!', '!!', '!!']|저기 안된다구요!!!!!
194|['안', '밟', '아', '지', '고', '뚫어뻥', '끼우', '어야', '되', 'ㅁ']|안밟아지고 뚫어뻥 끼워야됨
195|['대', '각', '으로', '쏘', '아요']|대각으로 쏴요
196|['처음', '에', 'ㄴ', '성공', '하', '시', '었', '는데', '어떻', '게', '성공', '하', '았', '지']|처음엔 성공하셨는데 어떻게 성공했지
197|['주니어', ':', '아빠', 'ㅈㄴ', '못', '하', '아']|주니어: 아빠 ㅈㄴ못해
198|['밟', '는', '게', '아니', '라', '줄', '을', '쏘', '아야', '하', '아요']|밟는게 아니라 줄을 쏴야해요
199|['줄', '달', '아서', '넘어가', '는', '거', '애', '이', '어']|줄달아서 넘어가는거애여
200|['지붕', '새', 'ㄱ', '이', '다르', '자', '나', '요', 'ㅋㅋㅋ']|지붕 색이 다르자나요 ㅋㅋㅋ
201|['ㄴㄴ', '거기', '말', 'ㄱ', 'ㅗ', '위', '에', 'ㅋㅋㅋㅋㅋ']|ㄴㄴ거기말고 위에 ㅋㅋㅋㅋㅋ
202|['2', '단', '점프', '하', '시', '어요', '~', '!']|2단점프하세요~!
203|['밟', '는', '게', '아니', '도', '뚫어뻥', '으로', '붙', '아서', '가', '는', '거', '이', 'ㅁ']|밟는게 아니도 뚫어뻥으로 붙여서 가는거임
204|['뚜러뻥으로', '붙', '혀', '야', '되', '어']|뚜러뻥으로 붙혀야돼
205|['게임', '방법', '을', '보', '시', '고', '하', '는', '게', '어떻', 'ㄹ까요']|게임방법을 보시고 하는게 어떨까요
206|['너', '라', 'ㅇ', '새', 'ㄱ', '만', '밟', '아', '지', '느', '드', 'ㄱ']|너랑색만 밟아지느득
207|['저기', 'ㄴ', '2', '단', '요', '.']|저긴 2단요.
208|['밟', '는', '게', '아니', '라', '줄', '탁', 'ㅗ', '넘어가는거예ㅒ요']|밟는게 아니라 줄타고 넘어가는거예ㅒ요
209|['게임', '방법', '보세', '이', '어']|게임방법 보세여
210|['형', '거기', '타잔', '밧줄', '로', '가', '아야', '하', '아']|형 거기 타잔밧줄로 가야해
211|['노라', 'ㄴ', '데', '만', '밟', '아', '지', '는', '듯']|노란데만 밟아지는듯
212|['더블클릭', '에', '꾹', '누르', '어야', '되', 'ㅁ']|더블클릭에 꾹눌러야됨
213|['지붕', '에', '뚜러뻥을', '붙이', '어야', '하', '아요']|지붕에 뚜러뻥을 붙여야 해요
214|['줄이', 'ㄴ다']|줄인다
215|['뚫어뻥', '으로', '지붕', '을', '붙이', '시', '어요']|뚫어뻥으로 지붕을 붙이세요
216|['밟', '는', '거', '아니', 'ㅁ']|밟는거아님
217|['안', '밟', '아', '지', '어', '용']|안밟아져용
218|['2', '번', '누르', '어', '!', '!!', '!!', '형']|2번 눌러!!!!! 형
219|['게임', '방법', '을', '읽', '어', '주', '시', '어요', 'ㅠ']|게임방법을 읽어주세요 ㅠ
220|['방법', '한', '번', '만', '보아주', '시', '면', '안', '되', 'ㄹ', '까', '이', '어', 'ㅜㅜ']|방법 한번만 봐주시면 안될까여 ㅜㅜ
221|['지붕', '에', '뚫어뻥', '달', '고', '가', '아야', '되', 'ㅁ']|지붕에 뚫어뻥 달고 가야됨
222|['만점', '은', '가', '아야지']|만점은 가야지
223|['줄', '날리', '는', '거', 'ㄹ', '건물', '에', '걸', '는', '거']|줄날리는걸 건물에거는거
224|['2', '단', '점프', '하', '아야', '되', '요']|2단점프해야되요
225|['그것', '밟', '는', '거', '아니', '고', '2', '단', '뒤', '어야', '하', '아요']|그거 밟는거 아니고 2단 뒤어야해요
226|['두', '번', '클릭', '하고', '꾹', '누르', '고', '있', '어야', '하', '아']|두번클릭하고 꾹누르고있어야해
227|['게임', '방법', '보', '시', '어요']|게임방법 보세요
228|['이거', 'ㄹ', '만점', '도', '못', '가', 'ㄴ다고', '?', '심', '한데', 'ㅋㅋㅋㅋㅋ']|이걸 만점도 못간다ㄱㅗ?심한데 ㅋㅋㅋㅋㅋ
229|['탑', '에서', '뚫어뻥', '쓰', '어야', '하', 'ㄹ', '거', '에', '이', '어']|탑에서 뚫어뻥 써야할거에여
230|['게임', '방법', '보', '아', '보', '아요']|게임방법 봐봐요
231|['ㄱ', 'ㅗ', '정학', 'ㅗ', '추', '처럼', '움직이', '세', '영']|고정하고 추처럼 움직이세영
232|['형', '거기', '타잔', '마냥', '밧줄', '걷', '어야', '하', '아']|형 거기 타잔마냥 밧줄걸어야해
233|['두', '번', '누르', '어서', '넘', '으라고', '오']|두번눌러서 넘으라고오
234|['바닥', '이', '노란색', '이', '아야', '차', 'ㄱ', '지', '가능']|바닥이 노란색이여야 착지 가능
235|['실력', '은', '그대로', '이', 'ㅁ']|실력은 그대로임
236|['거기', 'ㄴ', '줄', '달', 'ㄱ', 'ㅗ', '가', '는', '거', '야']|거긴 줄달고 가는거야
237|['지붕', '새', 'ㄱ', '이', '다르', 'ㅁ']|지붕 색이 다름
238|['노라', 'ㄴ', '바닥', '이', '아니', '라서', '.', '.']|노란바닥이 아니라서..
239|['펴', '어', '느', 'ㅡㅡ', 'ㅡㅡ', '안']|편ㅡㅡㅡㅡㅡ안
240|['밞는거', 'ㅇ', '아니', 'ㄱ', 'ㅗ', '뚫어뻥', '걷', '어서', '건너가', '는', '거']|밞는거 ㅇ아니고 뚫어뻥 걸어서 건너가는거
241|['너무', '느리', '어', '...', '.']|너무 느려 ....
242|['잘', '보이', 'ㄴ', '당', 'ㅋㅋㅋ']|잘보인당 ㅋㅋㅋ
243|['ㅇ', 'ㅗ', '잘', '보이', '어']|오 잘보여
244|['풍', '님', '승부욕', '생기', '어', '따', 'ㅋㅋ']|풍님 승부욕 생겨따ㅋㅋ
245|['3', '층', '에', '뚜러뻥', '고정', '시키', '어야', '...']|3층에 뚜러뻥 고정시켜야...
246|['래', '킹', '볼', '처럼', '걷', '어야', '되', '는', '거', '같', '은', '디', '요', '?']|래킹볼처럼 걸어야 되는거 같은디요?
247|['밟', '는', '게', '아니', '라', '로프', '달', 'ㄱ', 'ㅗ', '로프', '액션', '...']|밟는게 아니라 로프달고 로프액션...
