|morphs|origin
0|['머', '굽', '어서']|머구워서
1|['캐리', 'ㄱ', '마다', '다르', 'ㅁ']|캐릭마다 다름
2|['무겁', '어서요']|무거워서요
3|['한', '번', '만', '되', '고', '보통', '점프', '+', '위', 'B', '로', '올라오', '아요']|한번만되고 보통 점프 + 위 B로 올라와요
4|['캐리', 'ㄱ', '마다', '다르', '아요']|캐릭마다 달라요
5|['위로', '필사', 'ㄹ']|위로필살
6|['기술', '쓰', '어야', '대', 'ㅁ']|기술써야댐
7|['복귀', '이', '기']|복귀기
8|['위', '피살', '이', '기']|위 피살기
9|['위', '필사', 'ㄹ']|위 필살
10|['캐리', 'ㄱ', '마다', '다른', '듯']|캐릭마다 다른듯
11|['되', '어', '지', '라서']|돼지라서
12|['동키콩', '이', '라', '안', '되', '는', '거', '아니', 'ㅁ', '?']|동키콩이라 안되는거아님?
13|['나', 'ㄴ', '주', 'ㄱ', '태', 'ㄱ', 'ㅋㅋ']|난죽택 ㅋㅋ
14|['포켓몬', '더', '보', '아', '영']|포켓몬 더 봐영
15|['캐리', 'ㄱ', '마다', '점프', '달라', '이', '어']|캐릭마다 점프 달라여
16|['점프', '해서', '내려가', '아서', '그럼']|점프해서 내려가서 그럼
17|['동키콩', '은', '좀', '그렇', '네', 'ㅋㅋ']|동키콩은 좀 그러네 ㅋㅋ
18|['ㅇㅇ', '그것']|ㅇㅇ 그거
19|['캐리', 'ㄱ', '마다', '다르', 'ㅁ', '점프', '횟수', '는']|캐릭마다 다름 점프횟수는
20|['올라오', '는', '거', 'ㄴ', '마을', '주민', '이', '짱', '이', 'ㄴ', '거', '같', '던데']|올라오는건 마을주민이 짱인거 같던데
21|['얘', '복귀', '이', '기', '너프', '먹', '었', '다']|얘 복귀기 너프 먹었다
22|['캐리', 'ㄱ', '마다', '다르', '아서']|캐릭마다 달라서
23|['리틀', '매', 'ㄱ', '하', '았', '다간', '난리', '날', '듯']|리틀 맥 했다간 난리 날듯
24|['점프', '하', '고', '필살기', '열', 'ㄴ', 'ㄱ']|점프하고 필살기 연ㄱ
25|['떨어지', 'ㄴ', '상태', '가', '점프', '가', '되', 'ㄴ', '상태', '이', '라', '아니', 'ㄹ까요']|떨어진 상태가 점프가 된 상태라 아닐까요
26|['구쭈', '사', '았', '다', '이', 'ㅇ']|구쭈 샀다잉
