|morphs|origin
0|['조', 'ㄴ', '잘', 'ㄷㄷ']|존 잘 ㄷㄷ
1|['다음', '게임', '은', '뭔', '강', 'ㅠ', '?']|다음게임은 뭔가유?
2|['조', 'ㄴ', '날', '님', 'ㅠ']|존날니뮤
3|['이', 'ㅇ', '이것', '전', '에', '하', '았', '던', '겜', '아니', 'ㄴ가', '이', '어']|잉 이거 전에 했던 겜 아닌가여
4|['오늘', '따라', '귀엽', '시', '네요', '7777']|오늘따라 귀여우시네요 7777
5|['풍', '형', '왤케', '피곤', '하', '아', '보이', '지']|풍형 왤케 피곤해보이지
6|['존잘', '님', 'ㅠ']|존잘니뮤
7|['먹', '을', '거', 'ㄹ', '안', '가지', '어', '오', '시', '엇', '어', '...', 'ㄷㄷ']|먹을걸 안가져오셧어... ㄷㄷ
8|['귀엽', 'ㄴ', '풍', '님']|귀여운풍님
9|['형', '피곤', '하', '아', '보이', 'ㄴ', '대', '요', 'ㅠ', 'ㅠ']|형 피곤해 보인대요 ㅠㅠ
10|['형', '표정', '무섭', '어요']|형 표정 무서워요
11|['로', '아를', '실행', '하', '시', '었', '나']|로아를 실행하셨나
12|['오늘', '따르', '아', '표정', '이', '예술', '이', '시녀', '요', '7777']|오늘 따라 표정이 예술이시녀요 7777
13|['끼', '루', 'ㄱ', '끼', '루', 'ㄱ']|끼룩끼룩
14|['방금', '나', 'ㅇ', 'ㅗ', 'ㄴ', '노래', '혹시', '뭐', 'ㄴ', '가', '이', '어', '?']|방금나온노래 혹시뭔가여?
15|['아라비아', 'ㄴ']|아라비안
16|['정수리', '가', '많이', '까맣', '게', '되', '시', '었', '네요']|정수리가 많이 까맣게되셨네요
17|['오늘', '하', 'ㄹ', '게임', '은', '!']|오늘할게임은!
18|['와우', 'ㅇ']|와웅
19|['와우', '가즈아', '아아', 'ㅇ', '아']|와우 가즈아아앙아
20|['도미', 'ㄴ', '아']|도민아
21|['갓겜', '냄새', '나', 'ㄴ다', '.', '.']|갓겜 냄새 난다..
22|['방탄', '노래', 'ㄴ', '데', '제목', '이', '기억', '안나', '방금', '노래']|방탄노랜데 제목이 기억안나 방금노래
23|['돌', '네', 'ㄷㄷ']|도네 ㄷㄷ
24|['킁킁', '냄새', '가', '나', 'ㄴ다']|킁킁 냄새가 난다
25|['ㅇ', 'ㅗ', '브금', '뭐', '야']|오 브금 뭐야
26|['ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇㅇ', '?']|오옹ㅇ?
27|['kda', '브금', '이', 'ㄴ', '줄']|kda 브금인줄
28|['만지', '어']|만져
29|['UI', '만', '한글', '이래', '이', '어', '스토리', '는', '아니', 'ㄱ', 'ㅗ', '!!']|UI만 한글이래여 스토리는 아니고!!
30|['투표', '어', '하', '게', '하', '는', '거', '야']|투표어케 하는거야
31|['두', 'ㅁ', '이', 'ㄴ', '줄']|둠인줄
32|['ㅇ', 'ㅗ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|오 ㅋㅋㅋㅋㅋㅋ
33|['예습', '매', 'ㄴ']|예습맨
34|['트', 'ㄹ', '수', '님']|트수님
35|['이것', '갓겜인데']|이거 갓겜인데
36|['갓', '트', 'ㄹ', '수']|갓트수
37|['풍', '형', '티셔츠', '너무', '크', '어', '이', '어', '울', 'ㄴ데', '어디', '브랜드', '에요', '?']|풍형 티셔츠 너무 커여운데 어디 브랜드에요?
38|['갓', '--', '트', 'ㄹ', '수']|갓--트수
39|['트', 'ㄹ', '수', '가', '미래', '다']|트수가 미래다
40|['그래서', '안', '사', '았', '음', '...', '...', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|그래서 안샀음......ㅋㅋㅋㅋㅋㅋ
41|['트', 'ㄹ', '수', '가', '미래', '다', 'ㅋㅋㅋ']|트수가 미래다 ㅋㅋㅋ
42|['이것', '도', '트', 'ㄹ', '수', '게임', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|이거도 트수 게임 ㅋㅋㅋㅋㅋㅋ
43|['이름값', '못하', '네', '트', 'ㄹ', '수']|이름값 못하네 트수
44|['능력', '있', '는', '분', '은', '트', 'ㄹ', '수', '아니', 'ㅁ']|능력있는분은 트수아님
45|['트', '가', '앗']|트갓
46|['트', 'ㄹ', '수', '님', '이', '라니', '존칭', '과', '멸치', 'ㅇ', '이', '다', '들', '어', '있', '네']|트수님이라니 존칭과 멸칭이 다들어있네
47|['트', 'ㄹ', '수', '가', '미래', 'ㅋㅋ']|트수가 미래 ㅋㅋ
48|['저것', '사', '아야', '하', '겠', '네']|저거 사야겠네
49|['취업뺴고', '다', '자', 'ㄹ', '한대', 'ㅠ', 'ㅠ']|취업뺴고 다잘한대 ㅠㅠ
50|['형', '저', '왜', '취업', '이', '안', '되', '어', '지', '어']|형 저 왜 취업이 안 돼져
51|['한국', '게임', '산업', '은', '트', 'ㄹ', '수', '에게', '맡기', '라고']|한국 게임 산업은 트수에게 맡기라고
52|['이것', '보', '고', '나', '면', '살것같다ㅋㅋㅋㅋ']|이거보고나면 살것같다ㅋㅋㅋㅋ
53|['트', 'ㄹ', '수', '를', '믿', '었', '어']|트수를 믿었어
54|['현역', '트', 'ㄹ', '수', '이', 'ㅂ니다', '.', '괴롭히', '지', '마시', 'ㅂ시오', '.']|현역 트수입니다. 괴롭히지 마십시오.
55|['저', '정도', '능력자', '는', '이미', '다', '취업', '하', '아서', '그러', '어']|저정도 능력자는 이미 다 취업해서 그래
56|['취업', '과', '연예', '빽', 'ㅗ', '다', '잘', '하', '는', '트', 'ㄹ', '수', '들', '.', '.']|취업과 연예빼고 다 잘하는 트수들..
57|['취업', '을', '안', '하', '아서']|취업을 안해서
58|['이것', '옛날', '에', '하', '았', '던', '게임', '이', 'ㄴ가요', '?']|이거 옛날에 했던 게임인가요?
59|['여기', '까지', '가', '끝', '이', 'ㄴ', '갑', 'ㅗ', 'ㅇ', 'ㅗ']|여기까지가 끝인가보오
60|['두', 'ㅁ', '두', 'ㅁ']|둠둠
61|['취업', '하', '지', '않', '으면', '취업', '못', '하', '아요']|취업하지않으면 취업못해요
62|['취업', '을', '안', '하', '아서', '죄송', '하', 'ㅂ니다']|취업을 안해서 죄송합니다
63|['트', 'ㄹ', '수', '들', '이', '못하', '는', '단', '두', '가지', '1', ',', '취업', '2', ',', '여친']|트수들이 못하는 단 두가지 1, 취업 2, 여친
64|['노래', '좋', '은', '거', '봇', 'ㅗ', 'ㄷ']|노래 좋은거보소 ㄷ
65|['취업', '하', '는', '가장', '좋', '은', '방법', '은', '취업', '을', '하', '는', '거', '예', 'ㅇ', 'ㅗ']|취업하는 가장 좋은 방법은 취업을 하는 거예오
