|morphs|origin
0|['덜', 'ㄴ', '파이터', '들', '역겹', '네']|던파이터들역겹네
1|['현', '타', '아', '오', '아서', '?']|현타와서?
2|['근데', '구', 'ㅇ', '을', '한', '번', '도', '안', '쓰', '냐', 'ㅋㅋㅋ']|근데 궁을 한번도 안쓰냐 ㅋㅋㅋ
3|['오', '아', '진짜']|와 진짜
4|['이', 'ㅇ', '?', '왤케', '많이', '죽음', '?']|잉? 왤케 많이 죽음?
5|['누구', '가', '다', '죽', '엇', '나요', '?']|누가 다 죽엇나요?
6|['빠르', 'ㄴ', '리', 'ㄱㄱ']|빠른 리 ㄱㄱ
7|['재', 'ㅁ', '서', '크', '어']|잼서커
8|['동수', 'ㄱ', '이형', '접', '으면', '?']|동숙이형 접으면?
9|['아야', '합', '아야', '합', '이', '옷', '왜', '저러', 'ㅁ', '?']|얍얍이 옷 왜저럼?
10|['나노', '무비', 'ㅇ', 'ㄷㄷ']|나노무빙 ㄷㄷ
11|['컨트롤', 'ㅇ', 'ㅗ', '지', '엇', '다']|컨트롤오졋다
12|['인파', '제압', '올리', '어', '보', '았', '자', '별', '차이', '안남']|인파 제압 올려봤자 별 차이안남
13|['ㅇ', 'ㅗ']|오
14|['디', 'ㄹ', '좀', '넣어봐욧']|딜좀 넣어봐욧
15|['근데', '밑', '으로', '쭉', '내려가', '아도', '안', '맞', '지', '않', '냐']|근데 밑으로 쭉내려가도 안맞지않냐
16|['방금', '뭐', '야', '무비', 'ㅇ', 'ㅋㅋ']|방금뭐야 무빙ㅋㅋ
17|['나', 'ㄴ', 'ㅗ', '무', '비', 'ㅇ', '빛', '성', '태']|나 노 무 빙 빛 성 태
18|['아야', '합', '날', '두', 'ㄷㄷ']|얍날두 ㄷㄷ
19|['이것', '못하', '겠', '는데']|이거 못하겠는데
20|['바드', '구', 'ㅇ']|바드궁
21|['220', 'v', '이', '라서']|220v라서
22|['33', '푸', '어', 'ㅋㅋ']|33퍼 ㅋㅋ
23|['33', '에바', 'ㄴ', '데']|33 에반데
24|['딜도', '모라', '이', '라네']|딜도모라라네
25|['버', '서', '크', '어', 'ㄴ', 'ㅗ', '폭주', '이', '라서', '안', '되', 'ㅁ', 'ㅋㅋ']|버서커 노폭주라서 안됨 ㅋㅋ
26|['재', 'ㅁ', '랑', '미', '뭐', '하', '아', '!']|잼랑미 뭐해!
27|['33', '플', 'ㅗ']|33프로
28|['응', '못', '하', '아', 'ㅋㅋ']|응못해 ㅋㅋ
29|['워로드', '절실', '하', '구', '열', 'ㄴ']|워로드 절실하구연
30|['버', '서', '크', '어', '빼', '는', '거', '추천', '하', 'ㅁ']|버서커빼는거 추천함
31|['이건', '안', '되', 'ㄴ다']|이건 안된다
32|['딜도', '딸리', 'ㅁ']|딜도 딸림
