|morphs|origin
64|['징', '짜', '아요', '?']|징짜요?
65|['오늘', '휴', '바', 'ㅇ', '?']|오늘 휴방?
66|['오늘', '방송', '어', 'ㅄ', '.', '?']|오늘 방송 없.?
67|['ㅇ', 'ㅗ', '늘', '아야', '합', '요일', '?']|오늘얍요일?
68|['정정', '하', '시', 'ㄹ', '때', '잘', '하', '아', '드리', 'ㄹ걸', '.', '...']|정정하실 때 잘 해 드릴걸....
69|['오늘', '뭐', '하고', 'ㄴ', 'ㅗ', '나']|오늘 뭐하고 노나
70|['올', '것', '라고', '믿', '습니다', '.', '.']|올거라고 믿습니다..
71|['친목', '배', 'ㄴ', '이', '요']|친목밴이요
72|['연말', '에', '혼수', 'ㄹ', '하', '겠', '지', '?', '?']|연말에 혼술 하겠지??
73|['혀', 'ㄱ', '또', '주', 'ㄴ', '이', '가', '오', '아서', '방송', '꺼', '주', 'ㄱ', 'ㅗ', '...']|혁 또준이가 와서 방송 꺼주고...
74|['그렇', '었', '으면', '좋', '겠', '다', '.', '...']|그랬으면 좋겠다....
75|['김성태', '어차피', '로', '아', '할거', '이', '면서', '방송', '켜', '라']|김성태 어차피 로아할거면서 방송켜라
76|['ㅇ', 'ㅗ', '방어', 'ㅄ', '이', 'ㄴ', '가요']|오방없인가요
77|['아야', '합', '아야', '합', '못', '잃', '어']|얍얍 못잃어
78|['트', '파', '아', '때', '집', '에', '빨리', '가', '더니', '여자', '랑', '있', '네', '이쉑']|트파때 집에 빨리가더니 여자랑 있네 이쉑
79|['과음', '하', '았', '나', '보', '네']|과음했나보네
80|['아야', '합', '아야', '합', '오늘', '휴', '방임', '?']|얍얍 오늘 휴방임?
81|['왜', '알', 'ㄴ', '킴', '?']|왜 안킴?
82|['동수', '칸', '이랑', '같이', '휴', '바', 'ㅇ']|동수칸이랑 같이 휴방
83|['오늘', '방송', '어', 'ㅄ', '읍', '이', '니까']|오늘 방송 없읍니까
84|['오랑', 'ㅗ', '라오', '라오', '이', '라']|오라오라오라오라
85|['오늘', '놀', '토', '이', 'ㅂ니다', '트', 'ㄹ', '수', '형님', '들']|오늘 놀토입니다 트수 형님들
86|['얘', '왜', '알', 'ㄴ', '킴', '?']|얘 왜 안킴?
87|['뱅어', 'ㅄ', '이', '네']|뱅없이네
88|['에바', 'ㄴ', '데', ';']|에반데;
89|['방송', '은', '제', '하', '기', '냐', '?']|방송 은제키냐?
90|['오늘', '휴', '방', '이', 'ㄴ가요', '?']|오늘 휴방인가요?
91|['지맘ㄷ대로', '하', 'ㄹ', '꺼', '이', '면', '방송', '왜', '한대', 'ㅎㅎ', ';']|지맘ㄷ대로 할꺼면 방송 왜한대 ㅎㅎ;
92|['정보', ')', '아야', '합', '아야', '합', '이', '방송', '안', '하', '기', '이', '고', '시그나투스옴']|정보) 얍얍이 방송안키고 시그나투스옴
93|['지', '맘', '대로', '가', '아니', '라', '저번', '주', '랑', '저', '저번', '주', '놀', 'ㄹ', '토도', '방송', '하', '았', '지', '않', '음']|지맘대로가 아니라 저번주랑 저저번주 놀토도 방송했잖음
94|['그리고', '지', 'ㄴ', '작', '말', '하', '았', '음', '트', '파', '아', '가', '기', '전', '에']|그리고 진작 말했음 트파가기전에
95|['방송', '하', '기', '이', '라고', '!']|방송키라고!
96|['방송', '켜', '어', '!']|방송켜!
97|['오늘', '아야', '합', '요일', '?']|오늘 얍요일?
98|['오늘', '아야', '합', '요일', '임', '?']|오늘 얍요일임 ?
99|['놀', '토', '요일', '옮기', 'ㅁ']|놀토 요일 옮김
100|['ㅇㅋ', '고마워요', '아야', '합', '줌', '마']|ㅇㅋ 고마워요 얍줌마
101|['아야', '합', '아야', '합', '님', '방송', '언제', '키', '시', '나요', '?']|얍얍님 방송 언제 키시나요?
102|['아야', '합', '마이', '무', '~', '힝']|얍마이무~ 힝
103|['정보', ')', '아야', '합', '아야', '합', '이', '시그나투스를잡앗지만', '귀걸이', '가나', '와서', '안', '삼']|정보) 얍얍이 시그나투스를잡앗지만 귀걸이가나와서 안삼
104|['그래서', '언제', '키', 'ㄴ다고', '?']|그래서 언제 킨다고?
105|['방송', '안', '하', '기', '이', '면', '아이템', '안', '뜸', 'ㅅㄱ']|방송 안키면 아이템 안뜸 ㅅㄱ
106|['로', '아', '하', '는', '거', '이', '면', '방송', '하', '기', '이', '고', '하', 'ㅂ시다']|로아하는거면 방송키고합시다
107|['Dogfrog', '0', '-', '>', '이모티콘', '도배', '에', '주의', '하', '아', '주', '시', '어요', '.', '[', '경고', ']']|Dogfrog0 -> 이모티콘 도배에 주의해주세요. [경고]
108|['오늘', '방', '송어', 'ㅄ', '6', '나', '아요', '?']|오늘방송없6나요?
109|['성태', '님', '죄송', '하', 'ㄴ데', '우르', '닐', '좀', '같이', '돌', '아', '주', '시', 'ㅂ쇼']|성태님 죄송한데 우르닐좀 같이 돌아주십쇼
