|morphs|origin
0|['배', '소리아', 'ㄴ', '나니', '까', '편안', '하네']|배소리안나니까 편안하네
1|['아야', '합', '아야', '합', '님', '저', '도', '58', '이', '었', '는데', '저', '대', '어', '두', 'ㅂ니다']|얍얍님 저도 58이었는데 저 대둡니다
2|['59', '쓰', '는', '애', '는', '머리', '진짜', '크', 'ㄴ', '거', 'ㄴ', '데']|59쓰는애는 머리진짜 큰건데
3|['뿔', '나', 'ㄴ', '청자', '들', '커엽']|뿔난 청자들 커엽
4|['대두', '들', '다', '빠', 'ㄱ', '치', '었', '네']|대두들 다 빡쳤네
5|['무', 'ㄲ', '지마', '세', '요']|묶지마세요
6|['근데', '동수', 'ㄱ', '님', '아지', 'ㄱㄷ', 'ㅗ', '트최워', '못', '따라잡', '고']|근데 동숙님 아직도 트최워 못따라잡고
7|['뭐', 'ㄴ', '배틀로얄', '임', '?']|뭔 배틀로얄임?
8|['아야', '합', '아야', '합', '님', '실제로', '보', '았', '는데', '머', '두', '맞', '음']|얍얍님 실제로 봤는데 머두맞음
9|['평균', '이', '56', ',', '57', '정도', '아니', 'ㄴ가']|평균이 56,57 정도 아닌가
10|['57', '이', 'ㄴ데', '무', 'ㄲ', '지마', '세', '이', '어', '기분', '나쁘', 'ㅂ니다']|57인데 묶지마세여 기분나쁩니다
11|['화', '내', '나', 'ㄴ', '애', '들', '머', '두', 'ㄹㅇㅋㅋ']|화내난애들 머두 ㄹㅇㅋㅋ
12|['네', '다나', 'ㄴ']|네다난
13|['74', '가', '평균', '아니', 'ㅁ', '?']|74가 평균아님?
14|['57', '이나', '58', '이나', '얼마나', '차이나', 'ㄴ', '다', 'ㄱ', 'ㅗ', '그것', '또', '대두', '이', '라', '하', '냐']|57이나 58이나 얼마나 차이난다고 그걸 또 대두라하냐
15|['나', '도', '91', '이', 'ㄴ데', '80', '이', 'ㄴ데', '?']|나도 91인데 80인데?
16|['73', '머', '하', 'ㄴ', '민국', '평균이였자너ㅜ']|73머한민국 평균이였자너ㅜ
17|['58', '쓰', '면', '57', '도', '들어가', 'ㅁ', '별', '차이', '는', '없', '어서']|58쓰면 57도 들어감 별차이는 없어서
18|['73', '(', '까', 'ㄹ', '차', 'ㅇ', '포함', ')']|73(깔창포함)
