|morphs|origin
0|['말', '하', '면서', '하', '면', '근데', '자기', '가', '도움', '되', 'ㅁ']|말하면서 하면 근데 자기가 도움됨
1|['저것', '자기', '자신', '한테', '말', '하', '는', '거', '이', 'ㅁ', 'ㅋㅋㅋ']|저거 자기자신한테 말하는거임 ㅋㅋㅋ
2|['가', 'ㄹ', '뻔', '해', '다']|갈뻔햇다
3|['그렇', '다', '죽', '죠', '?']|그러다 죽죠?
4|['찌찌', '타', 'ㄴ', '정', '자탄', '반딧불', '지렁이', ',', '이름', '이', '몇', '개', '야']|찌찌탄 정자탄 반딧불 지렁이, 이름이 몇개야
5|['로', '아', '이', 'ㄴ', '게임', '보이스', '지원', '하', 'ㅁ', '?']|로아 인게임 보이스 지원함?
6|['독백', '이', 'ㄴ듯']|독백인듯
7|['ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', '여러분', 'ㅇ', 'ㅗ', '더하', '는', '게', '아니', '라', '방송', '하', '시', '는', '겁', '니다']|ㅋㅋㅋㅋㅋㅋㅋㅋ 여러분 오더하는게아니라 방송하시는겁니다
8|['아깝', 'ㄹ', '만', '하', '지', 'ㅋㅋㅋ', '몇', '개', '를', '쓰', '는데', 'ㅋㅋㅋ']|아까울만하지 ㅋㅋㅋ 몇개를 쓰는데 ㅋㅋㅋ
9|['ㅇ', 'ㅗ', '딩', 'ㅗ', '채우', '는', '거지', '그냥']|오디오 채우는거지 그냥
10|['그냥', '자기', '한테', '말', '하', '는', '거', '이', 'ㅁ']|그냥 자기한테 말하는거임
11|['생각', '하', '아', '보', '니', '디', '코', '하', '는', '것', '도', '아니', '지', '않', '음', '?', '인게밈', '보이스', '도어', 'ㅄ', 'ㄱ', 'ㅗ']|생각해보니 디코하는것도아니지않음? 인게밈 보이스도없고
12|['텍스트', '칠', '때', '말', '하', '면서', '치', '는', '거', '하', '고', '같', '은', '거', '이', 'ㅁ']|텍스트칠때 말하면서 치는거하고 같은거임
13|['별똥별', '이락', 'ㅗ', '하', '지', '않', '어', '?']|별똥별이라고 하지 않어?
14|['자', 'ㄹ', '하기', 'ㄴ', '하네']|잘하긴하네
15|['ㅇ', 'ㅗ', '딩', 'ㅗ', '는', '채우', '어야지', '~']|오디오는 채워야지~
16|['또', '치', '어', '맞', '죠']|또쳐맞죠
17|['말', '안', '하', '면', '말', '안', '하', 'ㄴ다고', '뭐', '이', '라', '하', 'ㄹ', '거']|말안하면 말안한다고 뭐라할거
18|['몰', '라', '하', '지', '말', '아']|모라하지마
19|['이부', 'ㄴ', '탱커', '이', 'ㅂ니까', '왜', '하', '게', '맞', '습니까']|이분 탱커입니까 왜케 맞습니까
20|['가호', '크', '어', 'ㄴ', '잘', '하', '시', '네요', 'ㅎㅎ']|가호컨 잘하시네요 ㅎㅎ
21|['그래도', '이제', '안주', 'ㄱ', '네']|그래도 이제 안죽네
22|['데', '허', 'ㄴ', '이', '디', 'ㄹ', '은', '좋', '네']|데헌이 딜은 좋네
23|['먼저', '빠지', '고', '디', 'ㄹ', '해도', '되', '죠', '?']|먼저 빠지고 딜해도 되죠?
24|['인파', '진입', '이', '기', '진짜', '개', '사기', '다']|인파 진입기 진짜 개사기다
25|['세상', '에', '버프', '보', '아']|세상에 버프봐
26|['빼내', '어서', '패자', '메']|빼내서 패자메
27|['워로드', '빽', 'ㅗ', '인파', '넣', '자']|워로드빼고 인파넣자
28|['아야', '합', '방', '제', '과']|얍 방 제 과
29|['이거', 'ㄹ', '살', '네']|이걸 사네
30|['아야', '합', '아야', '합', '한테', '는', '그렇', '게', '적용', '되', 'ㅁ']|얍얍한테는 그렇게 적용됨
31|['가호', '자라', 'ㅇ', 'ㅋㅋ']|가호자랑 ㅋㅋ
32|['디', 'ㄹ', 'ㄷㄷ']|딜 ㄷㄷ
33|['오', '아']|와
34|['ㄴ', 'ㅗ', '크리', '43000', '진짜']|노크리 43000 진짜
35|['크리', '안', '터', '치', '어도', '43000']|크리안터쳐도 43000
