|morphs|origin
0|['오늘', '방송', '이', '안', '켜', '어', '지', 'ㄴ다면']|오늘방송이 안켜진다면
1|['ㅇ', 'ㅗ', '뱅어', 'ㅄ', '?']|오뱅없?
2|['절', '대', '방', '소', 'ㅇ', '켜', '어']|절 대 방 송 켜
3|['ㅇ', 'ㅗ', 'ㅎ2']|오 ㅎ2
4|['배', 'ㅇ', '소', 'ㅇ', '있', '겠', '지요', '?']|뱅송있겠지요?
5|['어제', '루', 'ㄱ', '요일', '땡기', '어', '쓰', '었', '으니', '오늘', '하', '겠', '지요', '?']|어제 룩요일 땡겨썼으니 오늘 하겠지요?
6|['그렇', '게', '찌', '요', '?']|그러게찌요?
7|['기', '달리', '어야', '하', '겠', '지요', '?']|기달려야겠지요?
8|['트', 'ㄹ', '수', '들', '이', '불', '켜', '어', '주', '겠', '지요', '?']|트수들이 불켜주겠지요?
9|['다시', '보기', '보', '러', '오', '았', '는데', '40', '분', '에', '도', '대기자가있넹']|다시보기 보러왔는데 40분에도 대기자가있넹
10|['지', 'ㄴ', '하']|진하
11|['절', '대', '조', 'ㄴ', '버', '하', '아']|절 대 존 버 해
12|['절', '대', '방', '소', 'ㅇ', '하', '아']|절 대 방 송 해
13|['20', '분', '만', 'ㅇ', '일', '찌', 'ㄲ', '오', '아', '주', 'ㄴ다면', '...']|20분만 ㅇ일찎 와준다면...
14|['루', 'ㄱ', '우', '스']|룩 우 스
15|['생각', '하', '아', '보', '니', '오늘', '루', 'ㄱ', '요일', '이', 'ㄴ데']|생각해보니 오늘 룩요일인데
16|['왜', '다', '들', '기다리', '고', '계시', 'ㅁ', '?']|왜 다들 기다리고계심?
17|['머', '약속', '하', 'ㄴ', '거', '있', '음', '?']|머 약속한거있음?
18|['루', 'ㄱ', '우', '스라면']|룩 우 스라면
19|['키', 'ㄹ', '듯']|킬듯
20|['어제', '루', 'ㄱ', '요일', '로', '루', 'ㄱ', '삼', '이', '당기', '어', '쓰', 'ㅁ']|어제 룩요일로 룩삼이 당겨씀
21|['루', 'ㄱ', '삼', '님', '하', '기', '실', '때', '까지', '숨참겟읍니다']|룩삼님키실때까지 숨참겟읍니다
22|['오늘', '머', '나', 'ㄴ', '투', '하', 'ㄴ다고', '하', '시', '었', '던가', '?']|오늘 머난투한다고 하셨던가?
23|['빨리', '켜', '어']|빨리켜
24|['루', 'ㄱ', '하']|룩하
25|['real', '휴', '배', 'ㅇ', '?']|real 휴뱅?
26|['슬슬', '키', 'ㄹ', '때', '가', '되', '시', '었', '습니다', '루', 'ㄱ', '쌈', '님']|슬슬 킬때가 되셨습니다 룩쌈님
27|['방제', '바뀌', 'ㅁ']|방제바뀜
28|['방제', '바꾸', '었', '네']|방제 바꿨네
29|['ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ']|오오오
30|['오', '아', '게스트', 'ㅁㅊ', 'ㅋㅋㅋ']|와 게스트 ㅁㅊ ㅋㅋㅋ
31|['오', '아', '게스트']|와 게스트
32|['아아', '아아', '아', '루', 'ㄱ', '하', '~', '~']|아아아아아 룩하~~
33|['아', '루', 'ㄱ', '하']|아 룩하
34|['오', '아', '2', '분', '빨', '리', '킴', 'ㄷㄷㄷ', 'ㄷㄷ']|와 2분빨리킴 ㄷㄷㄷㄷㄷ
35|['루', 'ㄱ', '우', '스ㅜ']|룩 우 스ㅜ
36|['얘', '왜', '이러', '어']|얘 왜이래
37|['야', '빨리', '끄', '어']|야 빨리꺼
38|['오', '아', '!!']|와 !!
39|['오늘', '쉬', '는', '날', '이', 'ㅁ']|오늘 쉬는날임
40|['오늘', '게스트', '는', '누구', '이', 'ㄴ가요']|오늘 게스트는 누구인가요
41|['빨리', '켜', '었', '네']|빨리켰네
42|['뭐', '야', '~', '휴', '바', 'ㅇ', '글', '에', '하트', '붙이', '는', '장난치', '고', '말', '이', '야', '~']|뭐야~ 휴방글에 하트붙이는 장난치고말이야~
43|['루', 'ㄱ', '하', '~']|룩하~
44|['안', '하', '기', '는', '주', 'ㄹ', 'ㅋㅋ', 'ㅋㅋ']|안키는줄ㅋㅋㅋㅋ
45|['머', '나', 'ㄴ', '투', '10', '시간', '이', 'ㅂ니다']|머난투 10시간입니다
46|['록', '하루', 'ㄱ', '하']|록하룩하
47|['루', 'ㄱ', '삼', '잘', '생기', '엇', '다']|룩삼잘생겻다
48|['휴', '바', 'ㅇ', '글', '하트', '해명', '하', '시', '어요']|휴방글 하트 해명하세요
49|['루', 'ㄱ', '삼사라', 'ㅇ', '해']|룩삼사랑해
