|morphs|origin
0|['스님', '바지', '에', '골무', '이', '면', '기가', 'ㅇ', '잡히', 'ㄹ', '듯']|스님바지에 골무면 기강 잡힐 듯
1|['가', '아서', '벗', '을', '거', '잖아', '이', '어']|가서 벗을거잖아여
2|['스님', '+', '쿠', '애', 'ㄴ', '크', '찢', '었', '다']|스님 + 쿠앤크 찢었다
3|['패', '딩', '안', '에', 'ㄴ', 'ㅗ', 'ㄴ', '디스', '클로즈', '입', '어', '쥬', '셈']|패딩안에 논디스 클로즈 입어쥬셈
4|['트', '파', '아', '가지', '마', '흨흨']|트파 가지마 흨흨
5|['스님', '바지', '하나로', '트', '파', '아', '폭파', '가능']|스님바지 하나로 트파 폭파 가능
6|['호', 'ㅇ', '머', '병', '루', 'ㄱ', '삼', '이', '남', '들', '다', '입', '는', '패', '딩', '을', '입', '는다고', '?', '에이', '설마']|홍머병 룩삼이 남들다입는 패딩을 입는다고? 에이 설마
7|['혀', 'ㄱ', '주', 'ㄴ', '상', '처럼', '안', '에', '입', '지', '말', '자']|혁준상처럼 안에입지말자
8|['요', 'ㅇ', '사제']|용사제
9|['미라클', '사제', '는', 'ㄱ', 'ㅗ', '새', '뒤지', 'ㅁ', '?']|미라클 사제는 고새 뒤짐?
10|['요', 'ㅇ', '사제', '?']|용사제?
11|['요', 'ㅇ', '사제', '?', '?']|용사제??
12|['천정', '내', '열', '이', 'ㅁ']|천정내열임
13|['성가시', 'ㄴ', '벌레', '들', '같', '으니']|성가신 벌레들 같으니
14|['우', '마귀', '각', '잘', '보', '아야', '하', '겠', '다']|우마귀각 잘봐야겠다
15|['이세라', '천정', '내', '여', 'ㄹ']|이세라천정내열
16|['요즘', '크', '어', 'ㄴ', '흑', '에', '언', '데', '테이', '카', '안', '넣', '냐', '?', '?', '빨리', '대답', '하', '아라']|요즘 컨흑에 언데테이카 안넣냐?? 빨리 대답해라
17|['패', '딩', '무슨', '색', '으로', '뒤집', '어', '입', '으시', 'ㄹ', '거', '에', '요']|패딩 무슨색으로 뒤집어 입으실거에요
18|['지', '불용', '잇', '을', '테', 'ㄴ', '디']|지불용 잇을텐디
19|['안', '넣', '음', '언더', '테이', '크', '어', '뒤지', '었', '음', '그냥']|안넣음 언더테이커 뒤졌음 그냥
20|['바지', '에', '버섯', '이', '자라나', '아', '버리', '면', '어떻', '게', '하', 'ㄹ', '까', '요', '~', '~', '~', '바지', '버섯', '!!']|바지에 버섯이 자라나버리면 어떻게 할까요~~~ 바지버섯!!
21|['언더', '테이', '크', '어', '아무', '도안', '씀']|언더테이커 아무도안씀
22|['또', '거', '적', '데', '이', '기', '만', '살', 'ㄴ', '거', '아니', '지', '?']|또 거적데기만 산 거 아니지?
23|['언더', '테이', '크', '어', '쓰', '는', '데', 'ㄱ', '없', '음', '?', '?']|언더테이커 쓰는덱없음??
24|['싸', '앗', '다']|쌋다
25|['오', '아']|와
26|['키', 'ㅇ', '장난', 'ㅋㅋ']|킹장난 ㅋㅋ
27|['생성', '되', 'ㅁ', 'ㄷㄷ']|생성됨 ㄷㄷ
28|['화', '르', 'ㄱ']|화륵
29|['카', 'ㅇ', '가루', '는', '모독', '각', '잘', '보', 'ㄹ려고', '있', '는', '거', '에요', '?']|캉가루는 모독각 잘볼려고 있는거에요?
30|['흑마', '법사', '는', '방어', '도', '스키', 'ㄹ', '이', '왜', '없', '을', '까']|흑마법사는 방어도 스킬이 왜 없을까
31|['근데', '사제', '발라', '당', '이', '면', '마귀', '가', '답', '아니', 'ㅁ', '?']|근데 사제 발라당이면 마귀가 답아님?
