|morphs|origin
0|['데이트', '폭', '려', 'ㄹ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|데이트폭렬ㅋㅋㅋㅋㅋㅋ
1|['갑', '분포', 'ㄱ']|갑분폭
2|['원래', '인', '싸', '아', '커플', '이렇', '게', '놓', '나요', '?', '?']|원래 인싸커플 이렇게 노나요??
3|['폭', '려', 'ㄹ', '펀치']|폭렬펀치
4|['메', '일다', 'ㄴ', '이', '...']|메일단이...
5|['둘', '다', '술취', '하', '아서', '얼굴', '시뻘겋', 'ㄴ디', 'ㅋㅋ', 'ㅋㅋ']|둘다 술취해서 얼굴 시뻘건디 ㅋㅋㅋㅋ
6|['내', '모', 'ㄳ', '까지', '한', '대만', '더', '때리', '어', '주', '어']|내몫까지 한대만 더 때려줘
7|['말', '!', '카', '!', '콜', '!', '이', '라', '!']|말!카!콜!라!
8|['데이트', '폭', '려', 'ㄹ']|데이트 폭렬
9|['데이트', '폭', '려', 'ㄹ', '에바', 'ㄴ', '데']|데이트 폭렬 에반데
10|['푸시', '치', '어', '주', '어']|푸시 쳐줘
11|['갓', '배', 'ㅇ', '가즈아']|갓뱅 가즈아
12|['빅뱅', '으로', '가', 'ㅂ시다']|빅뱅으로 갑시다
13|['이', '러시', '데이트', '폭', '려', 'ㄹ', '...']|이러시 데이트 폭렬...
14|['빅뱅', '좋', '타', '아']|빅뱅 좋타
15|['눈치', '재', 'ㅁ']|눈치잼
16|['무ㅡㅓ', '한', 'ㄱ', 'ㅗ', 'ㄱㄷ', 'ㅗ', '안', '부르', '어', '놓', '고']|무ㅡㅓ 한 곡도 안 불러 놓고
17|['이제', '시작', '이', 'ㄴ데요', 'ㅡㅡ']|이제 시작인데요 ㅡㅡ
18|['서', 'ㄴ', 'ㄱ', 'ㅗ', 'ㄱ', '제발', '말', '숙이', '가', '하', '아라']|선곡 제발 말숙이가 해라
19|['허니', '부르', '어', '주', '시', '어요', '@', '@', '@', '@', '@', '@', '@', '@', '@', '@']|허니 불러주세요@@@@@@@@@@
20|['관련', '영상', '폭', '려', 'ㄹ', 'ㅋㅋㅋㄴ']|관련영상 폭렬 ㅋㅋㅋㄴ
21|['바', 'ㅇㅈ', 'ㅗ', 'ㅇ', 'ㄱ']|방종 ㄱ
22|['폭', '려', 'ㄹ', '각']|폭렬각
23|['폭', '려', 'ㄹ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|폭렬ㅋㅋㅋㅋㅋㅋㅋㅋ
24|['PUSS', '하', '아', '주', '어']|PUSS 해줘
25|['이제', '시작', '이', 'ㄴ데']|이제 시작인데
26|['이제', '시작', '이', 'ㄴ데', '장난', '하', '냐', '?', '?']|이제 시작인데 장난하냐??
27|['데이트', '폭', '려', 'ㄹ', '?']|데이트폭렬 ?
28|['폭', '려', 'ㄹ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|폭렬 ㅋㅋㅋㅋㅋㅋ
29|['puss', '언제', '하', '아요', 'ㅠ', 'ㅠ']|puss 언제해요 ㅠㅠ
30|['절', '대', '폭', '려', 'ㄹ', '하', '아']|절 대 폭 렬 해
31|['유튭', '추천', '창', '에', '드레', 'ㄱ', 'ㅗ', 'ㄴ', '볼', 'ㅋㅋㅋ']|유튭 추천창에 드레곤볼 ㅋㅋㅋ
32|['파괴', '와', 'ㅇ', '무시', '하', 'ㅁ', '?']|파괴왕 무시함?
33|['하', '아']|해
34|['왜', '이', 'ㄴㅈ', 'ㅗ', '인간', '보이', '지', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|왜 인조인간보이지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
35|['크리', '리', 'ㅇ', '이', 'ㄴ', '줄']|크리링인줄
36|['크리', '리', 'ㅇ', '?', '?', '?']|크리링???
37|['대머리', '이', '라고', '무시', '하', '지', '마', '세', '요', 'ㅠ', 'ㅠ', 'ㅠ', 'ㅠ']|대머리라고 무시하지 마세요 ㅠㅠㅠㅠ
38|['크리', '리', 'ㅇ', '이', 'ㄴ', '줄', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|크리링인 줄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
39|['크리', '리', 'ㅇ']|크리링
40|['암', '요', 'ㄹ', '맨']|암욜맨
41|['파괴', '와', 'ㅇ', '간다', '!']|파괴왕간다!
42|['크리', '리', 'ㅇ', 'ㅋㅋㅋㅋㅋㅋㅋ']|크리링 ㅋㅋㅋㅋㅋㅋㅋ
43|['크리', '리', 'ㅇ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|크리링ㅋㅋㅋㅋㅋㅋㅋㅋ
44|['크리', '리', 'ㅇ', ';']|크리링;
45|['크리', '리', 'ㅇ', '?']|크리링?
46|['우리', '주펠', '무시', '하', 'ㅁ', '?']|우리 주펠 무시함?
47|['드래곤볼', '알', '시', '는구나', '!']|드래곤볼 아시는구나!
48|['크리', '리', 'ㅇ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|크리링 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
49|['말', '넘', '시', 'ㅁ', '.', '.']|말넘심..
50|['주리', '리', 'ㅇ', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|주리링 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
51|['크리', '리', 'ㅇ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|크리링 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
52|['크리', '리', 'ㅇ', '이', 'ㄴ', '줄', '엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|크리링인줄 엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
53|['폭', '려', 'ㄹ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|폭렬ㅋㅋㅋㅋㅋㅋ
54|['본인', '이', 'ㅁ']|본인임
55|['무시', '하', '아', '?']|무시해?
56|['사과', '하', '아라']|사과해라
57|['서', 'ㄴ', 'ㅇ', 'ㅗ', '지게', '넘', '네', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|선 오지게 넘네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
58|['본인', '이', 'ㅁ', 'ㄱㅊ']|본인임 ㄱㅊ
59|['현실', '크리', '리', 'ㅇ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|현실 크리링 ㅋㅋㅋㅋㅋㅋㅋㅋ
60|['사', '과', '하', '아']|사 과 해
61|['너', '어', '어', '어', '어', '어느', 'ㄴ']|너어어어어어는
62|['크리', '리', 'ㅇㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|크리링ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
63|['키', 'ㅇㅎ', 'ㅗ', '미', 'ㄴ', '을', 'ㅡㅡ']|킹호민을 ㅡㅡ
64|['ㅇ', 'ㅗ', '바다', '진짜']|오바다 진짜
65|['주리', '리', 'ㅇ']|주리링
66|['어', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
67|['크!', '리', '!', '리', 'ㅇ', '!']|크! 리! 링!
68|['길', 'ㄴ', 'ㅠ', '.', '.']|기뉴..
69|['해명', '하', '아']|해명해
70|['너', '어', '나쁘', 'ㄴ', '아이', '이', '구나']|너어 나쁜아이구나
71|['크리', '리', 'ㅇ', '본인', '이', '니까', '뭐', '이', '라', '하', '지', '말', '자']|크리링 본인이니까 뭐라하지 말자
72|['천지', 'ㄴ', '바', 'ㄴ']|천진반
73|['주리', '리', 'ㅇ', 'ㅠ', 'ㅠ']|주리링 ㅠㅠ
74|['너', '어', '얼', '는']|너어어는
75|['본인', '이', 'ㅂ니다', 'ㄱㅊ', 'ㄱㅊ']|본인입니다 ㄱㅊㄱㅊ
76|['말', '수', 'ㄱ', '이', '선', '넘', '네', 'ㅡㅡ']|말숙이 선넘네 ㅡㅡ
77|['진짜', '이', '라는', '게', '더', '심해']|진짜라는게 더 심해
78|['주리', '리', 'ㅇ', '!']|주리링!
79|['말', '또', '서', 'ㄴ']|말또선
80|['크리', '리', 'ㅇ', '본인', '이', '죠']|크리링 본인이죠
81|['효', '이', '니', '눈', '풀리', '었', '당']|효니 눈 풀렸당
82|['크리', '리', 'ㅇ', 'ㅋㅋ', 'ㅋㅋ']|크리링 ㅋㅋㅋㅋ
83|['너', '어', '어', '어느', 'ㄴ']|너어어어는
