|morphs|origin
0|['모', '르', 'ㄴ', '다']|모 른 다
1|['생각', '못하', 'ㅁ', 'ㅋㅋ', 'ㅋㅋ']|생각못함 ㅋㅋㅋㅋ
2|['보', '아도', '모르', 'ㅁ']|봐도모름
3|['팩트', ')', '알', '아도', '못', '이기', 'ㄴ다']|팩트)알아도 못이긴다
4|['역시', '효', '이', '니', '가', '메타', '를', '잘', '읽', '어']|역시 효니가 메타를 잘 읽어
5|['보', '아도', '모르', '아요']|봐도 몰라요
6|['결국', '이것', '용매', '까지', '빼', '고', '어그로', '법사', '되', '겄', '다']|결국 이거 용매까지 빼고 어그로법사 되겄다
7|['보', '아도', '모르', '겠', '어요']|봐도 모르겠어요
8|['입', '털', '는', '소리']|입터는소리
9|['어떻', '게든', '튀어나오', 'ㄴ', '라', '그']|어떻게든 튀어나온 라그
10|['보', '아도', '모르', '겠', '는데요']|봐도 모르겠는데요
11|['팩트', ')', '오른', '쪽', '이', '안', '도와주', 'ㅁ', 'ㅋㅋ', 'ㅋㅋ']|팩트)오른쪽이 안도와줌 ㅋㅋㅋㅋ
12|['영', '능', '은', '제', '쓰', '어요', 'ㅡㅡ']|영능 은제써요 ㅡㅡ
13|['터', 'ㄴㅈ', 'ㅗ', 'ㅇ', '없', '는', '터', 'ㄴㅈ', 'ㅗ', 'ㅇ', '법사', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|턴종없는 턴종법사 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
14|['칼', '주', '어', '용']|칼줘용
15|['라', '그', '말', 'ㄱ', 'ㅗ', '더', '잇', '냐']|라그 말고 더잇냐
16|['안보', '이', '어요']|안보여요
17|['정보', ')', '안', '쓰', 'ㄴ다']|정보) 안쓴다
18|['진짜', '왜', '넣', '는', '거', '이', 'ㅁ', '?', '?', '?']|진짜 왜넣는거임???
19|['베', 'ㅇ', 'ㅗ', '베', '님']|베오베님
20|['라', '그', '믿', '고', '넣', '는', '거', 'ㄴ', '갑', 'ㅗ', 'ㄴ', '데']|라그 믿고 넣는건가본데
21|['미소', '천사', '또', '나오', '았', '네']|미소천사 또나왔네
22|['어', '우', '부끄럽', '어']|어우 부끄러워
23|['저것', '왜', '반짝거리', 'ㅁ']|저거 왜 반짝거림
24|['근데', '돌', '네', '애', 'ㅇ', 'ㅗ', 'ㅇ', '이', '들', '겁나', '아', '귀엽', '다']|근데 도네 애옹이들 겁나 귀엽다
25|['미소', '천사', '드', '라', 'ㄱ', '카리']|미소천사 드락카리
26|['드', '라', '카리', '2', '개', '어', '따', '아', '쓰', '냐', 'ㅜㅜ']|드라카리 2개 어따쓰냐 ㅜㅜ
27|['이거', 'ㄹ', '?']|이걸?
28|['오', '아', '이거', 'ㄹ']|와 이걸
29|['오', '아']|와
30|['ㅇ', 'ㅗ']|오
31|['저거', 'ㄹ', '두', '장', '이나', '넣', '어야', '하', 'ㅁ', '?']|저걸 두장이나 넣어야함?
32|['이기', '었', '네']|이겼네
33|['어그로', '터', 'ㄴㅈ', 'ㅗ', 'ㅇ', '법']|어그로 턴종법
34|['드', '라', '카리', '말', 'ㄱ', 'ㅗ', '3', '코', '35', '거북이', '넣', '자']|드라카리말고 3코 35 거북이 넣자
35|['기도', '하', 'ㄴ다']|기도한다
36|['언제', '적', '데', 'ㄱ', '이야', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|언제적덱이야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
37|['드', '라', '카리', '말', 'ㄱ', 'ㅗ', '3', '코', '35', '거북이', '넣', '자', '들', '라', '카', '리', '말', '고', '3', '코', '35', '거북이', '넣', '자', '들', '라', '카', '리', '말', '고', '3', '코', '35', '거북이', '넣', '자']|드라카리말고 3코 35 거북이 넣자드라카리말고 3코 35 거북이 넣자드라카리말고 3코 35 거북이 넣자
38|['띠', '요', 'ㅇ', '~']|띠용~
39|['드', '라', '카이', '왜', '넣', '은', '거', '이', 'ㅁ', '?']|드라카이 왜 넣은거임?
40|['오', '아', '불곰', 'ㅋㅋㅋㅋㅋㅋㅋ']|와 불곰 ㅋㅋㅋㅋㅋㅋㅋ
41|['템포', '느낌', '나', '는데', '구', 'ㄱ', '룰', '뜨', '엇', '죠']|템포느낌 나는데 국룰 떳죠
42|['저', '게', '데', 'ㄱ', '이', '지']|저게 덱이지
43|['조지', '었', '다리', 'ㅠ', 'ㅠ']|조졌다리 ㅠㅠ
44|['틀', '어', '막히', 'ㅁ', 'ㅋㅋ', 'ㅋㅋ']|틀어막힘 ㅋㅋㅋㅋ
45|['푸', '어', '역']|퍼역
46|['드', '라', '카리', '아니', '었', '으면', '이기', '었', '지', '어', '?']|드라카리 아니었으면 이겼져?
47|['불', '작', '쓰', '시', 'ㄹ', '?']|불작쓰실?
48|['미래', '가', '보이', 'ㄴ다']|미래가 보인다
49|['오', '아', '!', '히드라', '!', '1']|와! 히드라!1
50|['수', '미터', 'ㄱ']|수미턱
51|['망', '해', '다리']|망햇다리
52|['ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', '숨터', 'ㄱ']|ㅋㅋㅋㅋㅋㅋㅋㅋ숨턱
53|['통', 'ㄱ', 'ㅗ', 'ㄱ', '의', '벽']|통 곡 의 벽
54|['과', 'ㅇ', '과', 'ㅇ', '우럭', '따']|광광우럭따
55|['숨', '이', '터', 'ㄱ']|숨이 턱
56|['조지', '어', '따', '리']|조져따리
57|['용무', '하', 'ㄴ']|용무한
58|['나가', '시', '어요']|나가세요
59|['조지', '엇', '구요']|조졋구요
60|['불기둥', '홀수', '데', 'ㄱ', '쓰레기']|불기둥 홀수덱 쓰레기
61|['양', 'ㅗ', 'ㅇ']|야옹
62|['이건', '또', '멀', 'ㄴ', '똥', '데', 'ㄱ', '이야']|이건 또 먼 똥덱이야
63|['끝나', 'ㄴ듯']|끝난듯
64|['지', '었', '죠', '?']|졌죠?
65|['나가', '는', '게', '구', 'ㄱ', '룰', '아니', 'ㅁ', '?']|나가는게 국룰아님?
66|['7', '코', '까지', '플레이', '하', 'ㄴ', '모든', '필드', '《', '《', '《', '《', '《', '가즈아', '1', '자', 'ㅇ']|7코까지 플레이한 모든 필드 《《《《《 가즈아1장
67|['지', '엇', '는디', '?']|졋는디?
68|['나가', '아', '.', '.']|나가..
69|['나가', '시', '는', '무', 'ㄴ', '은', '왼쪽', '이', 'ㅂ니다', '^^']|나가시는 문은 왼쪽입니다 ^^
70|['이', '게', '무슨', '개똥', '데', 'ㄱ', '이야']|이게 무슨 개똥덱이야
71|['이거', 'ㄹ', '안', '나가', '아', '?']|이걸 안나가?
72|['오', '아', '숨', '이', '터', 'ㄱ']|와 숨이턱
73|['가', '아서', '불기둥', '이나', '넣', '고', '오', '시', '어요', 'ㅋㅋㅋ']|가서 불기둥이나 넣고 오세요 ㅋㅋㅋ
74|['사육사', '를', '죽이', '어야지']|사육사를 죽여야지
75|['드', '라', '카리', '가', '피', '터트리', '어', '주', '나', '?']|드라카리가 피 터트려주나?
76|['데', 'ㄱ', '넘', '쓰...']|덱 넘 쓰...
77|['라', '그', '드', '라', '카리', '로', '명치', '16', '데', 'ㅁ', '이면', '이기', 'ㄴ다']|라그 드라카리로 명치 16뎀 이면 이긴다
78|['잠자', '용', '나오', '면', '나가', '는', '게', '구', 'ㄱ', '룰', '이', 'ㅁ']|잠자용나오면 나가는게 국룰임
79|['영', '능', '으로', '요', 'ㅇ', '사육사', '치', '어', '두', '는', '게', '좋', '지', '않', '았', '어', '?']|영능으로 용사육사 쳐두는게 좋지않았어?
80|['드', '라', '카리', '뭐', '랑', '쓰', 'ㅁ', '?']|드라카리 뭐랑씀?
81|['카드', '한장', '배', 'ㄹ', '류', '가', '말이', '되', '나', '진짜']|카드 한장 밸류가 말이되나 진짜
82|['드', '라', '카리', '왜', '쓰', 'ㅁ', 'ㄹㅇ루다가']|드라카리 왜씀 ㄹㅇ루다가
83|['그', '비화', 'ㄴ']|그비환
84|['그', '비', '화', 'ㄴ']|그 비 환
85|['명치', '에', '2', '데', 'ㅁ', '씨', 'ㄱ', '꽂', '아서', '8', '체력', '만들', '고', '용매', 'ㄱ']|명치에 2뎀씩 꽂아서 8체력 만들고 용매 ㄱ
86|['제발', '바꾸', '어', '주', '시', '어요']|제발바꿔주세요
87|['ㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '용매', '래', 'ㄴ', '다']|ㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 용매랜다
88|['전설', '의', '그', '비화', 'ㄴ', 'ㄷㄷ']|전설의 그비환 ㄷㄷ
89|['아', '과감', '하', '어요']|아 과감해요
90|['이대', 'ㄱ', '악마', '의서', '쓰', '면', '개', '꿀', '일거', '같', '은데']|이댁 악마의서쓰면 개꿀일거같은데
91|['그', '비', '화', 'ㄴ', 'ㄷㄷ']|그 비 환 ㄷㄷ
92|['용매', '가', '나오', 'ㄹ', '리가', '없', '죠', '?']|용매가 나올리가 없죠?
93|['오', '아', '!']|와!
94|['베', 'ㅇ', 'ㅗ', '베', '가즈아ㅏㅏㅏㅏㅏㅏㅏㅏㅏ']|베오베 가즈아ㅏㅏㅏㅏㅏㅏㅏㅏㅏ
95|['키', 'ㄹ', '각', '인가', '설마']|킬각인가 설마
96|['화', 'ㄴ', 'ㅇ', 'ㅗ', '서어', '어', 'ㅇ']|환오서어엉
97|['숨', '이', '터', 'ㄱ']|숨이턱
98|['오', '아', '5', '디', 'ㄹ', '빼', '었', '다', 'ㄱㅇㄷ']|와 5딜뺐다 ㄱㅇㄷ
99|['나', '가', '아']|나 가
100|['금단', '의', '쌍', '들', '라']|금단의 쌍드라
101|['키', 'ㄹ', '각']|킬각
102|['오', '아', '투', '배', '러', 'ㄱ']|와 투배럭
103|['그', '환호성', '비웃음', '으로', '바꾸', '어', '드리', '죠', '!', '!!']|그 환호성 비웃음으로 바꿔드리죠!!!
104|['명치', '거덜', '나', 'ㄴ', '다']|명치 거덜난다
105|['자', '살', 'ㄹ', '법', '사']|자 살 법 사
106|['쌍', '들', '라', '뭐', '야']|쌍드라뭐야
107|['명', '살', 'ㄴ', 'ㅗ', 'ㄱ']|명살녹
108|['휘', '두', 'ㄹ', 'ㅋㅋ']|휘둘 ㅋㅋ
109|['숨', '이', '터', 'ㄱ', '터', 'ㄱ']|숨이 턱턱
110|['휘', '둘', '휘', '두', 'ㄹ']|휘둘휘둘
111|['땡', '하', '지', '거덜', '나', '았', '다']|땡치 거덜났다
112|['자살', '데', 'ㄱ']|자살덱
113|['후', 'ㄹ', '두', 'ㄹ']|훌둘
114|['휘', '두', 'ㄹ', 'ㄱㄱ']|휘둘 ㄱㄱ
115|['투', '배', '러', 'ㄱ', 'ㄷㄷㄷ']|투배럭 ㄷㄷㄷ
116|['키', 'ㄹ', '각', '나오', 'ㄹ', '것', '같', '은데', 'ㅋㅋ']|킬각나올것같은데 ㅋㅋ
117|['명치', 'ㄴ', 'ㅗ', 'ㄱ', '아', '이', '어']|명치 녹아여
118|['이', '게', '그', '자살', '법사', '인가', '뭔', '가', '하', '는', '것', 'ㄴ가']|이게 그 자살법사인가 뭔가하는건가
119|['ㅋㅋㅋ', '휘', '휘', '만', '뜨', '어도', '죽', '네']|ㅋㅋㅋ 휘휘만 떠도 죽네
120|['명치', '터지', 'ㅁ', 'ㅋ']|명치 터짐 ㅋ
121|['휘', '두', 'ㄹ']|휘둘
122|['등수', '살살', 'ㄴ', 'ㅗ', 'ㄱ', '는', '다']|등수 살살 녹는다
123|['키', 'ㄹ', '각', '나오', '았', '죠']|킬각나왔죠
124|['휘', '둘', '10', '디', 'ㄹ', 'ㄷㄷ']|휘둘10딜 ㄷㄷ
125|['촵초바', '키', 'ㄹ', '각']|촵초바 킬각
126|['휘', '둘', '키', 'ㄹ', '각']|휘둘킬각
127|['단', '2', '데', 'ㅁ']|단 2뎀
128|['휘', '두', 'ㄹ', '!!']|휘둘!!
