|morphs|origin
0|['수집', '품', '몇', '개', '모으', '았', '는지', '보이', '어', '주', '는', '거']|수집품 몇 개 모았는지 보여주는 거
1|['새', 'ㄱ', '은', '섞', '을수록', '어둡', '어', '지', '는데', '색', '모으', '아서', '검', '은', '하늘', '이랑', '별', '모아', '서', '별자리', '만', '들', '거', '같', '네요']|색은섞을수록어두워지는데색모아서검은하늘이랑별모아서별자리만들거같네요
2|['플라워', '하', '았', '어요']|플라워 했어요
3|['이', 'ㅇ', '?']|잉?
4|['주', '르', '르', 'ㄱ']|주르륵
5|['간다', 'ㅇ']|간당
6|['되', '납', 'ㅗ', 'ㄴㄷ']|되나본ㄷ
7|['ㅇ', 'ㅗ']|오
8|['이', 'ㅇ']|잉
9|['스토리', '아니', 'ㄹ', '까']|스토리 아닐까
10|['오', '아']|와
11|['달리', 'ㄴ다', '~']|달린다~
12|['가', '아야', '하', '는', '곳', '이', 'ㄴ가', '보', '아요']|가야하는곳인가봐요
13|['되', '니깐', '떨어지', '는', '게', '아니', 'ㄹ', '까']|되니깐 떨어지는게 아닐까
14|['스토리', '이', 'ㄴ', '듯']|스토리인듯
15|['원래', '가', '는', '거', 'ㄴ', '가', '봄']|원래 가는건가봄
16|['탈리야', '구', 'ㅇ']|탈리야 궁
17|['ㅇ', 'ㅗ', '~', '~']|오~~
18|['브로', 'ㄴ', '즐', 'ㅗ', '내려가', 'ㄴ다']|브론즈로 내려간다
19|['죽음', '을', '향하', 'ㄴ', '돌진']|죽음을 향한 돌진
20|['꽉', '잡', '아', '떨어지', 'ㄴ다']|꽉 잡아 떨어진다
21|['분기', '같', '은', '게', '있', '지', 'ㄴ', '않', '을', '듯']|분기 같은게 있진 않을듯
22|['오', '아', '브금']|와 브금
23|['저니', '사막', '매', '업', '느낌']|저니 사막맵 느낌
24|['어디', '까지', '떨어지', '어']|어디까지 떨어져
25|['가즈아', '아아', '아아', '아아', 'ㅇ', '아아', '아아']|가즈아아아아아아앙아아아아
26|['이것', '힐링', '게임', '이', '에요', '?']|이거 힐링게임이에요?
27|['발바닥', '다', '쓸리', 'ㄴ다']|발바닥 다 쓸린다
28|['네', '즐', '이', '기', '시', '어요']|네 즐기셔요
29|['진짜', '다시', '보', '아도', '브금', '은', '좋', '네요']|진짜 다시봐도 브금은 좋네요
30|['브금', '지리', 'ㄱ', 'ㅗ']|브금지리고
31|['언제', '까지', '내', '랴', '이', '기']|언제까지 내랴기
32|['탈리아', '이', '니']|탈리아니
33|['떡', '이', '락', '가즈아', '!!!', '!!!', '!!!', '!!']|떡락 가즈아!!!!!!!!!!!
34|['또', '뛰', 'ㄴ다']|또뛴다
35|['ㅇ', 'ㅗ', 'ㅇ', 'ㅗ']|오오
36|['떡', 'ㅡㅡ', '라', 'ㄱ']|떡ㅡㅡ락
37|['맞', '는', '길', '이', 'ㅂ니다']|맞는길입니다
38|['어둡', '어', '지', 'ㄴ다']|어두워진다
39|['냐', '아아', 'ㅇ', '가즈아', '아아', 'ㅇㅇ']|냐아앙 가즈아아앙ㅇ
40|['펴', '어', '느', 'ㅡㅡ', 'ㅡㅡ', '안', '하다']|편ㅡㅡㅡㅡㅡ안하다
41|['개', 'ㅁ', '성', '넘치', 'ㄴ다']|갬성 넘친다
42|['뽕', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㄱ']|뽀오오옥
43|['ㅇ', 'ㅗ', '브금']|오 브금
44|['떡', '이', '락', 'ㅜㅜㅜ']|떡락 ㅜㅜㅜ
45|['당장', '살', '러', '갑', '니다']|당장 사러 갑니다
46|['떡', '라', 'ㄱ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|떡락ㅋㅋㅋㅋㅋㅋㅋㅋ
47|['점수', '떡', '락', '하', 'ㄴ다']|점수 떡락한다
48|['가', '면서', '별', '같', '은', '거', 'ㄹ', '먹', '어야', '대', 'ㄹ', '꺼', '같', '아']|가면서 별같은걸 먹어야댈꺼같아
49|['오', '아', '미치', '었', '다']|와 미쳤다
50|['떡', '라', 'ㄱ', '그래프']|떡락그래프
51|['게임', '뭐', 'ㄴ가', '몽환', '적', '이', '다']|게임 뭔가 몽환적이다
52|['이거', 'ㄹ', '점프', '하네']|이걸 점프하네
53|['브금', '미치', '었', '네']|브금 미쳤네
54|['브금', '보', '아라']|브금봐라
55|['오', '아', '.', '.']|와..
56|['지금', '우', '시', '어야', '하', 'ㅂ니다']|지금 우셔야합니다
57|['아이언', '을', 'ㅗ', '~', '~', '~', '~', '~']|아이언으로~~~~~
58|['오', '아', '색감', '보', '아']|와 색감봐
59|['점점', '지', 'ㄴ', '해지', '네']|점점 진해지네
60|['떡', '락', '하', 'ㄴ', '다', 'ㅜㅜ', 'ㅜㅜ']|떡락한다ㅜㅜㅜㅜ
61|['브금', '미치', '었']|브금 미쳤
62|['오', '아', '분위기', 'ㄷㄷ', ';']|와 분위기 ㄷㄷ;
63|['떡', '락', '하', 'ㄴ다']|떡락한다
64|['미술', '작품', '이', 'ㄴ가', 'ㄷㄷ']|미술작품인가 ㄷㄷ
65|['뽕', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㄱ']|뽀오오오오오오옥
66|['낙', '데', 'ㅁ', '없', '나', '?']|낙뎀 없나?
67|['떡', '락', '하', '아요', '!']|떡락해요!
68|['떡', '라', 'ㄱ', 'ㄷㄷ']|떡락ㄷㄷ
69|['이것', '는', '풀', '영상', '올리', '어', '주', '시', '어요', 'ㅠ']|이거는 풀영상 올려주세요 ㅠ
70|['개', 'ㅁ', '성']|갬성
71|['호', 'ㅇ', 'ㅗ']|호오
72|['그렇', 'ㄹ', '리가']|그럴리가
73|['비틀', '는', '모에', '요', '?']|비트는모에요?
74|['원래', '멀', '어서', '따라오', '는', '거', '처럼', '느끼', '어', '지', 'ㅁ']|원래 멀어서 따라오는거처럼 느껴짐
75|['오', '아', '그냥', '분위기', '로', '다', '해먹', '네', '이', '겜은']|와 그냥 분위기로 다 해먹네 이 겜은
76|['차', 'ㄱ', '지', '기술', '봇', 'ㅗ', 'ㄷㄷ']|착지기술보소 ㄷㄷ
77|['이거', 'ㄹ', '살', '네']|이걸사네
78|['언제', '거기', '위', '까지', '다시', '올라가', '아', '?', '?', 'ㅋㅋ']|언제 거기 위까지 다시 올라가??ㅋㅋ
79|['고대인', '들', '도', '그렇', '게', '생각', '하', '았', '죠']|고대인들도 그렇게 생각했죠
80|['최', '하츠', 'ㅇ', '찍', '었', '다', '...']|최하층 찍었다...
81|['현재', '방송', '제모', 'ㄱ', ':', '서', '새봄', ']', '나성', '님', '이', '재미없', '으면', '자신', '에게', '욕', '하', '라고', '한', '게임', 'GRIS']|현재 방송제목: 서새봄] 나성님이 재미없으면 자신에게 욕하라고 한 게임 GRIS
82|['그렇', 'ㄹ', '리가', '.', '.']|그럴리가..
83|['8', '과', 'ㅇ', '같', '네']|8광 같네
84|['이겜은', '낙', '데', 'ㅁ', '이', '없', '네']|이겜은 낙뎀이 없네
85|['일단', '나성', '피셔', 'ㄹ', '굉장히', '믿음직']|일단 나성피셜 굉장히 믿음직
86|['이겜은', '브금', '이', '바', 'ㄴ', '이상', '을', '차지', '하네']|이겜은 브금이 반 이상을 차지하네
87|['주인공', '이', '빛나', '는', '거', '아니', 'ㄹ까요', '?']|주인공이 빛나는거 아닐까요?
88|['어머', '!', '이건', '사', '아야', '하', '아', '!', '!']|어머! 이건 사야해!!
89|['브금', '미치', '었', '다', '진짜']|브금 미쳤다 진짜
90|['이', '게', '훨씬', '아름답', 'ㅁ']|이게 훨씬 아름다움
91|['2', 'D', '이', '라서', '느낌', '이', '다르', 'ㅁ']|2D라서 느낌이 다름
92|['가오리', '공주', '되', 'ㅁ', 'ㅋㅋ', 'ㅋㅋ']|가오리공주 됨 ㅋㅋㅋㅋ
93|['감성', '자극', '은', '2', 'd', '가', '좋', '기', 'ㄴ', '하', '지']|감성자극은 2d가 좋긴 하지
94|['2', 'D', '개', 'ㅁ', '성']|2D 갬성
95|['오', '아', '장관', '이', '네']|와 장관이네
96|['져니', '는', '지금', '보', '아도', '갑', '임']|져니는 지금봐도 갑임
97|['ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', '.', '.']|오오..
98|['ㅇ', 'ㅗ', '.', '.']|오..
99|['8', '과', 'ㅇ']|8광
100|['개', 'ㅁ', '성', '새봄']|갬성새봄
101|['이제', '시작', '이', 'ㄴ']|이제 시작인
102|['개', 'ㅁ', '성', '...']|갬성...
103|['씹덕', '개', 'ㅁ', '성']|씹덕갬성
104|['그럼', '더', 'ㄴ', '파', '하', '자']|그럼 던파하자
105|['이것', '느낌', '대박', '이다']|이거 느낌 대박이다
106|['이제', '시작', '이', 'ㄴ', '것', 'ㄴ가', '?', '?', 'ㅋㅋ']|이제 시작인건가??ㅋㅋ
107|['여기', '서', '우', '시', '어야', '하', 'ㅂ니다', 'ㅜㅜ']|여기서 우셔야합니다 ㅜㅜ
108|['ㅇ', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ']|오옹
109|['흡', 'ㅡㅡㅡ', '조', 'ㄱ']|흡 ㅡㅡㅡ 족
110|['이', '야', '~', '멋지', 'ㄴ데', 'ㅋ']|이야~ 멋진데 ㅋ
111|['오', '아', '엔', '딩']|와 엔딩
112|['오', '아', '!', '윤활유', '!']|와! 윤활유!
113|['씨', '이', 'ㄱ', '냥', '이']|씨익냥이
114|['끝나', '았', '네']|끝났네
115|['ㅇ', 'ㅠ', '바']|유바
116|['수고', '하', '시', '었', '습니다']|수고하셨습니다
117|['오', '아', '스크린샷', '각', '이다']|와 스크린샷 각이다
118|['들리', 'ㄴ다', '들리', '어']|들린다 들려
119|['그렇', 'ㄴ가', '보', '아', '이', '어']|그런가봐여
120|['흡족', '하', 'ㄴ다']|흡족한다
121|['겜', '시작', '도', '저니', '같', '구', '말', '아']|겜 시작도 저니 같구마
122|['그럼', '던전앤파이터', '하', 'ㄹ', 'ㅗ', '가즈아', '~', '~', '~', '~']|그럼 던전앤파이터 하로가즈아~~~~
123|['오', '아', '이', '게', '튜툐라니']|와 이게 튜툐라니
124|['오프닝', '이', '이', '었', '습니다']|오프닝이였습니다
125|['이제', '본격', '적', '이', 'ㄴ가']|이제 본격적인가
126|['주펄', '이', '바라보', 'ㅁ', '다']|주펄이 바라봄다
127|['새해', '복', '많이', '받', '으시', '시', '어요']|새해복많이받으세요
128|['태초', '를', '향하', '아', '!']|태초를 향해!
129|['낙', '데', 'ㅁ', '없', '네']|낙뎀없네
130|['이거', 'ㄹ', '살', '네']|이걸 사네
131|['민트', '새', 'ㄱ']|민트색
132|['오', '아', '너무', '이쁘', '다']|와 너무 이쁘다
133|['나', '도', '사', '아야', '하', '겠', '다']|나도 사야겠다
134|['민트', '거르', 'ㄴ다']|민트거른다
135|['민트', '초코', '새', 'ㄱ']|민트초코색
136|['민트', '새', 'ㄱ', '?']|민트색?
137|['피스타치오', '새', 'ㄱ']|피스타치오색
138|['민초', '의', '나', 'ㄴ']|민초의 난
139|['분위기', '는', '약간', '공포겜', '느낌', '이', 'ㄴ데']|분위기는 약간 공포겜 느낌인데
140|['나', '서', 'ㅇㅋ', 'ㅗ', '이', 'ㄴ', '떡', '상']|나성코인떡상
