|morphs|origin
0|['ㅇ', 'ㅗ', '방어', 'ㅄ', '?']|오방없?
1|['우리', '스트리머', '미국', '가', '았', '어', '.', '.', '여기', '앉', '아서', '조', 'ㄴ', '버', '나', '해', '...']|우리 스트리머 미국갔어.. 여기 앉아서 존버나해...
2|['미국', '가', '았', '어', 'heart', '2', 'Cry', 'heart', '2', 'Cry', 'heart', '2', 'Cry']|미국갔어 heart2Cry heart2Cry heart2Cry
3|['새봄', '추', '비행기', '안', '에서', '야', '방', '을', '켜', '어야', '하', 'ㄴ다구', '!', '!!!', 'ㅠ', 'ㅠ']|새봄추 비행기안에서 야방을켜야한다구!!!!ㅠㅠ
4|['초', '홍', '님', '다시', '보기', '보', '면', '새봄', '추', '짧', '게', '나오', 'ㄴ다', '냥', '그것', '이', '라도', '보구', '와', '이', '라', 'heart', '2', 'Huhuhu', 'heart', '2', 'Huhuhu', 'heart', '2', 'Huhuhu']|초홍님 다시보기 보면 새봄추 짧게 나온다냥 그거라도 보구와라 heart2Huhuhu heart2Huhuhu heart2Huhuhu
5|['ㅇ', 'ㅗ']|오
6|['행', '님', '덜', 'ㄹ', '유튭보고', '오', '았', '는데요', '유튭', '새봄', '입문', '하', '게', '재', 'ㅁ', '는', '거', '추천', '좀']|행님덜 유튭보고 왔는데요 유튭 새봄입문하게 잼는거 추천좀
7|['입', '덕', '은', '봄', '국가', '외우', '시', '고', '오', '시', '면', '되', 'ㅂ니다', 'ㅎㅎ']|입덕은 봄국가 외우시고 오시면 됩니다 ㅎㅎ
8|['은', '돌이', ':', '안', '냥', '!', '나', 'ㄴ', '은', '돌', '이야', '!', '엄마', '냥', '이', '방송', '에서', '재미있', '게', '놀', '다', '가', '라', '냥', '!']|은돌이 : 안 냥 ! 난 은돌이야 ! 엄마냥이 방송에서 재미있게 놀다 가라냥!
9|['왕', 'ㅗ', 'ㅇ', '와', 'ㅇ', 'ㅗ', 'ㅇ', 'heart', '2', 'Cry']|와옹와옹 heart2Cry
10|['왕', 'ㅗ', 'ㅇ', 'ㅗ', 'ㅇ', 'heart', '2', 'Cry']|와오옹 heart2Cry
11|['쓰레기', '씨', '발', '개', '새', '끼', '제발', '하', '지', '말', '아', 'heart', '2', 'Kigom']|쓰레기 씨 발 개 새 끼 제발 하지마 heart2Kigom
12|['새봄', '추', '는', '미국', '가', '았', '다고', '!', 'heart', '2', 'Ppd', 'heart', '2', 'Jumjum']|새봄추는 미국갔다고! heart2Ppd heart2Jumjum
13|['니코', '나오', '앗', '다', '오', '자마자', '하', '는', '롤', '니코', '충', '만나', '라', 'heart', '2', 'Huhuhu', 'heart', '2', 'Huhuhu']|니코 나왓다 오자마자 하는롤 니코충 만나라 heart2Huhuhu heart2Huhuhu
14|['새봄', '추자', 'ㄹ', '잇', '나']|새봄추잘잇나
15|['새벽', '이', '너무', '공허', '하', '아', 'ㅠ', 'ㅠ', 'ㅠ', 'ㅠ', '은', '돌이', '보', '구', '싶', '다고', '항', 'heart', '2', 'Eundori', 'heart', '2', 'Heart', '2']|새벽이 너무 공허해 ㅠㅠㅠㅠ 은돌이 보구싶당 heart2Eundori heart2Heart2
16|['이제', '조', 'ㄴ', '버', '!']|이제 존버!
17|['조', 'ㄴ', '버', '냥', '이', 'heart', '2', 'Pinkcat']|존버냥이 heart2Pinkcat
18|['뚱냥이', '목', '요', 'ㄹ', '배', '가스', '비', 'ㅇ', 'ㅗ', 'ㄹ', '화', 'ㄱ', 'ㅇ', 'ㅠ', 'ㄹ', '60', '푸', '어', '이', '란다', '우산', '챙기', '어', '가', '았', '기', 'ㄹ']|뚱냥이 목욜 배가스 비올 확율 60퍼란다 우산챙겨갔길
19|['왕', 'ㅗ', 'ㅇ']|와옹
20|['조', 'ㄴ', '버', '냥', '이', 'ㅇ', '~', '~', '~', '~', 'heart', '2', 'Huhuhu', 'heart', '2', 'Jumjum']|존버냥잉~~~~heart2Huhuhu heart2Jumjum
