|morphs|origin
0|['이것', '웃', '기', '더', '랑']|이거 웃기더랑
1|['슬', '라', '이', 'ㅁ', '냥', '이']|슬라임냥이
2|['만', '명', '이', '보', 'ㄴ', 'trpg']|만명이 본 trpg
3|['풍수지리', '야', '업데이트', '되', 'ㅁ', 'ㅋㅋ']|풍수지리야 업데이트 됨 ㅋㅋ
4|['드', '으', '장']|등ㅡ장
5|['크', '~', '~', '이런', '거', '어리', '었', '을', '때', '많이', '하', '았', '는데']|크~~ 이런거 어렸을때 많이 했는데
6|['이것', '병맛', '개쩔었음', 'ㅋㅋㅋ']|이거 병맛 개쩔었음 ㅋㅋㅋ
7|['만', '명', '이', '보', 'ㄴ', '게임', 'ㅋㅋ', 'ㅋㅋ']|만명이 본 게임 ㅋㅋㅋㅋ
8|['지', 'ㄹ', '알', '이야']|질알이야
9|['이것', '어리', 'ㄹ', '때', '공책', '에', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|이거 어릴때 공책에 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10|['아니', '저거', 'ㄹ', '저렇', '게', '하', '고', '잇', '네', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|아니 저걸 저렇게 하고잇네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
11|['두', 'ㅇ', '이야']|둥이야
12|['저거', 'ㄹ', '만', '명', '이', 'ㅋㅋ', 'ㅋㅋ']|저걸 만명이 ㅋㅋㅋㅋ
13|['재밌', '기', 'ㄴ', '하', '것', '다']|재밌긴하것다
14|['매직', '더', '개', '더', '리', 'ㅇ', '인가']|매직더 개더링인가
15|['저거', 'ㄹ', '만', '명', '이', 'ㅋㅋㅋㅋㅋㅋㅋ']|저걸 만명이 ㅋㅋㅋㅋㅋㅋㅋ
16|['슈', '우우', '우우', 'ㄱ']|슈우우우욱
