|morphs|origin
0|['매치', 'ㅇ', '도우미', '뭐', '냐고', ';', ';']|매칭도우미 뭐냐고 ;;
1|['포', '탑', '메타', '가', 'ㅂ시다', '아', '조', '씨', 'ㅋㅋㅋ']|포탑메타 갑시다 아조씨 ㅋㅋㅋ
2|['바', 'ㄴ', '바', '한테', '다시', '태', 'ㅇ', '하', '라고', '하', '아요']|반바한테 다시 탱하라고해요
3|['슬로', '우', '캐리', 'ㄱ', '이', '니까', '주몽', '이랑', '하', '아서', '카이', '티', 'ㅇ', '조합', '가', 'ㅂ시다']|슬로우 캐릭이니까 주몽이랑 해서 카이팅 조합 갑시다
4|['갸', 'ㅇ', '1', '초', '이', '라도', '더', '맞', '다', '죽', '게', '둘', '다', '태', 'ㅇ', '하면', '안', '되', '나']|걍 1초라도 더맞다죽게 둘다 탱하면 안되나
5|['이건', '매치', 'ㅇ', '시간', '은', '히오스', '보다', '짧', '은데']|이건 매칭시간은 히오스보다 짧은데
6|['넥슨', '이면', '또', '과금', 'ㅈㄴ', '나오', 'ㄹ', '듯']|넥슨이면 또 과금 ㅈㄴ 나올듯
7|['근데', '초반', '에', '파밍', '을', '너무', '못하', '시', '어서', '후반', '가면', '템렙', '15', '정도', '는', '차이나', '실', '듯']|근데 초반에 파밍을 너무 못하셔서 후반가면 템렙 15정도는 차이나실듯
8|['디', 'ㄹ', '태', 'ㅇ', '이락', 'ㅗ', '생각', '하', '시', '어요', '프레이야', '는']|딜탱이라고 생각하세요 프레이야는
9|['상대', '적', '으로', '대기', '시간', '이', '많', '아', '보이', 'ㄴ다']|상대적으로 대기시간이 많아보인다
10|['ㄴㄴ', '넥슨', '은', '퍼블리싱', '만', '하', 'ㅁ']|ㄴㄴ 넥슨은 퍼블리싱만 함
11|['이것', '외국겜아님?']|이거 외국겜아님?
12|['수박', '겉핥', '기', '로', '캐리', 'ㄱ', '을', '마스터', '하', '시', 'ㅁ']|수박 겉핥기로 캐릭을 마스터 하심
13|['암', '트', 'ㄴ', '넥슨', '이', '껴있슴']|암튼 넥슨이 껴있슴
14|['두', '개', '째', '까', '시', '었', '네']|두개째 까셨네
15|['스팀', '에서', '넘어오', 'ㄴ', '게임', '이', '라', '고인물', '들', '이', '많', '은', '것', 'ㄴ가']|스팀에서 넘어온 게임이라 고인물들이 많은건가
16|['울', 'ㄴ다', '울', '어']|운다 울어
17|['재밌', '어', '보이', 'ㄴ다']|재밌어보인다
18|['이', '게임', '재미', '는', '있', '는데', '어렵', 'ㄴ', '것', '뿐']|이게임 재미는 있는데 어려운것뿐
19|['크로마', '키', '저것', '위쪽', '지', '글', '거리', '는', '거', 'ㄴ', '어쩔', '수', '없', '나', '?']|크로마키 저거 위쪽 지글거리는 건 어쩔 수 없나?
20|['똥', '차', 'ㄱ', '맨']|똥착맨
21|['그', '게', '무슨', '느끼', 'ㄴ', '점', '이', 'ㅁ']|그게 무슨 느낀점임
22|['마렵', 'ㄴ', '게임']|마려운 게임
23|['5부', 'ㄴ', '대기', '2', '분', '게임', '(', '대기실', '에서', '1', '분', '30', '초', ')']|5분대기 2분게임(대기실에서1분30초)
24|['이거', '하', '면서', '느끼', 'ㄴ', '것', '랑', '은', '아무', '상관', '이', '없', '는데']|이거하면서 느낀거랑은 아무상관이없는데
25|['째', '까', 'ㄴ', '두', 'ㅇ', '이', '문어']|째깐둥이문어
26|['왜', '쭈꾸미', '안', '머', '강']|왜 쭈꾸미 안먹ㅏㅇ
27|['똥', '마렵', 'ㄴ', '게임']|똥마려운게임
28|['침', '아재', '랭킹', '돌리', '어요', '실력', '비슷', '하', '게', '매치', 'ㅇ', '되', '게']|침아재 랭킹 돌려요 실력 비슷하게 매칭되게
