|morphs|origin
0|['침', '.', '차', 'ㄱ', '.', '맨', '.', '조', '.', '아']|침.착.맨.조.아
1|['언제', 'ㅇ', 'ㅗ', '시나']|언제오시나
2|['오늘', '휴', '방', '이', 'ㄴ디', '요']|오늘휴방인디요
3|['오늘', '부터', '5', '일', '연속', '휴', '바', 'ㅇ', '실화', '냐', '구', '~', '~', '~', '!', '~', '!', '1']|오늘부터5일연속휴방 실화 냐 구~ ~~!~!1
4|['아', 'ㄱ', '~', '~', '~', '~']|악~~~~
5|['침투부', '에서', '방송', '하이라이트', '영상', '이', '올라가', 'ㅂ니다', '.', 'https', ':', '/', '/', 'www', '.', 'youtube', '.com', '/', 'user', '/', 'zilioner', '83', '/']|침투부에서 방송 하이라이트영상이 올라갑니다. https://www.youtube.com/user/zilioner83/
6|['ㅇ', 'ㅗ', '뱅어', 'ㅄ', '?']|오뱅없?
7|['크리스마스', '까지', '배', 'ㅇ', '소', 'ㅇ', '업', '음']|크리스마스까지 뱅송업음
8|['오늘', '휴', '방', '이', 'ㄴ가요']|오늘 휴방인가요
9|['지', '각', '맨', '바로', '지각', '쓰', '어', '버리', '네']|지각맨 바로 지각써버리네
10|['대답', '하', '아', '침착맨', '은', '아지', 'ㄱ', '인가']|대답해 침착맨은 아직인가
11|['오늘', '휴', '방', '이', 'ㄴ데요']|오늘 휴방인데요
12|['배', '테', 'ㄴ', 'mt']|배텐 mt
13|['왜', '계속', '보', '고', '있', '는', '걸', 'ㄹ까', '.', '...']|왜 계속 보고 있는 걸까....
14|['수다', '방송', '말', 'ㄱ', 'ㅗ']|수다 방송 말고
15|['빠지', '어', '들', 'ㄴ다', '~', '~', '~', '~', '아아', '아아', '아아', '아아', '아']|빠져든다~~~~아아아아아아아아아
16|['튜토리얼', '하다', '가', '자', '아', '버리', '었', '지만']|튜토리얼 하다가 자버렸지만
17|['노력', '하', '아서', '재밌', '게', '하', '고']|노력해서 재밌게 하고
18|['이제', '다시', '보기', '하', '아야', '되', '어서']|이제 다시보기 해야돼서
19|['줄이', 'ㅂ니다']|줄입니다
