|morphs|origin
63|['대류', '찍', '으시', '었', '습니까', '?', '불기둥', '두', '번', '가', 'ㅂ니다', '.']|대류 찍으셨습니까? 불기둥 두번 갑니다.
64|['꼴', 'ㅗ', 'ㅇ', '꼴', 'ㅗ', 'ㅇ']|꼬롱 꼬롱
65|['기존', '대류', '랑', '비비', 'ㄹ', '정도', '로', '디', 'ㄹ', '이', '세', '아', '지', '어서']|기존 대류랑 비빌정도로 딜이 세져서
66|['대류', '찍', '기', '에', 'ㄴ', '마나', '중독자', '가', '너무', '좋', '음']|대류 찍기엔 마나중독자가 너무좋음
67|['1', '태', 'ㄱ', '작열', ',', '2', '태', 'ㄱ', '불기둥']|1택 작열, 2택 불기둥
68|['레오', '리', 'ㄱ', '우지', 'ㄱ']|레오릭 우직
69|['대류', '찍', '으라는', '사람', '특', ')', '다른', '사람', '이', '대류', '찍', '으면', '이아', 'ㄱ', '물', 'ㄱ', 'ㅗ', '싫어하', 'ㅁ']|대류찍으라는사람특) 다른사람이 대류찍으면 이악물고 싫어함
70|['근데', '요즘', '마나', '중독', '가', '라고', '하', '아도', '잘', '나오', '더라고요']|근데 요즘 마나중독 가라고 해도 잘 나오더라고요
71|['불기둥', '버프', '전', '에', '는', '대류', '안', '찍', '으면', '디', 'ㄹ', '이', '부족', '하다', 'ㄱ', 'ㅗ', '느끼', '었', '는데']|불기둥 버프 전에는 대류 안 찍으면 딜이 부족하다고 느꼈는데
72|['저', '성채', '부', '쉬', 'ㄹ', '때', '가', '위험', '합']|저 성채 부쉴때가 위험합
73|['대류', '찍', '으려면', '상하', 'ㅇ', '좀', '되', '어야', '하', 'ㅁ']|대류 찍으려면 상항좀되야함
74|['너무', '쉽', '게', '막히', '었', '네']|너무 쉽게 막혔네
75|['남자라면', '화력', '이', '지', '어디', '서', '타협', '이', 'ㅁ']|남자라면 화력이지 어디서 타협임
76|['살포', 'ㄱ', '넘', '모', '앞', 'ㅗ']|살폭 넘모 아포
77|['눈멀', 'ㄴ', '공포']|눈먼 공포
78|['오', '아', '메디브', '슈퍼', '세이브']|와 메디브 슈퍼세이브
79|['별로', '알', 'ㄴ', '아', '파보', '이', '는데']|별로 안아파보이는데
80|['히오스', '하', '았', '다']|히오스했다
81|['돌격병', '날아가', 'ㄴ다']|돌격병 날아간다
82|['미', '니어', 'ㄴ', '날아가', '는', '거', '보', '아']|미니언 날아가는거봐
83|['ㅋㅋ', 'ㄱ', 'ㅗ', 'ㅇ', '중부', 'ㄴ', '래']|ㅋㅋ공중분래
84|['우두', 'ㅇ', 'ㅗ', '더', '누구', '냐']|우두오더 누구냐
85|['어렵', 'ㄴ데']|어려운데
86|['메디브', '날아가', 'ㄴ다']|메디브 날아간다
87|['지', '매', 'ㄱㄷ', 'ㅗ', '아니', '라서']|지맥도 아니라서
88|['일단', '메디브', 'ㅇ', 'ㅗ', 'ㄱ', 'ㅗ']|일단 메디브 오고
89|['침착맨', '님', '생일날', '집', '에', '안', '가시', 'ㅁ']|침착맨님 생일날 집에 안가심
90|['빛나', '래', '발', '이', '늦', '어서', '오', '는', '거', '안', '되', 'ㄹ', '듯']|빛나래 발이 늦어서 오는거 안될 듯
91|['ㅇ', 'ㅗ', '더', '누구', '냐', '!', 'ㅇ', 'ㅗ', '더', '승인', '누구', '냐', '!']|오더 누구냐! 오더 승인 누구냐!
92|['아', '조시', '오늘', '집', '에', '알', 'ㄴ가요', '?']|아조시 오늘 집에 안가요?
93|['직관', '하', 'ㄴ다', '메디브']|직관한다 메디브
94|['포기', '하', '았', '네']|포기했네
95|['오늘', '근데', '왜', '의자', '바르샤', '의자', '앉', '으시', '었', '지']|오늘 근데 왜 의자 바르샤 의자 앉으셨지
96|['눈멀', 'ㄴ', '공포', '가', '우두', '존', '에서', '좋', '음']|눈먼 공포가 우두존에서 좋음
97|['생일', '이', '라서', '허락', '받', '으시', 'ㄴ', '거', '이', 'ㅁ', '?']|생일이라서 허락받으신거임?
98|['거즈', 'ㄴ', '끝나', '았', '네']|거즌 끝났네
99|['아서스', '무리', '하', '았', '다']|아서스 무리했다
100|['누구', '말', '이', 'ㅁ', '?', 'ㅋㅋ']|누구말임? ㅋㅋ
101|['눈', '멀', '어서', '구', 'ㅇ', '못', '씀', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|눈 멀어서 궁 못 씀ㅋㅋㅋㅋㅋㅋ
102|['펴', '어']|펴
103|['키', 'ㅇ', '이', 'ㄴ', '지']|킹 인 지
104|['어', 'ㅋㅋ', 'ㅋㅋ']|엌ㅋㅋㅋ
105|['쓰', 'ㄹ', '떼', '없', '는', '무비', 'ㅇ']|쓸떼없는 무빙
106|['ㅇ', 'ㅗ', '짐', 'ㅋㅋㅋ']|오짐 ㅋㅋㅋ
107|['야무지', 'ㄴ', '체인지', 'ㅋㅋ']|야무진 체인지 ㅋㅋ
108|['개', '야', '무', '지', '엇', '다']|개야무졋다
109|['왕', '이', 'ㄴ', '지']|왕 인 지
110|['갓', '인지', '의', '상대', '가', '알타', '라면', '어떻', 'ㄹ까', '?']|갓인지의 상대가 알타라면 어떨까?
111|['이기', '었', '네']|이겼네
112|['침', 'ㄴ', 'ㅠ', 'ㅋㅋ', 'ㅋㅋ']|침뉴 ㅋㅋㅋㅋ
113|['동', '이', 'ㄴ', '지']|동 인 지
114|['오', '아', '갓', '인지', '가', '이거', 'ㄹ']|와 갓인지가 이걸
115|['길', 'ㄴ', 'ㅠ', '냐', 'ㄱ', 'ㅗ']|기뉴냐고
116|['오', '아', '이거', 'ㄹ', '히오스', '하', '아', '버리', '네']|와 이걸 히오스 해버리네
117|['이거', 'ㄹ', '히오스']|이걸 히오스
118|['오', '아', '변이', '진짜', '띠', '꺼', 'ㅂ네', 'ㅋㅋ', 'ㅋㅋ']|와 변이 진짜 띠껍네 ㅋㅋㅋㅋ
119|['저것', '아나수류탼아로끈ㄹ야랴..']|저거 아나수류탼아로끈ㄹ야랴..
120|['히오스', '가', '히오스', '하', '았', '네']|히오스가 히오스했네
121|['체인지', '크', 'ㄴ', '그림', 'ㅋㅋ']|체인지 큰그림 ㅋㅋ
122|['이것', '시', '히오스', '다']|이거시 히오스다
123|['도시락', '사라지', 'ㅁ']|도시락 사라짐
124|['키', 'ㅇ', '인지']|킹인지
