|morphs|origin
0|['설', '살', 'ㄴ']|설 산
1|['섬', '옮기', '어요']|섬 옮겨요
2|['신', '매', '업']|신맵
3|['로', '아', '따르', '아', '하', '았', '네', '에', '휴']|로아따라했네 에휴
4|['설산', '이', 'ㅂ니다']|설산입니다
5|['빠', 'ㄴ', '쓰', '러', 'ㄴ']|빤쓰런
6|['미국', '가', '았', '다']|미국갔다
7|['오', '아', '!', '대', '난투', '!']|와! 대난투!
8|['배', '그', '신', '매', '업']|배그 신맵
9|['삐', '지', '엇', '음']|삐졋음
10|['개', '빠', 'ㄱ']|개빡
11|['이지', '매', '당하', '아서', '도망가', 'ㅁ']|이지매 당해서 도망감
12|['내년', '에', 'ㄴ', '다른', '사람', '이랑', '같이', '하', '아요']|내년엔 다른 사람이랑 같이해요
13|['아하', 'ㅇ']|아항
14|['설산', '이', '나오', 'ㄴ', '당']|설산이 나온당
15|['배', '글', 'ㅗ', '간다']|배그로간다
16|['ㅇ', 'ㅗ', '설산', '?']|오 설산?
17|['식', 'ㅗ', 'ㅇ', 'ㅋㅋㅋ']|시공 ㅋㅋㅋ
18|['레우스', 'ㅇ', 'ㅗ', '디', '강']|레우스 오디강
19|['대', '난투', 'ㄹ', 'ㅗ', '갑', '니다']|대난투로갑니다
20|['배', '그', '신', '매', '업', '가', '았', '음']|배그신맵 갔음
21|['오', '아', '쩔어']|와 쩔어
22|['ㅇ', 'ㅗ', 'ㅇ', 'ㅗ']|오오
23|['시간', '초과', '하', 'ㄴ', '거', '심']|시간초과한거심
24|['식', 'ㅗ', 'ㅇ', '은', '이제', '없어', '...']|시공은 이제 없어...
25|['식', 'ㅗ', 'ㅇ', '으로']|시공으로
26|['크으......설산뽕', '차', 'ㄴ다']|크으......설산뽕 찬다
27|['노스', '레', 'ㄴ', '드']|노스렌드
28|['설산', '나', '와', '요', 'ㅇ', 'ㅇㅇ']|설산 나와용 ㅇㅇ
29|['오', '아']|와
30|['서', '르', 'ㅡㅡ', 'ㅡㅡ', 'ㅡㅡ', '산']|설ㅡㅡㅡㅡㅡㅡㅡ산
31|['갓', '짐', 'ㅗ', '토세', 'ㄴ', '세', '설산', '감사', '합니다', 'ㅠ', 'ㅠ']|갓지모토센세 설산 감사합니다 ㅠㅠ
32|['ㅇ', 'ㅗ']|오
33|['ㅇ', 'ㅗ', 'dlc']|오 dlc
34|['크으', '줌', 'ㅗ']|크으 주모
35|['ㅇ', 'ㅗ', '~', '~', '~']|오~~~
36|['설', 'ㅡ', '살', 'ㄴ']|설 ㅡ 산
37|['게', '롤', '트', '가', '다', '잡', '아', '주', 'ㄹ', '꺼', '야']|게롤트가 다 잡아줄꺼야
38|['그렇', '고', '게', '롤', '트', '가', '등장', '하', '는', '데', '...']|그러고 게롤트가 등장하는데...
39|['리치', '와', 'ㅇ', '?', 'ㅋㅋㅋ']|리치왕? ㅋㅋㅋ
40|['갓', '짐', 'ㅗ', '토']|갓지모토
41|['루', 'ㄱ', '삼']|룩삼
42|['아이', '이습', 'ㅗ', 'ㄴ', '~']|아이스본~
43|['리치', '와', 'ㅇ']|리치왕
44|['메', '체', 'ㄴ', '드뎌!!!']|메첸 드뎌!!!
45|['라자', 'ㄴ', '?']|라잔?
46|['내년', '가을', '에', '나오', 'ㅂ니다', '.', '.']|내년 가을에 나옵니다..
47|['라자', 'ㄴ']|라잔
48|['로', '아하', '쉬', 'ㄹ', '?', '?', '?']|로아하쉴???
49|['저것', '나오', '았', '을', '떼']|저거 나왔을떼
50|['리치', '와', 'ㅇ', '나오', '겠', '지']|리치왕나오겠지
51|['라자', 'ㄴ', '은', '설산', '아', '님']|라잔은 설산아님
52|['루', 'ㄱ', '삼', '?']|룩삼?
53|['진짜', '소름', '돋우', 'ㅁ']|진짜 소름돋움
54|['루', 'ㄱ', '삼', 'ㅇㅇ']|룩삼 ㅇㅇ
55|['게', '롤', '트', '가', '다', '해결', '하', '아', '줄', '끄', '어야', '~']|게롤트가 다 해결해 줄꺼야~
56|['저것', '나오', 'ㄹ', '때', 'ㅋ']|저거 나올때 ㅋ
57|['리치', '와', 'ㅇ', '셋', '?']|리치왕셋?
58|['설산', '가사', 'ㅇ']|설산가상
59|['게', '롤', '트', '도', '나오', 'ㅁ']|게롤트도 나옴
60|['미치', '었', '다']|미쳤다
61|['티', '가', '라자', 'ㄴ']|티가 라잔
62|['키', '리', 'ㄴ']|키린
63|['턱돌이', '도', '나오', 'ㅁ']|턱돌이도 나옴
64|['취하', 'ㄴ다', '!', '!!', '!!']|취한다!!!!!
65|['키', '리', 'ㄴ', '은', '원래', '있', '었', '고']|키린은 원래 있었고
66|['나르', '카', '쿠', '르', '카', '나오', 'ㅁ']|나르카 쿠르카 나옴
67|['루', 'ㄱ', '삼', 'ㅋㅋㅋㅋㅋ']|룩삼 ㅋㅋㅋㅋㅋ
68|['노스', '레', 'ㄴ', '드', '네']|노스렌드네
69|['키', '리', 'ㄴ', '빤스', '셋']|키린 빤스셋
70|['그럼', '로', '아해', '야', '되', 'ㅁ']|그럼 로아해야됨
71|['게', '롤', '트', '셋', '나오', 'ㅁ', 'ㅋㅋ']|게롤트 셋 나옴 ㅋㅋ
72|['고릴라', '같', '은', '애', '나오', 'ㄹ', '거란', '전망', '은', '있', '던데']|고릴라같은애 나올거란 전망은 있던데
73|['식', 'ㅗ', 'ㅇ', '이여', '?']|시공이여?
74|['도', '스팡', 'ㄱ', 'ㅗ']|도스팡고
75|['허', 'ㄱ']|헉
76|['키', '리', 'ㄴ', '은', '원래', '있', '었', '는', '거', 'ㄹ']|키린은 원래 있었는걸
77|['루', 'ㄱ', '삼', '세트']|룩삼세트
78|['게', '롤', '트', '하', '고', '같이', '나오', 'ㄹ려', '나', '보', '네']|게롤트하고 같이 나올려나 보네
79|['티', '가', '우', '카', 'ㅁ', '루', '바스', '나오', 'ㅁ']|티가 우캄루바스나옴
80|['바', '하', '하', 'ㄹ', '때', 'ㅋㅋㅋ']|바하할때 ㅋㅋㅋ
81|['이제', '컨택츠', '없', '겠', '지', '하', '고', '생각', '하', '았', '는데', 'ㅋ']|이제 컨택츠 없겠지 하고 생각했는데 ㅋ
82|['끼', '야야', 'ㄱ']|끼야약
83|['따르', '아', '하', '아', '보', '아', '이', '어']|따라해봐여
84|['돌', '네', '터지', '었', '을', '때']|도네터졌을때
85|['상사', 'ㅇㄷ', 'ㅗ', '못', '하', 'ㄴ', '정체', '!']|상상도못한 정체!
86|['지', 'ㄴ', '테', 'ㄴ', 'ㅋㅋ']|진텐 ㅋㅋ
87|['이', '었', '던', '것', 'ㅋㅋ']|였던것 ㅋㅋ
88|['선배', '이', '었', '던', '것']|선배였던것
89|['저것', '하', '아', '주', '어']|저거해줘
90|['이', '었', '던', '것', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|였던것ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
91|['띠', 'ㅇ', '작', '임', 'heart', '2', 'Kigom']|띵작임 heart2Kigom
92|['안', '하', '아요', '안', '하', '아']|안해요 안해
93|['성우', '들', '이', '엄청나', 'ㄴ', '게임']|성우들이 엄청난 게임
94|['그', '개', '미나', 'ㅇ', 'ㅗ', '는', '거', '?']|그 개미나오는거?
95|['하', '아', '주', '시', '어요']|해주세요
96|['거르', 'ㄴ다', 'ㅋㅋㅋ']|거른다 ㅋㅋㅋ
97|['저것', '평', '좋', '던데']|저거 평좋던데
98|['올', '더빙', '이', 'ㄴ데']|올더빙인데
99|['비', '급', '내', 'ㅁ', '시']|비급냄시
100|['이봐', '고든', '긴장', '하', 'ㄹ', '필요', '없', '어']|이봐 고든 긴장할 필요 없어
101|['서', 'ㄴ바']|선바
102|['오', '아', '더빙', '이', '네']|와 더빙이네
103|['한글', '더비', 'ㅇㄷ', 'ㅗ', '됬네']|한글더빙도 됬네
104|['구', '와', '아', 'ㄱ']|구와악
105|['어', 'ㅋㅋ']|엌ㅋ
106|['더빙', '이', 'ㄴ데']|더빙인데
107|['지구', '좀', '지키', '어', '주', '어요']|지구 좀 지켜줘요
108|['선배', '엿', '더', 'ㄴ', '것']|선배 엿던것
109|['한국', '인트', 'ㄱ']|한국인특
110|['이', '었', '던', '것']|였던것
111|['저것', '똥겜이라던데']|저거 똥겜이라던데
112|['이', '었', '던', '것', 'ㅋㅋㅋ']|였던것 ㅋㅋㅋ
113|['이것', '재밋든대']|이거 재밋든대
114|['선배', '이', '었', '던', '것', '...', '.']|선배였던것....
115|['가만히', '있', '는', '거', '보', '아']|가만히 있는거봐
116|['지', 'ㅇ', '그', '러', 'ㅋㅋ']|징그러 ㅋㅋ
117|['열연', '보', '아']|열연봐
118|['리얼', '하', '아', 'heart', '2', 'Kigom']|리얼해 heart2Kigom
119|['재', 'ㅁ', '잇', '어', '보이', '는대', '?']|잼잇어 보이는대?
120|['선배', '이', '었', '던', '것', 'ㅋㅋㅋ']|선배였던것 ㅋㅋㅋ
121|['무기', '없어', '이', '어', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|무기없어여 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
122|['제일', '가깝', 'ㄴ', '자리', '에서', '직관']|제일 가까운 자리에서 직관
123|['으', '에', 'ㄱ', '...']|으엑...
124|['으', '에', 'ㄱ']|으엑
125|['똥', '내', 'ㅁ', '시']|똥냄시
126|['저것', '걸작', '이', 'ㄴ데', 'heart', '2', 'Kigom']|저거 걸작인데 heart2Kigom
127|['똥겜은', '하', '아야지']|똥겜은 해야지
128|['새봄', '추가', '하', '면', '핫', '하', 'ㄹ', '꺼', 'ㄱ', '같', '아']|새봄추가 하면 핫할꺽같아
129|['저것', '메타', '점수', '개', '높', '은데', 'ㅡㅡ']|저거 메타점수개높은데 ㅡㅡ
130|['병맛', '이', '라서', '끌리', 'ㄴ', '당', 'ㅋㅋ']|병맛이라서 끌린당 ㅋㅋ
131|['어', 'ㅋㅋ', 'ㅋㅋ']|엌ㅋㅋㅋ
132|['지구', '를', '구하', '아야죠']|지구를 구해야죠
133|['저것', '극혐', '이야', 'ㅋㅋㅋㅋㅋ']|저거 극혐이야 ㅋㅋㅋㅋㅋ
134|['더빙', '이번', '에', '미치', 'ㅁ', 'heart', '2', 'Kigom']|더빙 이번에 미침 heart2Kigom
135|['이번', '작', '은', '다르', 'ㅁ']|이번작은 다름
136|['저것', '재밌', '기', 'ㄴ', '하', 'ㅁ', '어렵', '어서', '물', 'ㄴ', '제지']|저거 재밌긴 함 어려워서문제지
137|['ㄴ', 'ㅗ', 'ㅇ', 'ㅗ', '재', 'ㅁ', 'ㄴ', 'ㅗ', 'ㅇ', 'ㅗ', '재', 'ㅁ']|노오잼 노오잼
138|['저것', 'ㄴ', '방송용겜이지']|저건 방송용겜이지
139|['원래', 'b', '급감', '성', '이', 'ㅁ']|원래 b급감성임
140|['작', '년', '꺼', '못', '보', '았', '는데', 'ㅠ', 'ㅠ']|작년꺼 못봤는데 ㅠㅠ
141|['벌', 'ㄹ래', '싫어하', '면', '하면', '안', '되', '는', '게임']|벌래싫어하면 하면안되는 게임
142|['충', '신', '거르', '어', '내', '기']|충신걸러내기
143|['ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', '그것', 'ㄴ', '재미있', '겠', '다']|ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그건 재미있겠다
144|['저것', '풀', '더빙', '이', '얌', '..']|저거 풀더빙이얌 ..
145|['ㄴ', 'ㅗ', 'ㅇ', 'ㅗ', '재', 'ㅁ']|노오잼
146|['저것', 'ㄴ', '비', '급감', '성', '으로', '재밌', '어야', '하', 'ㅁ']|저건 비급감성으로 재밌어야 함
147|['기가', 'ㅇ', '씨', '게', '잡', '으려고']|기강 씨게잡으려고
148|['쉽', 'ㅁ', '으로', '만', '하', '자', '그냥']|쉬움으로만 하자 그냥
149|['기가', 'ㅇ', '잡', '는', '요', 'ㅇ']|기강 잡는용
150|['기가', 'ㅇ', '잡기']|기강잡기
151|['ㅇㅇ', '.', '.', '겜이', '대신', '욕먹', '어', '주', 'ㅁ', 'ㅋㅋ']|ㅇㅇ.. 겜이 대신 욕먹어줌 ㅋㅋ
152|['기가', 'ㅇ', '씨게잡는겜']|기강 씨게잡는겜
153|['새봄', '추', '욕', '을', '안', '하', 'ㄴ다', '이마', '리야']|새봄추 욕을 안한다 이마리야
154|['게임', '한테', '미안', '하', '아', '지', 'ㄹ', '수준']|게임한테 미안해질 수준
155|['가장', '무능', '하', 'ㄴ', '지구', '방위대']|가장 무능한 지구방위대
156|['그렇', '게', '어렵', 'ㄴ가', '?']|그렇게 어려운가?
157|['키', 'ㅇ', '글', 'ㅗ']|킹그로
158|['업', '드리', '어', '!']|업드려!
159|['이', 'ㄴ', '성질', 'ㄷㄷ']|인성질 ㄷㄷ
160|['오늘', '루', 'ㄱ', '원피스', '에요', '?', '?']|오늘 룩 원피스에요??
161|['제대로', '되', 'ㄴ', '총알받이', 'ㅋㅋㅋㅋㅋㅋㅋㅋㅋ']|제대로된 총알받이 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
