|morphs|origin
0|['이것', '만', '잘', '막', '으면', '이기', '겠', '네']|이거만 잘 막으면 이기겠네
1|['늘', 'ㄴ', '포', '탑', '에', '사망']|는 포탑에 사망
2|['ㅇ', 'ㅗ']|오
3|['애', 'ㄱ', 'ㅗ', '힐', '팩', '잘못', '들', '어', '갓', '네']|애고 힐팩 잘못들어갓네
4|['ㅇ', 'ㅗ', 'ㅇ', 'ㅗ']|오오
5|['이기', '었', '다']|이겼다
6|['ㅇ', 'ㅗ', '굳']|오 굳
7|['잘', '하', 'ㄴ다']|잘한다
8|['나이스', '냥', '이', 'ㅇ', '~']|나이스냥잉~
9|['잘', '하', '았', '다']|잘했다
10|['ㅇ', 'ㅗ', 'ㅋㅋ', 'ㅋㅋ']|오 ㅋㅋㅋㅋ
11|['부산', '매', '업', '어려웡']|부산맵 어려웡
12|['이기', '엇', '다']|이겻다
13|['잘', '하', '았', '당', 'ㅋㅋㅋ']|잘했당 ㅋㅋㅋ
14|['중력자', '타', 'ㄴ', '깔끔', '하', 'ㄴ', '거', '봇', 'ㅗ']|중력자탄 깔끔한거보소
15|['이것', '플', '레', '도', '금방', '이', '겠', '네']|이거 플레도 금방이겠네
16|['자라', 'ㄴ다', '자라', 'ㄴ다', '자라', 'ㄴ다']|자란다자란다자란다
17|['토르', '비요', 'ㄴ', '과', '몰입']|토르비욘 과몰입
18|['키', 'ㅇ', '하나', 'ㅋㅋ', 'ㅋㅋ']|킹하나 ㅋㅋㅋㅋ
19|['크', '어', '여우', 'ㄴ', '냥', '이', 'ㅇ']|커여운냥잉
20|['그런', '거', 'ㄴ', '마이크', '끄', '고', '...']|그런건 마이크 끄고...
21|['토르', '비요', 'ㄴ', '화', '나', '았', '다']|토르비욘 화났다
22|['톨', '비', '대사', '아니', 'ㄴ가']|톨비 대사 아닌가
23|['쏘', '아', '리']|쏴리
24|['새', '보', 'ㅁㅊ', 'ㅠ', '!!']|새봄츄!!
25|['톨', '비', '대사', '이', 'ㅁ', 'ㅋㅋㅋ']|톨비 대사임 ㅋㅋㅋ
26|['이', 'ㄴ', '게임', '에서', '계속', '보이스', '저러', '면', '나', '같', '으면', '팀', '보', '끄', 'ㅁ', 'ㅋㅋ']|인게임에서 계속 보이스 저러면 나같으면 팀보 끔 ㅋㅋ
27|['장인', '이', 'ㄴ데', '실버']|장인인데 실버
28|['오', '아', '!']|와!
29|['ㅇㅈ', '하', '는', '부부', 'ㄴ']|ㅇㅈ 하는부분
30|['멜', '시장', '이', 'ㄴ', '!']|멜시장인!
31|['톡', '키', 'ㄱ', 'ㅗ', '하', '는', '것', '도', '좋', '네', 'ㅋㅋ', 'ㅋㅋ']|톡 키고 하는것도 좋네 ㅋㅋㅋㅋ
32|['교묘', '하', 'ㄴ', '수법', '이', '다']|교묘한 수법이다
33|['이', '티어', '에서', '장인', '일리', '가', '어', 'ㅄ', '쥬', '?']|이 티어에서 장인일리가 없쥬 ?
34|['간신', '배', 'ㄴ', '이', 'ㅂ니다']|간신 밴입니다
35|['메르시', '랑', '라인', '은', '무', '저', '거', 'ㄴ', '칭찬', '하', 'ㅁ', 'ㅋㅋ']|메르시랑 라인은 무저건 칭찬함 ㅋㅋ
36|['이것', '맞', '다']|이거 맞다
37|['그러', '어', '보', '았', '자', '실버']|그래봤자 실버
38|['그것', 'ㄴ', '충', '이', '라', '합니다']|그건 충이라 합니다
39|['띄우', '어', '주', '면', '으쓱', '대', '어서', '죽어여ㅋㅋㄱㅋ']|띄워주면 으쓱대서 죽어여ㅋㅋㄱㅋ
40|['정치', 'ㅇ', '차', 'ㄴ']|정칭찬
