|morphs|origin
0|['지키', '어', '주', '시', '어요', ':', '★', '비속어', '사용', 'X', ',', '시청자', '간', '닉', '언', 'X', ',', '시청자', '의', '방송', '중재', ',', '타스', '트리', '머', '비하', ',', '타', '방송', '중계', 'X', ',', '외모', '이야기', 'X', ',', '게임', '관련', '없', '는', '이야기', 'X', ',', '병먹금', '필수', '!', ',', '방송', '내', '의', '클립', '이나', '사진', '은', '트', '게', '더', '이외', '에', '올리', '지', '마', '세', '요', '(', '필수', ')', '★']|지켜주세요 : ★ 비속어 사용 X, 시청자간 닉언 X, 시청자의 방송 중재, 타스트리머 비하, 타방송 중계 X, 외모 이야기 X, 게임 관련 없는 이야기 X, 병먹금 필수!, 방송 내의 클립이나 사진은 트게더 이외에 올리지 마세요(필수) ★
1|['공지', '댓글', ':', '미아', 'ㄴ', '하다', 'ㄱ', 'ㅠ', '!!!', '후헹', '저', '..', '머리', '자르', 'ㄱ', 'ㅗ', '이', 'ㅅ거든', '이', '어', '..', '?', 'ㅎㅎ', '.', '.']|공지 댓글 : 미안하다규!!! 후헹 저..머리자르고잇거든여..?ㅎㅎ..
2|['역시', '연말', '에', 'ㄴ', '곰보', '게임', '이', '지']|역시 연말엔 곰보게임이지
3|['머리', '한', '번', '자르', '면', '기르', '기', '힘들', 'ㄴ', '갑', 'ㅗ', '네', '요', 'ㅋㅋ']|머리 한번 자르면 기르기 힘든가보네요 ㅋㅋ
4|['다듬', '엇', '다고', '하', '는지', '알', '앗', '는데']|다듬엇다는지 알앗는데
5|['네', 'ㅇ']|넹
6|['ㅇ', 'ㅗ', '배', 'ㅇ', '늦', 'ㅇㅋ']|오뱅늦 ㅇㅋ
7|['오', '아', '곰보겜!']|와 곰보겜!
8|['3', '시', '넘', '어서', '켜', '어', '지', 'ㄹ', '것', '같', '은', '불안감']|3시넘어서 켜질것같은 불안감
9|['놀', '다', '오', 'ㄹ게', '영']|놀다올게영
10|['무슨', '일', '있', '나', '이', '어', '?']|무슨 일 있나여?
11|['까', 'ㄹ', '까', 'ㄹ']|깔 깔
12|['아', '녀', '일', '잇', '는', '거', 'ㄴ', '아니', '고']|아녀 일 잇는건 아니고
13|['머리', '자르', '앗', '는데']|머리 잘랏는데
14|['오', '아', '!', '곰보겜!']|와! 곰보겜!
15|['별', '로시', '이', '구나']|별로시구나
16|['별로', '이', '라서', '?']|별로라서?
17|['또', '맘', '에', '알', 'ㄴ', '드', '시나']|또 맘에 안드시나
18|['그렇', '게', '왜', '짤', '이', '라서', '..']|그러게 왜 짤라서 ..
19|['맘', '에아', 'ㄴ', '드', '시나', '보', '네', 'ㅇ']|맘에안드시나보넹
20|['단발', '이', '잘못', '하', '았', '네']|단발이 잘못했네
21|['초야', 'ㅇ', '라', 'ㄱ', '리턴즈']|초양락 리턴즈
22|['초야', 'ㅇ', '라', 'ㄱ', '^^7']|초양락 ^^7
23|['머리', '만', '자르', '면', '후회', '하', '시네', '이', '어']|머리만 자르면 후회하시네여
24|['지각', '이', '면', '프레디', '의', '피자', '가게', '한', '번', '만', '하', '시', 'ㅁ', '됩니당', '물론', '전', '무섭', '어서', '안', '보', 'ㄹ', '거', '임', '^^']|지각이면 프레디의 피자가게 한번만 하심 됩니당 물론 전 무서워서 안볼거임^^
25|['최양락', '컷', '한', '번', '보', '아야죠']|최양락 컷 한번 봐야죠
26|['나', 'ㄴ', '단발', '이', '좋', '은', '데', 'ㅇ', 'ㅠ', 'ㅠ']|난 단발이 좋은뎅 ㅠㅠ
