|morphs|origin
0|['저', '걸', '입', '고', '가', '았', '네', 'ㅋㅋ']|저걸입고갔네 ㅋㅋ
1|['하', '지', '말', '아', '거기', '남', '에', '방송', '이야']|하지마 거기 남에 방송이야
2|['남', '의', '바', 'ㅇ', '여포', 'ㅋㅋㅋ']|남의방 여포 ㅋㅋㅋ
3|['마루', '야', '묻', '어']|마루야 물어
4|['리', '젠', '트', '크', '엇']|리젠트컷
5|['지키', '어', '주', '시', '어요', ':', '★', '비속어', '사용', 'X', ',', '시청자', '간', '닉', '언', 'X', ',', '시청자', '의', '방송', '중재', ',', '타스', '트리', '머', '비하', ',', '타', '방송', '중계', 'X', ',', '외모', '이야기', 'X', ',', '게임', '관련', '없', '는', '이야기', 'X', ',', '병먹금', '필수', '!', ',', '방송', '내', '의', '클립', '이나', '사진', '은', '트', '게', '더', '이외', '에', '올리', '지', '마', '세', '요', '(', '필수', ')', '★']|지켜주세요 : ★ 비속어 사용 X, 시청자간 닉언 X, 시청자의 방송 중재, 타스트리머 비하, 타방송 중계 X, 외모 이야기 X, 게임 관련 없는 이야기 X, 병먹금 필수!, 방송 내의 클립이나 사진은 트게더 이외에 올리지 마세요(필수) ★
6|['뭐', '이', '어', '켜', '어', '지', 'ㄴ', '겨', '?']|뭐여 켜진겨?
7|['뭔', '소리', '인가', '하', '았', '네']|뭔소리 인가했네
8|['유튭소리에', '개', '놀', '라', '하', '았', '네']|유튭소리에 개놀랬네
9|['아직', '알람', '이', '알', 'ㄴ', '갓', '나', '보구', 'ㄴ', '요', '후', '후후']|아직 알람이 안갓나보군요 후후후
10|['이', 'ㅇ', '켜', '지', 'ㄴ', '걸', 'ㄴ가']|잉 켜진건가
11|['초승달', 'is', 'now', 'live', '!', 'Streaming', 'Just', 'Chatting', ':', '\uf319', '끄헥']|초승달 is now live! Streaming Just Chatting: 🌙 끄헥
12|['공지', '가어', 'ㅄ', '이', '길래']|공지가없길래
13|['방심', '하', '았', '다']|방심했다
14|['엄청', '일찍', '키', '시', '었', '네']|엄청 일찍키셨네
15|['슬', '마', '목이', '나가', 'ㄴ', '거', 'ㄴ', '아니', '겠', '지']|슬마 목이 나간건 아니겠지
16|['1', '시', '이', 'ㄴ데', '?']|1시인데?
17|['이', '며', '용', '?']|며용?
18|['안', '뇨', 'ㅇ']|안뇽
19|['노래', '좋', '구', '열', 'ㄴ']|노래 좋구연
20|['오늘', '도', '옴', '닉', '달', '이', 'ㄴ가', '.', '.']|오늘도 옴닉달인가..
21|['이 노래', '여기', '서', '듣', '고', '빠지', '었', '습니다', 'ㅋㅋ']|이 노래 여기서 듣고 빠졌습니다 ㅋㅋ
22|['노래', '머', '지', 'ㅇ']|노래 머징
23|['paris', 'in', 'the', 'rain', '이', 'ㅇ', 'ㅗ', '@']|paris in the rain이오@
24|['제목', '머', '에', '이', '어', '?']|제목 머에여?
25|['트', '유', '이', '라', '그', '만', '하', '셈']|트유라 그만하셈
26|['파파', 'ㄱ', 'ㅗ', '누나', 'ㅇ', 'ㅗ', '는', '나', 'ㄹ', '인가']|파파고누나 오는날인가
27|['paris', 'in', 'the', 'rain', '이', '에', '이', '어', '노래', '제모', 'ㄱ']|paris in the rain이에여 노래제목
28|['오늘', '도', '모', 'ㄱ', '바', '인가']|오늘도 목바 인가
29|['감사', '이', '어']|감사여
30|['오', '아', '김정현', '!']|와 김정현!
31|['트', '살', '나', '!']|트사나!
32|['엥', '왜', '이렇', '게', '일찍', '오', '시', '었', '나']|엥 왜 이렇게 일찍오셨나
33|['지금', '안', '하', '기', '이', '면']|지금 안키면
34|['방장', '님', '트위치', '오신', '이래', '로', '상당', '하', 'ㄴ', '괄목상대', '하', '시', '었', '는데', '소감', '좀']|방장님 트위치 오신 이래로 상당한 괄목상대하셨는데 소감좀
35|['못', '하', '기', 'ㄹ', '것', '같', '아서']|못킬것같아서
36|['잠', '알', 'ㄴ', '주무', '신건', '가']|잠 안주무신건가
37|['음악', '제모', 'ㄱ', '뭐', '예요', '?', '?']|음악제목뭐예요??
38|['늦', '게', '자', 'ㅁ']|늦게잠
39|['로', '아', '하', '았', '어요', '?']|로아했어요?
40|['또', 'ㄹ', '똘똘이']|똘똘똘이
41|['로', '아', '해', '네']|로아햇네
42|['7', '시더', 'ㄴ', '데']|7시던데
43|['그', '게', '밤새', 'ㄴ', '거']|그게 밤샌거
44|['하', '아', '뜨', '고', '자', 'ㄴ', '거', '죠', '?']|해뜨고 잔거죠?
45|['오', '아', 'ㄷㄷ']|와 ㄷㄷ
46|['ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ', 'ㄹ', 'ㅗ', '아']|ㅋㅋㅋㅋㅋㅋ로아
47|['음악', '제목', '알리', '어', '주세', '요', 'ㅠ', 'ㅠ', 'ㅠ']|음악제목알려주세요ㅠㅠㅠ
48|['밤새', 'ㄴ', '것', '네', 'ㅋㅋ', 'ㅋㅋ', 'ㅋㅋ']|밤샌거네 ㅋㅋㅋㅋㅋㅋ
49|['새', 'ㄴ', '거', '맞', '구먼']|샌거 맞구먼
50|['오늘', '오신', '것', '네', '여', '...']|오늘오신거네여...
51|['로', '아', '하도', '못', '하', '엇', '음']|로아 하도 못햇음
52|['술', '파티', '하', '시', '었', '나', 'ㅋㅋ', 'ㅋㅋ']|술파티하셨나 ㅋㅋㅋㅋ
53|['그', '게', '밤새', 'ㄴ', '거지', '.', '.']|그게 밤샌거지..
54|['어제', '가', '아니', 'ㄴ', '것', '이', '구요', 'ㅋ']|어제가 아닌것이구요 ㅋ
55|['어제', '가', '아니', '라', '오늘', 'ㅇ', 'ㅗ', 'ㄴ', '것', '내', 'ㅎㅎ']|어제가 아니라 오늘 온거내 ㅎㅎ
56|['일정', '빠', 'ㄱ', '세', '네', '염']|일정빡세네염
57|['이것', '에', '이', '어']|이거에여
58|['그러니까', '아침', '7', '시', '까지', '체리', '옷', '입', 'ㄱ', 'ㅗ', '돌아다니', '었', '다', '...', '맞', '죠', '?', 'ㅎㅎ']|그러니까 아침 7시까지 체리옷입고 돌아다녔다... 맞죠? ㅎㅎ
59|['으', '디', '가', '았', '다', 'ㅇ', 'ㅗ', 'ㄴ', '겨']|으디 갔다 온겨
60|['피', 'ㅇ', 'ㅠ', '네', '집']|피유네집
61|['엄마', '가', '안', '깨우', '어', '주', '엇', '으면']|엄마가 안깨워줫으면
62|['i', 'like', 'me', 'better', '이것', '도', '들', 'ㄹ', '어보', '세', 'ㅇ', 'ㅠ', '승', '달님']|i like me better 이거도 들어보세유 승달님
63|['언제', '깨', '시', '었', '나요']|언제 깨셨나요
64|['아', '밤샘', '이', '시', 'ㄴ가']|아 밤샘이신가
65|['그럼', '아직', '알', 'ㄴ', '작', 'ㅗ', '있', '는', '거', '에요', '?']|그럼 아직 안자고 있는거에요?
66|['아', '녀', '잣', '어', '이', '어', '!', 'ㅋㅋ']|아녀 잣어여!ㅋㅋ
67|['부', '개', '찌개', '는', '맛있', '으시', '었', '나요']|부개찌개는 맛있으셨나요
68|['엄마', '가', '깨우', '어', '주', '엇', '다구', '!', 'ㅋㅋ']|엄마가 깨워줫다구!ㅋㅋ
69|['거의', '못', '자', 'ㄴ', '거', '아니', 'ㅁ', '?']|거의 못잔거아님?
70|['7', '시', '에', '나오', '앗', '다는', '거', '아니', 'ㅁ', '?']|7시에 나왓다는거아님?
71|['끠유님이랑', '쌔쌔쌔', '하', '고', '놀', '앗', '납', 'ㅗ', '네', 'ㅇ', '.', '.']|끠유님이랑 쌔쌔쌔 하고 놀앗나보넹..
72|['안', '자', '았', '음', '아무튼', '안', '잠']|안잤음 아무튼 안잠
73|['오', '아', '승', '달님', '철야', '하', '시', '었', '네']|와 승달님 철야하셨네
74|['오', '아', '철야', '근무']|와 철야근무
75|['공지', '안', '올라오', 'ㄴ', '거', '보고', '깨우', '시', '었', '나', '보다']|공지 안올라온거보고 깨우셨나보다
76|['그래서', '당면', '추가', '하', 'ㄴ', '부대찌개', '는']|그래서 당면추가한 부대찌개는
77|['어떻', '시', '었', '나요']|어떠셨나요
78|['당면', '말', 'ㄱ', 'ㅗ', '라면', '사리']|당면 말고 라면사리
79|['추가', '하', '아서']|추가해서
80|['그러니까', '지금', '안', '하', '기', '이', '면', '잠', '들', '것', '같이', '피곤', '하', '다는', '거', '죠', '?']|그러니까 지금 안키면 잠들것같이 피곤하다는거죠?
81|['라면', '사', '리가 구', 'ㄱ', '룰', '이', '지']|라면사리가 국룰이지
82|['아', '플레이', '리스트', '탐나', 'ㄴ다', '.', '.']|아 플레이리스트 탐난다..
83|['키', 'ㅇ', '면', '사리', 'ㅇㅂ']|킹면사리 ㅇㅂ
84|['원조', '를', '선택', '하', '시', '었', '네']|원조를 선택하셨네
85|['구', 'ㄱ', '룰', '.', '.']|국룰..
86|['조', 'ㄴ', '맛', 'ㅇㅈ']|존맛 ㅇㅈ
87|['이', '노래', 'ㄴ', '또', '뭐', '야']|이노랜 또 뭐야
88|['조순', '달', '살', 'ㄹ', '금방', '찌', 'ㄴ다']|조순달 살 금방찐다
89|['오', '아', '탐', '나', 'ㄴ', '다', '플레이', '리스트']|와 탐난다 플레이리스트
90|['그', '시간', '에', '부대찌개', '집', '이', '열리', '어', '있', '네']|그 시간에 부대찌개집이 열려있네
91|['노래', '왜', '하', '게', '다', '좋', '지', '?']|노래 왜케 다 좋지?
92|['늘', '느끼', '는', '게', '서', 'ㄴ', 'ㄱ', 'ㅗ', 'ㄱ', '잘', '하', '시', 'ㅁ', ';']|늘 느끼는게 선곡 잘하심;
93|['작', 'ㅗ', '잇', '던데']|자고잇던데
94|['개', '부럽', 'ㅁ']|개부러움
95|['트', 'ㄹ', '수', '냥', '이']|트수냥이
96|['고양이', '팔자', '가', '상', '팔자', '이', '어']|고양이팔자가 상팔자여
97|['이것', '한', 'ㄱ', 'ㅗ', 'ㄱ', '만', '더', '듣', '고']|이거 한곡만 더 듣고
98|['마이크', '키', 'ㄹ께', '이', '어']|마이크 킬께여
99|['다음', '생', '에', 'ㄴ', '고양이', '로', '태어나', '아야', '지', 'ㅡㅡ']|다음생엔 고양이로 태어나야지ㅡㅡ
100|['다음', '생애', '에', 'ㄴ']|다음 생애엔
101|['네', 'ㅇ']|넹
102|['냥', '이', 'ㄹ', 'ㅗ', '태어나', '자']|냥이로 태어나자
103|['ㄴ', 'ㅗ', '캐', 'ㅁ', '이', 'ㄴ가', '이', '어', '오늘']|노캠인가여 오늘
104|['멀', 'ㄴ', '모찌', '사랑해', '!!!']|먼모찌사랑해!!!
105|['후우', '부럽', '다', 'ㄱ', 'ㅗ', '냥', '이']|후우 부럽다 고냥이
106|['냥', '이', 'ㄹ', 'ㅗ', '태어납시다ㅋㅋㅋㅋㅋ']|냥이로 태어납시다ㅋㅋㅋㅋㅋ
107|['중', '성화', '당하', '아야', '되', 'ㅁ', 'ㅠㅜ']|중성화 당해야됨 ㅠㅜ
108|['멍', '이', 'ㄹ', 'ㅗ']|멍이로
109|['냥', '이', 'ㄹ', 'ㅗ', '태어나', '면', '랄', '부가']|냥이로 태어나면 랄부가
110|['길', '냥', '이', '면', '하루하루', '가', '힘들', 'ㄹ텐데']|길냥이면 하루하루가 힘들텐데
111|['주인', '잘', '만나', '아야', '하', 'ㅁ', 'ㅋㅋㅋㅋㅋ']|주인잘만나야함 ㅋㅋㅋㅋㅋ
112|['주인', '잘', '만나', '아야', '하', 'ㅁ']|주인 잘만나야함
113|['군대', '짬', '타이거', '이', '면', '제일', '행복', '하', 'ㅁ', 'ㄹㅇ']|군대 짬타이거면 제일행복함 ㄹㅇ
114|['주인', '로', '또', '잘', '타', '아야', '하', 'ㅁ', 'ㅋㅋ']|주인 로또 잘타야함 ㅋㅋ
115|['후', '우', 'ㄱ', '후', '우', 'ㄱ', '승', '달짜', 'ㅇ', '목소리', '들려주', '라', '능']|후욱후욱 승달짱 목소리 들려주라능
116|['뽕', '알', '떼', '어', '가', '는데']|뽕알 떼가는데
117|['가출', '하', '아서', '주인', '찾', '으러', '다니', '자']|가출해서 주인찾으러 다니자
118|['랄', '부도', '두', 'ㄱ', '이', 'ㄴ데']|랄부도둑인데
