|morphs|origin
0|['지키', '어', '주', '시', '어요', ':', '★', '비속어', '사용', 'X', ',', '시청자', '간', '닉', '언', 'X', ',', '시청자', '의', '방송', '중재', ',', '타스', '트리', '머', '비하', ',', '타', '방송', '중계', 'X', ',', '외모', '이야기', 'X', ',', '게임', '관련', '없', '는', '이야기', 'X', ',', '병먹금', '필수', '!', ',', '방송', '내', '의', '클립', '이나', '사진', '은', '트', '게', '더', '이외', '에', '올리', '지', '마', '세', '요', '(', '필수', ')', '★']|지켜주세요 : ★ 비속어 사용 X, 시청자간 닉언 X, 시청자의 방송 중재, 타스트리머 비하, 타방송 중계 X, 외모 이야기 X, 게임 관련 없는 이야기 X, 병먹금 필수!, 방송 내의 클립이나 사진은 트게더 이외에 올리지 마세요(필수) ★
1|['오', '아', '!', '가죽자켓!']|와! 가죽자켓!
2|['ㅇ', 'ㅗ', '각', '도가']|오 각도가
3|['오', '아', '자켓이쁘다']|와 자켓이쁘다
4|['오', '아', '라이', '더']|와 라이더
5|['ㅇ', 'ㅗ', '쌘누나', 'ㄷㄷ']|오 쌘누나 ㄷㄷ
6|['어', ',', ',', ',', '엄청나', 'ㄴ', '미인', '!']|어,,,엄청난 미인!
7|['오늘', '왤케', '이쁘', 'ㅁ', '?']|오늘 왤케 이쁨?
8|['초승달', 'is', 'now', 'live', '!', 'Streaming', 'Just', 'Chatting', ':', '\uf319', '안녕', '하', '세', '염']|초승달 is now live! Streaming Just Chatting: 🌙 안녕하세염
9|['근데', '원래', '채팅', '차', 'ㅇ', '이', '이렇', '게', '크', '었', '었', '나요']|근데 원래 채팅창이 이렇게 컸었나요
10|['오늘', '도', '털', '털', '하', '시', '게', '하', '고', '오', '시', '었', '네요', 'ㅎㅎ']|오늘도 털털하시게 하고 오셨네요 ㅎㅎ
11|['채팅', '차', 'ㅇ', '맨', '밑', '이', '검은색', '부분', '침범', '하네']|채팅창 맨밑이 검은색부분 침범하네
12|['아무것', '도안', '하', '면서', '멍하', 'ㄴ', '척주', 'ㅇ']|아무것도안하면서 멍한척중
13|['서머', '너', '잘', '하', '시', '게', '입', '으', '시', '엇', '네']|서머너 잘하시게 입으셧네
14|['ㅇ', 'ㅗ', '편안', '하', '아', '지', '었', '다']|오 편안해졌다
15|['승', '따리', 'ㅇ', 'ㅗ', '도방', '타', '러', '가', '나', '?']|승따리 오도방 타러가나?
16|['오', '아', '오늘', '승', '딸', '님', '미쵸따..', '존예']|와 오늘 승딸님 미쵸따.. 존예
17|['데', '허', 'ㄴ', '컨셉', '이', '네']|데헌컨셉이네
18|['갑자기', '가리', '시네', '이', '어']|갑자기 가리시네여
19|['뱃살', '가리', '엇', '네']|뱃살가렷네
20|['캐', 'ㅁ', '위치', '가', '?', '!']|캠 위치가?!
21|['숨기', 'ㅁ']|숨김
22|['토', '다', 'ㄱ', '토', '다', 'ㄱ']|토닥토닥
23|['뱃살', '있', '으면', '어떻', '어', '그래도', '글래머', '잖아']|뱃살 있으면 어때 그래도 글래머잖아
24|['수', 'ㄴ', '달님', '캐', 'ㅁ', '이', '기운', '거', '같', '아요']|순달님 캠이기운거같아요
25|['각', '도', '바꾸', '시', 'ㅁ']|각도바꾸심
26|['가죽자켓입엇다가', '차이', 'ㄴ', '기억', '나', 'ㄴ다', ';']|가죽자켓입엇다가 차인기억 난다;
27|['각', '도', '바꾸', '시', '었', '네', '이', '어']|각도 바꾸셨네여
28|['저것', '머리카락', '보', '아', 'ㄷㄷ']|저거 머리카락봐 ㄷㄷ
29|['어제', '바', 'ㅇㅈ', 'ㅗ', 'ㅇ', '때', '각', '도도', '좋', '았', '는데', '이것', '도', '좋', '다']|어제 방종때 각도도 좋았는데 이거도 좋다
30|['아', '형사', '루', 'ㄱ', '이', '구나', 'ㅋㅋ']|아 형사룩이구나 ㅋㅋ
31|['저지', '2', '장', '까지', '가능', '하', '어요']|저지 2장까지 가능해요
32|['형사', '루', 'ㄱ', 'ㅋㅋ']|형사룩ㅋㅋ
33|['쎄', 'ㄴ', '누나', '다']|쎈 누나다
34|['귀걸이', '무겁', '어', '보이', '어']|귀걸이 무거워 보여
35|['머리', '보', '아', 'ㅋㅋ', 'ㅋㅋ']|머리봐 ㅋㅋㅋㅋ
36|['귀걸이', '모양', '이', '양쪽', '이', '다르', 'ㄴ가']|귀걸이 모양이 양쪽이 다른가
37|['폰트', '가', '바', '끼', '엇', '군']|폰트가 바꼇군
38|['나선화', 'ㄴ', '인가']|나선환인가
39|['캐', 'ㅁ', '위치', '가', '바', '끼', '엇', '나']|캠위치가 바꼇나
40|['겁나', '아', '예쁘넹;;']|겁나 예쁘넹;;
41|['이것', '어제', '소니', '쿤', '이', '말', '하', 'ㄴ', '머리', '뭉치', '인가']|이거 어제 소니쿤이 말한 머리뭉치인가
42|['다', '르네', 'ㅇ', '크']|다르넹 크
43|['가발', '머리털', 'ㅇ', 'ㅗ', '지게', '빠지', '네']|가발 머리털 오지게 빠지네
44|['헤어', '볼', '이', 'ㄴ가요', '?']|헤어볼인가요?
