|morphs|origin
74|['오늘', '은', '솔직히', '기만', '이', 'ㅁ']|오늘은 솔직히 기만임
75|['치질', '터지', 'ㄴ', '거', '이', '면', '인정', '하', '아', '주', 'ㅂ니다']|치질 터진거면 인정해줍니다
76|['일단', '효', '이', '니', '는']|일단 효니는
77|['그것', '누적', '안', '시키', '어도', '되', 'ㅁ']|그거 누적 안시켜도 됨
78|['딱', '코', '딱', '데', 'ㅁ', '하', '려다', '맨날', '지각', '하', '는', '게', '문제', '야']|딱코딱뎀 하려다 맨날 지각하는게 문제야
79|['하루', '이', '면', '달성', '가능']|하루면 달성가능
80|['이득', '교화', 'ㄴ', '이', '몸', '에', '베', '어서', '1', '분', '이', '라도', '일찍', '오', '면', '안', '되', '는', '병', '이', '걸리', '어', '버리', 'ㄴ', '거', '이', 'ㅁ']|이득교환이 몸에 베어서 1분이라도 일찍오면 안되는 병이걸려버린거임
81|['또', '냥', '기', '방패', '들', '면', '횃불', '들', 'ㄴ다']|또 냥기방패 들면 횃불든다
82|['10분', '늦', '게', '오', '았', '는데', '도', '안', '오', '았', '네']|10분늦게왔는데도 안왔네
83|['차', 'ㄱ', '.', '...', '서', 'ㄱ', '...', '.']|착....석....
84|['빠', 'ㄱ', '방송', '어디', '갓', '냐', '이', '말', '이야']|빡방송 어디갓냐 이말이야
85|['냥', '이', '에', '킁킁', '이', '보이', '어', '주', '면', '인정', '하', 'ㅁ']|냥이에 킁킁이 보여주면 인정함
86|['그치만', '냥', '캐', 'ㅁ', '은', '좋', '은', '거', 'ㄹ']|그치만 냥캠은 좋은걸
87|['씻', '기', 'ㄴ', '하', '았', '냐', '이', '말', '이야']|씻긴했냐 이말이야
88|['씼는', '중', '이', 'ㄹ', '까']|씼는 중일까
89|['따', '효', '이', '니', '독도', '지키', '러', '가', '았', '으면', 'ㅇㅈ']|따효니 독도 지키러 갔으면 ㅇㅈ
90|['이', '야', '아지', 'ㄱㄷ', 'ㅗ', '알', 'ㄴ', '왔다', '이', '말', '이야']|이야 아직도 안왔다 이말이야
91|['이렇', '면', '누구', '잘못', '이', 'ㅁ', '?']|이러면 누구 잘못임?
92|['혹시', '저', '말', 'ㄱ', 'ㅗ', '다른', '흑우', '들', '계시', 'ㄴ', '가요']|혹시 저말고 다른 흑우들 계신가요
93|['이거', 'ㄹ', '레오', '탓', '을', '하네']|이걸 레오탓을 하네
94|['하', '아']|해
