time,cnt_chat,cnt_ㅋ,cnt_ㄵ,cnt_오,cnt_와,cnt_유하,cnt_ㄷㄷ,validation
2018-12-12 00:02:06,8,6,0,0,0,0,0,0
2018-12-12 00:02:07,4,9,0,0,0,0,0,0
2018-12-12 00:02:08,9,7,0,0,0,0,0,0
2018-12-12 00:02:09,7,37,0,0,0,0,0,0
2018-12-12 00:02:10,8,45,0,0,0,0,0,0
2018-12-12 00:02:11,7,22,0,0,0,0,0,0
2018-12-12 00:02:12,4,43,0,0,0,0,0,0
2018-12-12 00:02:13,2,8,0,0,0,0,0,0
2018-12-12 00:02:14,7,46,0,0,0,0,0,0
2018-12-12 00:02:15,2,4,0,0,0,0,0,0
2018-12-12 00:02:16,5,58,0,0,0,0,0,0
2018-12-12 00:02:17,3,31,0,0,0,0,0,0
2018-12-12 00:02:18,5,61,0,0,0,0,0,0
2018-12-12 00:02:19,1,0,0,0,0,0,0,0
2018-12-12 00:02:20,3,13,0,0,0,0,0,0
2018-12-12 00:02:21,2,13,0,0,0,0,0,0
2018-12-12 00:02:22,2,45,0,0,0,0,0,0
2018-12-12 00:02:23,5,26,0,0,0,0,0,0
2018-12-12 00:02:24,7,23,0,0,0,0,0,0
2018-12-12 00:02:25,4,34,0,0,0,0,0,0
2018-12-12 00:02:26,8,35,0,0,0,0,0,0
2018-12-12 00:02:27,5,9,0,0,0,0,0,0
2018-12-12 00:02:28,12,58,0,0,0,0,0,0
2018-12-12 00:02:29,6,37,0,0,0,0,0,0
2018-12-12 00:02:30,2,38,0,0,0,0,0,0
2018-12-12 00:02:31,5,77,0,0,0,0,0,0
2018-12-12 00:02:32,6,26,0,0,0,0,0,0
2018-12-12 00:02:33,6,31,0,0,0,0,0,0
2018-12-12 00:02:34,4,82,0,0,0,0,0,0
2018-12-12 00:02:35,5,28,0,0,0,0,0,0
2018-12-12 00:02:36,2,23,0,0,0,0,0,0
2018-12-12 00:02:37,4,26,0,1,0,0,0,0
2018-12-12 00:02:38,2,18,0,0,0,0,0,0
2018-12-12 00:02:39,3,42,0,0,0,0,0,0
2018-12-12 00:02:40,1,6,0,0,0,0,0,0
2018-12-12 00:02:41,1,13,0,0,0,0,0,0
2018-12-12 00:02:42,4,12,0,1,0,0,0,0
2018-12-12 00:02:43,2,2,0,0,0,0,0,0
2018-12-12 00:02:46,2,0,0,0,0,0,0,0
2018-12-12 00:02:47,4,1,0,0,0,0,0,0
2018-12-12 00:02:48,5,0,0,0,0,0,0,0
2018-12-12 00:02:49,3,13,0,0,0,0,0,0
2018-12-12 00:02:50,3,0,0,0,0,0,0,0
2018-12-12 00:02:51,4,0,0,0,0,0,0,0
2018-12-12 00:02:52,2,0,0,0,0,0,0,0
2018-12-12 00:02:53,2,0,0,0,0,0,0,0
2018-12-12 00:02:55,3,6,0,0,0,0,0,0
2018-12-12 00:02:56,2,0,0,0,0,0,0,0
2018-12-12 00:02:57,2,0,0,0,0,0,0,0
2018-12-12 00:03:01,1,0,0,0,0,0,0,0
2018-12-12 00:03:02,1,0,0,0,0,0,0,0
2018-12-12 00:03:04,3,6,0,0,0,0,0,0
2018-12-12 00:03:05,1,0,0,0,0,0,0,0
2018-12-12 00:03:07,1,0,0,2,0,0,0,0
2018-12-12 00:03:14,1,0,0,0,0,0,0,0
2018-12-12 00:03:21,1,0,0,0,0,0,0,0
2018-12-12 00:03:22,1,0,0,0,0,0,0,0
2018-12-12 00:03:23,1,0,0,0,0,0,0,0
2018-12-12 00:03:24,3,0,0,0,0,0,0,0
2018-12-12 00:03:25,1,0,0,0,0,0,0,0
2018-12-12 00:03:26,1,0,0,0,0,0,0,0
2018-12-12 00:03:27,1,0,0,0,0,0,0,0
2018-12-12 00:03:31,1,0,0,0,0,0,0,0
2018-12-12 00:03:33,2,0,0,0,0,0,0,0
2018-12-12 00:03:36,1,0,0,0,0,0,0,0
2018-12-12 00:03:39,1,0,0,0,0,0,0,0
2018-12-12 00:03:43,1,0,0,0,0,0,0,0
2018-12-12 00:03:44,1,0,0,1,0,0,0,0
2018-12-12 00:03:48,1,0,0,0,0,0,0,0
2018-12-12 00:03:49,1,2,0,0,0,0,0,0
2018-12-12 00:03:52,1,3,0,0,0,0,0,0
2018-12-12 00:03:53,1,0,0,0,0,0,0,0
2018-12-12 00:03:54,1,0,0,0,0,0,0,0
2018-12-12 00:03:55,2,0,0,0,0,0,0,0
2018-12-12 00:03:56,1,0,0,0,0,0,0,0
2018-12-12 00:04:01,1,0,0,0,0,0,0,0
2018-12-12 00:04:02,2,0,0,0,0,0,1,0
2018-12-12 00:04:05,1,0,0,0,0,0,0,0
2018-12-12 00:04:06,1,0,0,0,0,0,1,0
2018-12-12 00:04:11,1,0,0,0,0,0,0,0
2018-12-12 00:04:12,1,0,0,0,0,0,0,0
2018-12-12 00:04:20,1,0,0,0,0,0,0,0
2018-12-12 00:04:23,1,0,0,0,0,0,0,0
2018-12-12 00:04:25,1,0,0,0,0,0,0,0
2018-12-12 00:04:26,1,0,0,0,0,0,0,0
2018-12-12 00:04:28,2,2,0,0,1,0,0,0
2018-12-12 00:04:29,2,2,0,0,0,0,0,0
2018-12-12 00:04:30,1,0,0,0,0,0,0,0
2018-12-12 00:04:35,2,0,0,1,0,0,0,0
2018-12-12 00:04:37,1,0,0,0,0,0,0,0
2018-12-12 00:04:38,1,0,0,0,0,0,0,0
2018-12-12 00:04:40,1,0,0,0,0,0,0,0
2018-12-12 00:04:41,1,0,0,0,1,0,0,0
2018-12-12 00:04:44,1,0,0,0,0,0,0,0
2018-12-12 00:04:46,1,0,0,0,0,0,0,0
2018-12-12 00:04:47,2,0,0,0,0,0,0,0
2018-12-12 00:04:52,1,0,0,0,0,0,0,0
2018-12-12 00:04:53,1,0,0,0,0,0,0,0
2018-12-12 00:04:54,1,0,0,0,0,0,0,0
2018-12-12 00:04:55,3,0,0,0,0,0,0,0
2018-12-12 00:04:56,2,0,0,0,0,0,0,0
2018-12-12 00:04:57,1,0,0,0,0,0,0,0
2018-12-12 00:04:58,2,0,0,0,0,0,0,0
2018-12-12 00:04:59,1,0,0,0,0,0,0,0
2018-12-12 00:05:02,1,0,0,0,0,0,0,0
2018-12-12 00:05:03,1,0,0,0,0,0,0,0
2018-12-12 00:05:04,1,0,0,0,0,0,0,0
2018-12-12 00:05:05,1,0,0,0,0,0,0,0
2018-12-12 00:05:06,1,0,0,0,0,0,0,0
2018-12-12 00:05:08,1,0,0,0,0,0,0,0
2018-12-12 00:05:09,1,0,0,0,0,0,0,0
2018-12-12 00:05:10,1,0,0,0,0,0,0,0
2018-12-12 00:05:12,1,0,0,0,0,0,0,0
2018-12-12 00:05:13,1,0,0,0,0,0,0,0
2018-12-12 00:05:14,1,0,0,0,0,0,0,0
2018-12-12 00:05:15,2,0,0,0,0,0,0,0
2018-12-12 00:05:16,2,0,0,0,0,0,0,0
2018-12-12 00:05:22,2,4,0,0,0,0,0,0
2018-12-12 00:05:23,1,0,0,0,0,0,0,0
2018-12-12 00:05:26,3,3,0,1,0,0,0,0
2018-12-12 00:05:29,1,0,0,0,0,0,0,0
2018-12-12 00:05:31,1,0,0,0,0,0,0,0
2018-12-12 00:05:41,1,0,0,0,0,0,0,0
2018-12-12 00:05:44,1,2,0,0,0,0,0,0
2018-12-12 00:05:45,1,0,0,0,0,0,0,0
2018-12-12 00:05:47,2,0,0,0,0,0,0,0
2018-12-12 00:05:48,3,0,0,0,0,0,0,0
2018-12-12 00:05:50,1,0,0,0,0,0,0,0
2018-12-12 00:05:51,3,0,0,0,0,0,0,0
2018-12-12 00:05:52,1,0,0,0,0,0,0,0
2018-12-12 00:05:53,1,0,0,0,0,0,0,0
2018-12-12 00:05:56,2,0,0,0,0,0,0,0
2018-12-12 00:06:02,1,0,0,0,0,0,0,0
2018-12-12 00:06:03,1,0,0,0,0,0,0,0
2018-12-12 00:06:07,2,0,0,0,0,0,0,0
2018-12-12 00:06:10,2,0,0,0,0,0,0,0
2018-12-12 00:06:11,2,0,0,0,0,0,0,0
2018-12-12 00:06:13,1,0,0,0,0,0,0,0
2018-12-12 00:06:17,1,2,0,0,0,0,0,0
2018-12-12 00:06:18,1,0,0,0,0,0,0,0
2018-12-12 00:06:19,1,0,0,0,0,0,0,0
2018-12-12 00:06:20,1,0,0,0,0,0,0,0
2018-12-12 00:06:21,1,0,0,0,0,0,0,0
2018-12-12 00:06:22,1,0,0,0,0,0,0,0
2018-12-12 00:06:23,1,0,0,0,0,0,0,0
2018-12-12 00:06:24,1,0,0,0,0,0,0,0
2018-12-12 00:06:30,5,0,0,0,0,0,0,0
2018-12-12 00:06:31,1,0,0,0,0,0,0,0
2018-12-12 00:06:32,1,0,0,0,0,0,0,0
2018-12-12 00:06:33,1,0,0,0,0,0,0,0
2018-12-12 00:06:35,3,2,0,0,0,0,0,0
2018-12-12 00:06:36,4,0,0,0,0,0,0,0
2018-12-12 00:06:37,2,0,0,0,0,0,0,0
2018-12-12 00:06:38,4,0,0,0,0,0,0,0
2018-12-12 00:06:39,2,0,0,0,0,0,0,0
2018-12-12 00:06:40,2,0,0,0,0,0,1,0
2018-12-12 00:06:41,1,0,0,0,0,0,0,0
2018-12-12 00:06:42,3,0,0,0,0,0,0,0
2018-12-12 00:06:43,1,0,0,0,0,0,0,0
2018-12-12 00:06:44,3,0,0,0,0,0,0,0
2018-12-12 00:06:45,1,0,0,0,0,0,0,0
2018-12-12 00:06:46,1,0,0,0,0,0,0,0
2018-12-12 00:06:47,3,0,0,0,0,0,0,0
2018-12-12 00:06:48,1,0,0,0,0,0,0,0
2018-12-12 00:06:49,2,2,0,0,0,0,0,0
2018-12-12 00:06:50,1,0,0,0,0,0,1,0
2018-12-12 00:06:51,1,12,0,0,0,0,0,0
2018-12-12 00:06:53,4,39,0,1,0,0,0,0
2018-12-12 00:06:54,5,49,0,0,0,0,0,0
2018-12-12 00:06:55,6,69,0,0,0,0,3,0
2018-12-12 00:06:57,2,0,0,0,0,0,0,0
2018-12-12 00:06:58,1,0,0,0,0,0,0,0
2018-12-12 00:06:59,6,12,0,0,0,0,0,0
2018-12-12 00:07:01,4,30,0,0,0,0,0,0
2018-12-12 00:07:02,2,0,0,0,0,0,0,0
2018-12-12 00:07:04,2,0,0,0,0,0,1,0
2018-12-12 00:07:05,3,0,0,0,1,0,0,0
2018-12-12 00:07:06,2,0,0,0,1,0,0,0
2018-12-12 00:07:07,2,3,0,0,0,0,0,0
2018-12-12 00:07:08,1,0,0,0,0,0,0,0
2018-12-12 00:07:09,2,10,0,1,0,0,0,0
2018-12-12 00:07:10,3,0,0,0,0,0,0,0
2018-12-12 00:07:11,1,5,0,0,0,0,0,0
2018-12-12 00:07:12,5,13,0,0,0,0,0,0
2018-12-12 00:07:13,2,0,0,0,0,0,0,0
2018-12-12 00:07:14,1,7,0,0,0,0,0,0
2018-12-12 00:07:15,1,0,0,0,0,0,0,0
2018-12-12 00:07:16,1,13,0,0,0,0,0,0
2018-12-12 00:07:17,3,0,0,0,0,0,0,0
2018-12-12 00:07:19,2,4,0,0,0,0,0,0
2018-12-12 00:07:20,2,0,0,0,0,0,0,0
2018-12-12 00:07:21,2,0,0,0,0,0,0,0
2018-12-12 00:07:22,3,0,0,0,0,0,0,0
2018-12-12 00:07:23,2,0,0,0,1,0,0,0
2018-12-12 00:07:24,4,0,0,0,0,0,0,0
2018-12-12 00:07:25,7,0,0,0,0,0,2,0
2018-12-12 00:07:26,4,0,0,0,0,0,0,0
2018-12-12 00:07:27,5,0,0,0,0,0,0,0
2018-12-12 00:07:28,1,0,0,0,0,0,0,0
2018-12-12 00:07:29,1,0,0,0,0,0,0,0
2018-12-12 00:07:30,2,0,0,0,0,0,0,0
2018-12-12 00:07:31,3,0,0,0,0,0,0,0
2018-12-12 00:07:32,2,0,0,0,0,0,0,0
2018-12-12 00:07:33,2,0,0,0,0,0,0,0
2018-12-12 00:07:34,3,0,0,0,0,0,0,0
2018-12-12 00:07:35,3,0,0,0,0,0,1,0
2018-12-12 00:07:36,1,0,0,0,0,0,0,0
2018-12-12 00:07:37,3,0,0,0,0,0,0,0
2018-12-12 00:07:38,2,0,0,0,0,0,0,0
2018-12-12 00:07:39,1,0,0,0,0,0,0,0
2018-12-12 00:07:40,2,10,0,0,0,0,0,0
2018-12-12 00:07:41,4,4,0,1,0,0,0,0
2018-12-12 00:07:42,3,17,0,0,0,0,0,0
2018-12-12 00:07:43,4,0,0,0,0,0,0,0
2018-12-12 00:07:44,8,32,0,0,0,0,0,0
2018-12-12 00:07:45,4,13,0,0,0,0,0,0
2018-12-12 00:07:46,7,30,0,0,0,0,0,0
2018-12-12 00:07:47,8,67,0,0,0,0,0,0
2018-12-12 00:07:48,6,37,0,0,0,0,1,0
2018-12-12 00:07:49,9,78,0,0,0,0,0,0
2018-12-12 00:07:50,6,73,0,0,0,0,0,0
2018-12-12 00:07:51,4,19,0,0,0,0,0,0
2018-12-12 00:07:52,3,16,0,0,0,0,0,0
2018-12-12 00:07:53,4,41,0,0,0,0,0,0
2018-12-12 00:07:54,3,17,0,0,0,0,0,0
2018-12-12 00:07:55,4,23,0,0,0,0,0,0
2018-12-12 00:07:56,2,10,0,0,0,0,0,0
2018-12-12 00:07:57,1,0,0,0,0,0,0,0
2018-12-12 00:07:58,1,8,0,0,0,0,0,0
2018-12-12 00:07:59,1,3,0,0,0,0,0,0
2018-12-12 00:08:00,2,3,0,0,0,0,0,0
2018-12-12 00:08:02,1,4,0,0,0,0,0,0
2018-12-12 00:08:03,1,0,0,0,0,0,0,0
2018-12-12 00:08:04,1,0,0,0,0,0,0,0
2018-12-12 00:08:05,1,0,0,0,0,0,0,0
