time,cnt_chat,cnt_ㅋ,cnt_ㄵ,cnt_오,cnt_와,cnt_유하,cnt_ㄷㄷ,validation
2018-12-09 00:00:00,2,3,0,0,0,0,0,0
2018-12-09 00:00:01,2,0,0,0,0,0,0,0
2018-12-09 00:00:03,3,0,1,0,0,0,0,0
2018-12-09 00:00:04,5,8,1,0,0,0,0,0
2018-12-09 00:00:05,2,21,0,1,0,0,0,0
2018-12-09 00:00:06,4,9,1,1,0,0,0,0
2018-12-09 00:00:07,1,0,0,0,0,0,0,0
2018-12-09 00:00:08,3,2,0,0,0,0,0,0
2018-12-09 00:00:09,1,0,0,0,0,0,0,0
2018-12-09 00:00:10,1,0,0,0,0,0,0,0
2018-12-09 00:00:11,2,8,0,0,0,0,0,0
2018-12-09 00:00:14,1,0,0,0,0,0,0,0
2018-12-09 00:00:15,1,0,0,0,0,0,0,0
2018-12-09 00:00:16,2,0,0,0,0,0,0,0
2018-12-09 00:00:18,2,0,0,0,0,0,0,0
2018-12-09 00:00:19,3,13,0,0,0,0,0,0
2018-12-09 00:00:20,2,10,0,0,0,0,0,0
2018-12-09 00:00:21,1,6,0,0,0,0,0,0
2018-12-09 00:00:22,2,0,0,1,0,0,0,0
2018-12-09 00:00:24,3,0,0,0,0,0,0,0
2018-12-09 00:00:25,1,0,0,0,0,0,0,0
2018-12-09 00:00:27,2,0,0,0,0,0,0,0
2018-12-09 00:00:28,4,4,0,0,0,0,0,0
2018-12-09 00:00:29,4,4,0,0,0,0,0,0
2018-12-09 00:00:30,2,0,0,0,0,0,0,0
2018-12-09 00:00:34,1,0,0,0,1,0,0,0
2018-12-09 00:00:35,1,0,0,0,0,0,0,0
2018-12-09 00:00:36,2,0,0,0,0,0,0,0
2018-12-09 00:00:37,1,0,0,0,0,0,0,0
2018-12-09 00:00:41,2,0,0,0,0,0,0,0
2018-12-09 00:00:43,2,0,0,0,0,0,0,0
2018-12-09 00:00:45,1,0,0,0,0,0,0,0
2018-12-09 00:00:46,3,0,0,0,0,0,0,0
2018-12-09 00:00:47,4,0,0,0,0,0,0,0
2018-12-09 00:00:48,2,0,0,0,0,0,0,0
2018-12-09 00:00:49,4,27,0,0,0,0,0,0
2018-12-09 00:00:50,2,22,0,0,0,0,0,0
2018-12-09 00:00:51,8,38,0,0,0,0,0,0
2018-12-09 00:00:52,3,12,0,0,0,0,0,0
2018-12-09 00:00:53,6,34,0,0,0,0,0,0
2018-12-09 00:00:54,5,0,0,0,0,0,0,0
2018-12-09 00:00:55,4,14,0,0,0,0,0,0
2018-12-09 00:00:56,4,0,0,0,0,0,0,0
2018-12-09 00:00:57,2,0,0,0,0,0,0,0
2018-12-09 00:00:58,3,0,0,0,0,0,1,0
2018-12-09 00:00:59,2,5,0,0,0,0,0,0
2018-12-09 00:01:00,1,0,0,1,0,0,0,0
2018-12-09 00:01:01,3,5,0,0,0,0,0,0
2018-12-09 00:01:02,5,8,0,0,0,0,1,0
2018-12-09 00:01:03,3,0,0,0,0,0,0,0
2018-12-09 00:01:04,4,7,0,0,0,0,0,0
2018-12-09 00:01:05,1,0,0,0,0,0,0,0
